prefLabel,id,from_to,matchType,text
provide,http://sbmi.uth.tmc.edu/ontology/ochv#C0359589,138-144|10951-10957,PREF|PREF,PROVIDE|PROVIDE
intra,http://sbmi.uth.tmc.edu/ontology/ochv#C0347985,170-174|6764-6768,PREF|PREF,INTRA|INTRA
mouse,http://sbmi.uth.tmc.edu/ontology/ochv#C0026809,207-211|4981-4985|5003-5007|13890-13894,PREF|PREF|PREF|PREF,MOUSE|MOUSE|MOUSE|MOUSE
chronic pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0150055,228-239|334-345|626-637|865-876|1011-1022|5770-5781|6838-6849|7320-7331|7887-7898|8051-8062|8714-8725|9295-9306|10579-10590|10934-10945|13537-13548,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN
chronic,http://sbmi.uth.tmc.edu/ontology/ochv#C0205191,228-234|334-340|626-632|865-871|1011-1017|1429-1435|5050-5056|5770-5776|6838-6844|6950-6956|7320-7326|7887-7893|8051-8057|8714-8720|9295-9301|10579-10585|10934-10940|13537-13543,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC
pain,http://sbmi.uth.tmc.edu/ontology/ochv#9185,236-239|342-345|634-637|873-876|1019-1022|1098-1101|1160-1163|1375-1378|1450-1453|4665-4668|5071-5074|5778-5781|6846-6849|6928-6931|6971-6974|7328-7331|7404-7407|7895-7898|8059-8062|8329-8332|8722-8725|8979-8982|9008-9011|9239-9242|9303-9306|9565-9568|9725-9728|10343-10346|10587-10590|10697-10700|10831-10834|10942-10945|11008-11011|11602-11605|13545-13548|13928-13931,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0030193,236-239|342-345|634-637|873-876|1019-1022|1098-1101|1160-1163|1375-1378|1450-1453|4665-4668|5071-5074|5778-5781|6846-6849|6928-6931|6971-6974|7328-7331|7404-7407|7895-7898|8059-8062|8329-8332|8722-8725|8979-8982|9008-9011|9239-9242|9303-9306|9565-9568|9725-9728|10343-10346|10587-10590|10697-10700|10831-10834|10942-10945|11008-11011|11602-11605|13545-13548|13928-13931,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
behavior,http://sbmi.uth.tmc.edu/ontology/ochv#C0004927,241-248|639-646|4670-4677|6933-6940|7900-7907|9570-9577|10348-10355|10592-10599|10702-10709|13933-13940,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR
behavior,http://sbmi.uth.tmc.edu/ontology/ochv#1751,241-248|639-646|4670-4677|6933-6940|7900-7907|9570-9577|10348-10355|10592-10599|10702-10709|13933-13940,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR
neuronal,http://sbmi.uth.tmc.edu/ontology/ochv#37942,264-271|765-772|5422-5429|5566-5573|7235-7242|10027-10034|10398-10405|10546-10553|12259-12266,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,NEURONAL|NEURONAL|NEURONAL|NEURONAL|NEURONAL|NEURONAL|NEURONAL|NEURONAL|NEURONAL
