prefLabel,id,from_to,matchType,text
Abstract,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C60765,1-8,PREF,ABSTRACT
Abstract,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42874,1-8,PREF,ABSTRACT
Fibromyalgia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C87497,10-21|1645-1656|3852-3863|17994-18005|18022-18033,PREF|PREF|PREF|PREF|PREF,FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA
Chronic,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14141,33-39|1668-1674|11727-11733|11847-11853|12537-12543|18176-18182,PREF|PREF|PREF|PREF|PREF|PREF,CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC
Diffuse,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14175,41-50|1707-1716|2816-2825|3642-3651|12361-12370|12616-12622|12639-12648,SYN|SYN|SYN|SYN|SYN|PREF|SYN,WIDESPREAD|WIDESPREAD|WIDESPREAD|WIDESPREAD|WIDESPREAD|DIFFUSE|WIDESPREAD
Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3303,52-55|331-334|1275-1278|1304-1307|1518-1521|1639-1642|1676-1679|1718-1721|2094-2097|2827-2830|2894-2897|2942-2945|3653-3656|3938-3941|3990-3993|9652-9655|9682-9685|11114-11117|11297-11300|11558-11561|11735-11738|11833-11836|11855-11858|11891-11894|11916-11919|12067-12070|12225-12228|12545-12548|12650-12653|14124-14127|16436-16439|16679-16682|16734-16737|17522-17525|17643-17646|17929-17932|18086-18089|18196-18199|18604-18607,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Condition,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25457,57-65,PREF,CONDITION
Center,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25445,77-83|5066-5071|10239-10245|12176-12182,SYN|PREF|SYN|SYN,CENTRAL|CENTER|CENTRAL|CENTRAL
Sensitization,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C50738,85-97|12184-12196|14548-14560,PREF|PREF|PREF,SENSITIZATION|SENSITIZATION|SENSITIZATION
Sensorimotor Cortex,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C154777,124-142|18292-18310,PREF|PREF,SENSORIMOTOR CORTEX|SENSORIMOTOR CORTEX
Underlying,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C154417,168-177,PREF,UNDERLYING
Pathology,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18189,179-187,PREF,PATHOLOGY
Study,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63536,201-205|1329-1333|3347-3351|7983-7987|15019-15023|15337-15341|16300-16304|16992-16996,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY
Primary,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25251,262-268|2777-2783|13892-13898,PREF|PREF|PREF,PRIMARY|PRIMARY|PRIMARY
Potential,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62230,304-312|9946-9954,PREF|PREF,POTENTIAL|POTENTIAL
Role,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48835,314-317,PREF,ROLE
Clinical,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25398,322-329|1509-1516|2085-2092|4035-4042|9795-9802|11105-11112|11288-11295|11549-11556|11824-11831|16375-16382|16427-16434|16670-16677|17513-17520,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,CLINICAL|CLINICAL|CLINICAL|CLINICAL|CLINICAL|CLINICAL|CLINICAL|CLINICAL|CLINICAL|CLINICAL|CLINICAL|CLINICAL|CLINICAL
Patient,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16960,339-346|837-844|1034-1041|1418-1425|1894-1901|1916-1923|2356-2363|2687-2694|3333-3340|3583-3590|7958-7965|8140-8147|10014-10021|10524-10531|10946-10953|11135-11142|12036-12043|12337-12344|12553-12560|12806-12813|13086-13092|13750-13757|14333-14340|14943-14950|16149-16156|16192-16199|17230-17237|17355-17362|17422-17429|17980-17987|18008-18015,SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN,PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENT|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS
Right,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25228,414-418|579-583|2336-2340|4119-4123|5154-5158|5838-5842|10483-10487|10691-10695|10913-10917|13184-13188|13253-13257|13323-13327|13799-13803|13935-13939|15273-15277,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT
Age,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25150,450-452|3018-3020|3205-3207|18226-18229,PREF|PREF|PREF|SYN,AGE|AGE|AGE|AGED
Sex,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28421,456-458|3211-3216,PREF|SYN,SEX|GENDER
Healthy Control,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94342,485-499|1974-1988,PREF|PREF,HEALTHY CONTROL|HEALTHY CONTROL
Healthy,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C115935,485-491|1059-1065|1974-1980,PREF|PREF|PREF,HEALTHY|HEALTHY|HEALTHY
Control,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61299,493-499|1982-1988,PREF|PREF,CONTROL|CONTROL
Pulse,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25749,518-522|707-711|4757-4761|4917-4921|8248-8252|8528-8532|8548-8552|8622-8626|8642-8646|8720-8724|8740-8744|8813-8817|8835-8839|15930-15934|17069-17073|17117-17121|17188-17192,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PULSE|PULSE|PULSE|PULSE|PULSE|PULSE|PULSE|PULSE|PULSE|PULSE|PULSE|PULSE|PULSE|PULSE|PULSE|PULSE|PULSE
Pulse,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64713,518-522|707-711|4757-4761|4917-4921|8248-8252|8528-8532|8548-8552|8622-8626|8642-8646|8720-8724|8740-8744|8813-8817|8835-8839|15930-15934|17069-17073|17117-17121|17188-17192,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PULSE|PULSE|PULSE|PULSE|PULSE|PULSE|PULSE|PULSE|PULSE|PULSE|PULSE|PULSE|PULSE|PULSE|PULSE|PULSE|PULSE
Median Nerve,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C52815,524-535|6595-6606|8254-8265|13199-13210|13338-13349|13941-13952,PREF|PREF|PREF|PREF|PREF|PREF,MEDIAN NERVE|MEDIAN NERVE|MEDIAN NERVE|MEDIAN NERVE|MEDIAN NERVE|MEDIAN NERVE
Median,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28007,524-529|4125-4130|5160-5165|6595-6600|8254-8259|13199-13204|13338-13343|13941-13946|15279-15284,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,MEDIAN|MEDIAN|MEDIAN|MEDIAN|MEDIAN|MEDIAN|MEDIAN|MEDIAN|MEDIAN
Nerve,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12466,531-535|6602-6606|8261-8265|13206-13210|13345-13349|13948-13952,PREF|PREF|PREF|PREF|PREF|PREF,NERVE|NERVE|NERVE|NERVE|NERVE|NERVE
Stimulation,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61406,537-547|4144-4153|5126-5136|6608-6618|8267-8277|8554-8564|8648-8658|8746-8756|8841-8851|12898-12908|13212-13222|13351-13361|13954-13964|14415-14425,PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,STIMULATION|STIMULATED|STIMULATION|STIMULATION|STIMULATION|STIMULATION|STIMULATION|STIMULATION|STIMULATION|STIMULATION|STIMULATION|STIMULATION|STIMULATION|STIMULATION
