prefLabel,id,from_to,matchType,text
fibromyalgia,http://sbmi.uth.tmc.edu/ontology/ochv#5034,10-26|10-21|1645-1661|1645-1656|3852-3863|17994-18005|18022-18033,SYN|PREF|SYN|PREF|PREF|PREF|PREF,FIBROMYALGIA (FM)|FIBROMYALGIA|FIBROMYALGIA (FM)|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA
chronic,http://sbmi.uth.tmc.edu/ontology/ochv#C0205191,33-39|1668-1674|11727-11733|11847-11853|12537-12543|18176-18182,PREF|PREF|PREF|PREF|PREF|PREF,CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC
widespread,http://sbmi.uth.tmc.edu/ontology/ochv#C0205391,41-50|1707-1716|2816-2825|3642-3651|12361-12370|12639-12648,PREF|PREF|PREF|PREF|PREF|PREF,WIDESPREAD|WIDESPREAD|WIDESPREAD|WIDESPREAD|WIDESPREAD|WIDESPREAD
pain,http://sbmi.uth.tmc.edu/ontology/ochv#9185,52-55|331-334|1275-1278|1304-1307|1518-1521|1639-1642|1676-1679|1718-1721|2094-2097|2827-2830|2894-2897|2942-2945|3653-3656|3938-3941|3990-3993|4671-4677|9652-9655|9682-9685|11114-11117|11297-11300|11558-11561|11735-11738|11833-11836|11855-11858|11891-11894|11916-11919|12067-12070|12225-12228|12317-12323|12545-12548|12650-12653|14124-14127|14398-14404|14757-14763|16436-16439|16679-16682|16734-16737|17522-17525|17643-17646|17929-17932|18086-18089|18196-18199|18604-18607,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|SYN|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAINFUL|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAINFUL|PAIN|PAIN|PAIN|PAINFUL|PAINFUL|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0030193,52-55|331-334|1275-1278|1304-1307|1518-1521|1639-1642|1676-1679|1718-1721|2094-2097|2827-2830|2894-2897|2942-2945|3653-3656|3938-3941|3990-3993|9652-9655|9682-9685|11114-11117|11297-11300|11558-11561|11735-11738|11833-11836|11855-11858|11891-11894|11916-11919|12067-12070|12225-12228|12545-12548|12650-12653|14124-14127|16436-16439|16679-16682|16734-16737|17522-17525|17643-17646|17929-17932|18086-18089|18196-18199|18604-18607,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
central,http://sbmi.uth.tmc.edu/ontology/ochv#C0205099,77-83|10239-10245|12176-12182,PREF|PREF|PREF,CENTRAL|CENTRAL|CENTRAL
central,http://sbmi.uth.tmc.edu/ontology/ochv#20304,77-83|5066-5071|10239-10245|12176-12182,PREF|SYN|PREF|PREF,CENTRAL|CENTER|CENTRAL|CENTRAL
excitability,http://sbmi.uth.tmc.edu/ontology/ochv#C0235169,108-119|242-253|16104-16115|16280-16291,PREF|PREF|PREF|PREF,EXCITABILITY|EXCITABILITY|EXCITABILITY|EXCITABILITY
pathology,http://sbmi.uth.tmc.edu/ontology/ochv#C0030664,179-187,PREF,PATHOLOGY
pathology,http://sbmi.uth.tmc.edu/ontology/ochv#9354,179-187,PREF,PATHOLOGY
