prefLabel,id,from_to,matchType,text
Right,http://psink.de/scio/Right,414-418|579-583|2336-2340|4119-4123|5154-5158|5838-5842|10483-10487|10691-10695|10913-10917|13184-13188|13253-13257|13323-13327|13799-13803|13935-13939|15273-15277,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT
Age,http://psink.de/scio/Age,450-452|3018-3020|3205-3207,PREF|PREF|PREF,AGE|AGE|AGE
Left,http://psink.de/scio/Left,570-573|1203-1206|4110-4113|5145-5148|6590-6593|10474-10477|10682-10685|10900-10903|11231-11234|13194-13197|13244-13247|13333-13336|13926-13929|15264-15267|16485-16488,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LEFT|LEFT|LEFT|LEFT|LEFT|LEFT|LEFT|LEFT|LEFT|LEFT|LEFT|LEFT|LEFT|LEFT|LEFT
Duration,http://psink.de/scio/Duration,2804-2811|3613-3620,PREF|PREF,DURATION|DURATION
Gender,http://psink.de/scio/Gender,3211-3216,PREF,GENDER
Location,http://psink.de/scio/Location,5487-5494|7418-7425|9041-9048|12984-12991|13136-13143|13862-13869,PREF|PREF|PREF|PREF|PREF|PREF,LOCATION|LOCATION|LOCATION|LOCATION|LOCATION|LOCATION
Direction,http://psink.de/scio/Direction,5821-5829,PREF,DIRECTION
Current,http://psink.de/scio/Current,6792-6798,PREF,CURRENT
Brain,http://psink.de/scio/Brain,7858-7862|12295-12299|12396-12400|13034-13038,PREF|PREF|PREF|PREF,BRAIN|BRAIN|BRAIN|BRAIN
Pressure,http://psink.de/scio/Pressure,14115-14122|14406-14413,PREF|PREF,PRESSURE|PRESSURE
Result,http://psink.de/scio/Result,16456-16461,PREF,RESULT
