prefLabel,id,from_to,matchType,text
Architecture,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16304,12-23,PREF,ARCHITECTURE
Accuracy,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49145,97-104|17673-17680,SYN|PREF,ACCURATE|ACCURACY
Coordinate,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C44465,110-120|531-541|709-719|9090-9100|9294-9304|10901-10911|12141-12151|12273-12283|12451-12461|12755-12765|13913-13923|14269-14279|15002-15011,SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF,COORDINATES|COORDINATES|COORDINATES|COORDINATES|COORDINATES|COORDINATES|COORDINATES|COORDINATES|COORDINATES|COORDINATES|COORDINATES|COORDINATES|COORDINATE
Previous,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25627,250-257|1484-1491|14544-14551,PREF|PREF|PREF,PREVIOUS|PREVIOUS|PREVIOUS
Seminal,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25671,260-266|1494-1500|12524-12530,PREF|PREF|PREF,SEMINAL|SEMINAL|SEMINAL
New,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25586,290-292,PREF,NEW
Human,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14225,309-313|2425-2429|2615-2619|12084-12088|12253-12257|12653-12657|13577-13581|15151-15155|17457-17461|17907-17911,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,HUMAN|HUMAN|HUMAN|HUMAN|HUMAN|HUMAN|HUMAN|HUMAN|HUMAN|HUMAN
Space,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63629,357-361|563-567|685-689|1824-1828|9288-9292|11811-11815|11863-11867|13900-13904,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,SPACE|SPACE|SPACE|SPACE|SPACE|SPACE|SPACE|SPACE
Abstract,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C60765,364-371,PREF,ABSTRACT
Abstract,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42874,364-371,PREF,ABSTRACT
Study,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63536,412-416|2969-2973|3042-3046|3181-3185|3384-3388|3538-3542|5099-5103|7172-7176|7684-7688|14354-14358|15795-15799|16321-16325,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY
Base,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48055,419-423|1208-1211|5284-5288|11369-11372|11474-11477|11744-11747|14471-14474|14864-14867|15427-15430,SYN|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF,BASED|BASE|BASED|BASE|BASE|BASE|BASE|BASE|BASE
Patient,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16960,440-447|654-660|1444-1451|2574-2581|2694-2701|2884-2891|2947-2953|3119-3126|3613-3620|3724-3731|3894-3900|4309-4316|4807-4814|4840-4847|4874-4881|5083-5090|5883-5890|6012-6018|6091-6098|7293-7300|7334-7341|7833-7840|8145-8152|8292-8298|8423-8430|9655-9662|9696-9702|10273-10280|10456-10463|10622-10628|11333-11340|11442-11449|11589-11596|11755-11762|14622-14629|14679-14686|15442-15449|15580-15587|16073-16079|16853-16860|16981-16988,SYN|PREF|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|PREF|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN,PATIENTS|PATIENT|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENT|PATIENTS|PATIENTS|PATIENTS|PATIENT|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENT|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENT|PATIENTS|PATIENTS|PATIENT|PATIENTS|PATIENTS|PATIENT|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENT|PATIENTS|PATIENTS
Sensory,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28259,457-463|3645-3651|3782-3788|16582-16588,PREF|PREF|PREF|PREF,SENSORY|SENSORY|SENSORY|SENSORY
Deficit,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37940,465-471|2558-2564|3653-3659|3790-3796|5126-5132,PREF|PREF|PREF|PREF|PREF,DEFICIT|DEFICIT|DEFICIT|DEFICIT|DEFICIT
Brain Lesion,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C163764,480-491|3668-3679,PREF|PREF,BRAIN LESION|BRAIN LESION
