prefLabel,id,from_to,matchType,text
Brain,http://psink.de/scio/Brain,480-484|633-637|3221-3225|3346-3350|3423-3427|3668-3672|4486-4490|4563-4567|5257-5261|5420-5424|5989-5993|9248-9252|13583-13587|16210-16214|16999-17003,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN
Volume,http://psink.de/scio/Volume,639-644,PREF,VOLUME
Rostral,http://psink.de/scio/Rostral,1052-1058|1240-1246|11936-11942|14001-14007|14110-14116|17861-17867,PREF|PREF|PREF|PREF|PREF|PREF,ROSTRAL|ROSTRAL|ROSTRAL|ROSTRAL|ROSTRAL|ROSTRAL
Caudal,http://psink.de/scio/Caudal,1063-1068|1251-1256|11530-11535|11947-11952|14012-14017|14121-14126|15020-15025|17872-17877,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,CAUDAL|CAUDAL|CAUDAL|CAUDAL|CAUDAL|CAUDAL|CAUDAL|CAUDAL
Distance,http://psink.de/scio/Distance,4082-4089|11105-11112,PREF|PREF,DISTANCE|DISTANCE
Left,http://psink.de/scio/Left,4254-4257|4773-4776|9020-9023|10216-10219|11032-11035,PREF|PREF|PREF|PREF|PREF,LEFT|LEFT|LEFT|LEFT|LEFT
Right,http://psink.de/scio/Right,4263-4267|4760-4764|9029-9033|10206-10210|11022-11026,PREF|PREF|PREF|PREF|PREF,RIGHT|RIGHT|RIGHT|RIGHT|RIGHT
Age,http://psink.de/scio/Age,4800-4802|15569-15571,PREF|PREF,AGE|AGE
Anaesthetic,http://psink.de/scio/Anaesthetic,5326-5336|5451-5461,PREF|PREF,ANAESTHETIC|ANAESTHETIC
Depth,http://psink.de/scio/Depth,5829-5833,PREF,DEPTH
Electrodes,http://psink.de/scio/Electrodes,6529-6538|17750-17759,PREF|PREF,ELECTRODES|ELECTRODES
Duration,http://psink.de/scio/Duration,6610-6617|6655-6662,PREF|PREF,DURATION|DURATION
Change,http://psink.de/scio/Change,6868-6873,PREF,CHANGE
Treatment,http://psink.de/scio/Treatment,8128-8136,PREF,TREATMENT
Constraint,http://psink.de/scio/Constraint,8317-8326,PREF,CONSTRAINT
Current,http://psink.de/scio/Current,8639-8645,PREF,CURRENT
Increase,http://psink.de/scio/Increase,13658-13665,PREF,INCREASE
Location,http://psink.de/scio/Location,14831-14838,PREF,LOCATION
Hypothesis,http://psink.de/scio/Hypothesis,16768-16777,PREF,HYPOTHESIS
