prefLabel,id,from_to,matchType,text
Skin,http://purl.bioontology.org/ontology/MESH/D012867,10-13|148-151|1942-1945|2251-2254|2866-2869|3674-3677|5740-5743|6682-6685|12636-12639|13231-13234|14072-14075|14249-14252|14453-14456|15085-15088|15648-15651|19789-19792|19827-19830|20683-20686,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN
Spine,http://purl.bioontology.org/ontology/MESH/D013131,64-68|518-522|662-666|1309-1313|1629-1633|2716-2720|3261-3265|4279-4283|8212-8216|8753-8757|9147-9151|9489-9493|12894-12898|13151-13155|14373-14377|15331-15335|16024-16028|18528-18532|19237-19241|19276-19280|19479-19483|19602-19606|20617-20621|21120-21124|21677-21681,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE
Proprioception,http://purl.bioontology.org/ontology/MESH/D011434,70-83|524-537|1315-1328|2095-2108|2735-2748|3845-3858|4249-4262|12900-12913|13157-13170|15338-15351|17122-17135,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PROPRIOCEPTION|PROPRIOCEPTION|PROPRIOCEPTION|PROPRIOCEPTION|PROPRIOCEPTION|PROPRIOCEPTION|PROPRIOCEPTION|PROPRIOCEPTION|PROPRIOCEPTION|PROPRIOCEPTION|PROPRIOCEPTION
Patients,http://purl.bioontology.org/ontology/MESH/D010361,380-387|1197-1204|2811-2818|4076-4083|12771-12778|13969-13976|18403-18410|21080-21087,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS
Population,http://purl.bioontology.org/ontology/MESH/D011153,411-420,PREF,POPULATION
Feedback,http://purl.bioontology.org/ontology/MESH/D005246,750-757|2601-2608|3481-3488|3776-3783|14311-14318|14434-14441|14571-14578|15260-15267|15454-15461|16176-16183|17707-17714,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FEEDBACK|FEEDBACK|FEEDBACK|FEEDBACK|FEEDBACK|FEEDBACK|FEEDBACK|FEEDBACK|FEEDBACK|FEEDBACK|FEEDBACK
Movement,http://purl.bioontology.org/ontology/MESH/D009068,809-816|2364-2371|2531-2539|2722-2729|3833-3840|4193-4200|8484-8492|12924-12931|13181-13188|14348-14356|16030-16037|16208-16216|17146-17153|17643-17651|18269-18276|18946-18954|19429-19437,PREF|PREF|SYN|PREF|PREF|PREF|SYN|PREF|PREF|SYN|PREF|SYN|PREF|SYN|PREF|SYN|SYN,MOVEMENT|MOVEMENT|MOVEMENTS|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENTS|MOVEMENT|MOVEMENT|MOVEMENTS|MOVEMENT|MOVEMENTS|MOVEMENT|MOVEMENTS|MOVEMENT|MOVEMENTS|MOVEMENTS
Work,http://purl.bioontology.org/ontology/MESH/D014937,981-984|18048-18051,PREF|PREF,WORK|WORK
Back Pain,http://purl.bioontology.org/ontology/MESH/D001416,1180-1188|20516-20524|21109-21117|21666-21674,PREF|PREF|PREF|PREF,BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN
Pain,http://purl.bioontology.org/ontology/MESH/D010146,1185-1188|3202-3205|4486-4489|20521-20524|20796-20799|21114-21117|21671-21674|22032-22035,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
