prefLabel,id,from_to,matchType,text
Low,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54722,1-3|160-162|249-251|462-464|1016-1018|1840-1842|2033-2035|2086-2088|2669-2671|2879-2881|8714-8716|12649-12651|12854-12856|14084-14086|14262-14264|14465-14467|15161-15163|15660-15662|16837-16839|17113-17115|18192-18194|18241-18243|18327-18329|20512-20514|21105-21107|21443-21445|21661-21663,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW
Skin,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12470,10-13|148-151|1942-1945|2251-2254|2866-2869|3674-3677|5740-5743|6682-6685|12636-12639|13231-13234|14072-14075|14249-14252|14453-14456|15085-15088|15648-15651|19789-19792|19827-19830|20683-20686,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN
Sensitivity,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25201,15-25|234-244|316-326|443-453|669-679|1035-1045|1267-1277|1948-1958|2052-2062|2346-2354|2845-2855|3131-3141|3579-3589|5772-5782|6571-6581|7145-7155|7283-7293|10086-10096|10931-10941|11486-11496|12125-12135|12835-12845|13035-13045|13236-13246|13338-13348|13863-13873|14053-14063|14665-14675|15180-15190|15629-15639|15901-15909|16081-16089|17474-17484|18177-18187|18346-18356|18776-18786,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|SYN|PREF|PREF|PREF|PREF,SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVE|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVE|SENSITIVE|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY
Sensitivity,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68816,15-25|234-244|316-326|443-453|669-679|1035-1045|1267-1277|1948-1958|2052-2062|2845-2855|3131-3141|3579-3589|5772-5782|6571-6581|7145-7155|7283-7293|10086-10096|10931-10941|11486-11496|12125-12135|12835-12845|13035-13045|13236-13246|13338-13348|13863-13873|14053-14063|14665-14675|15180-15190|15629-15639|17474-17484|18177-18187|18346-18356|18776-18786,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY|SENSITIVITY
Minimum,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25570,31-37|483-489|1508-1514|1849-1855|2068-2074|6179-6181|18223-18229,SYN|SYN|PREF|PREF|SYN|SYN|SYN,MINIMAL|MINIMAL|MINIMUM|MINIMUM|MINIMAL|MIN|MINIMAL
Impact,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C122929,39-44|10218-10223|14920-14925|17406-17411,PREF|PREF|PREF|PREF,IMPACT|IMPACT|IMPACT|IMPACT
Active,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45329,49-54|504-509|1635-1640|2112-2117|9153-9158|14341-14346|15711-15716|15843-15848|17586-17591|18296-18301,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ACTIVE|ACTIVE|ACTIVE|ACTIVE|ACTIVE|ACTIVE|ACTIVE|ACTIVE|ACTIVE|ACTIVE
Lumbar Spine,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C69314,56-61|511-522|511-516|655-666|655-660|1302-1313|1302-1307|1622-1633|1622-1627|2709-2720|2709-2714|3254-3265|3254-3259|3957-3962|4272-4283|4272-4277|8204-8209|8746-8757|8746-8751|9140-9151|9140-9145|9482-9493|9482-9487|12887-12898|12887-12892|13144-13155|13144-13149|14365-14370|15324-15335|15324-15329|16017-16028|16017-16022|18520-18525|19595-19606|19595-19600|21049-21054|21405-21410|21966-21971,SYN|PREF|SYN|PREF|SYN|PREF|SYN|PREF|SYN|PREF|SYN|PREF|SYN|SYN|PREF|SYN|SYN|PREF|SYN|PREF|SYN|PREF|SYN|PREF|SYN|PREF|SYN|SYN|PREF|SYN|PREF|SYN|SYN|PREF|SYN|SYN|SYN|SYN,LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR|LUMBAR|LUMBAR
Stability,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54072,89-97|574-582|638-646|801-806|1365-1373|1708-1716|2165-2173|4225-4233|5103-5111|8218-8226|8329-8334|12521-12529|14984-14992|15356-15364|17549-17557|19282-19290|19410-19418|20257-20265,PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF,STABILITY|STABILITY|STABILITY|STABLE|STABILITY|STABILITY|STABILITY|STABILITY|STABILITY|STABILITY|STABLE|STABILITY|STABILITY|STABILITY|STABILITY|STABILITY|STABILITY|STABILITY
Healthy,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C115935,102-108|402-408|1390-1396|4018-4024|12964-12970|15952-15958|22024-22030,PREF|PREF|PREF|PREF|PREF|PREF|PREF,HEALTHY|HEALTHY|HEALTHY|HEALTHY|HEALTHY|HEALTHY|HEALTHY
