prefLabel,id,from_to,matchType,text
Decrease,http://psink.de/scio/Decrease,210-217|3550-3557|12678-12685|12812-12819|13013-13020|18154-18161,PREF|PREF|PREF|PREF|PREF|PREF,DECREASE|DECREASE|DECREASE|DECREASE|DECREASE|DECREASE
Current,http://psink.de/scio/Current,973-979|13462-13468|14734-14740|16444-16450|18040-18046,PREF|PREF|PREF|PREF|PREF,CURRENT|CURRENT|CURRENT|CURRENT|CURRENT
Treatment,http://psink.de/scio/Treatment,1463-1471|1810-1818|4004-4012|4390-4398|5638-5646|5745-5753|5891-5899|7032-7040|10847-10855|11096-11104|13071-13079|13887-13895|14168-14176|15037-15045,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT
Result,http://psink.de/scio/Result,3985-3990|4176-4181,PREF|PREF,RESULT|RESULT
Age,http://psink.de/scio/Age,4359-4361,PREF,AGE
Weight,http://psink.de/scio/Weight,4375-4380,PREF,WEIGHT
Duration,http://psink.de/scio/Duration,4913-4920,PREF,DURATION
Left,http://psink.de/scio/Left,5466-5469,PREF,LEFT
Right,http://psink.de/scio/Right,5475-5479|6348-6352,PREF|PREF,RIGHT|RIGHT
Location,http://psink.de/scio/Location,6600-6607|10275-10282|12204-12211|12271-12278,PREF|PREF|PREF|PREF,LOCATION|LOCATION|LOCATION|LOCATION
Increase,http://psink.de/scio/Increase,12509-12516|13509-13516|13572-13579|13753-13760|13778-13785|14972-14979|16623-16630,PREF|PREF|PREF|PREF|PREF|PREF|PREF,INCREASE|INCREASE|INCREASE|INCREASE|INCREASE|INCREASE|INCREASE
Hypothesis,http://psink.de/scio/Hypothesis,13278-13287|14020-14029|15587-15596,PREF|PREF|PREF,HYPOTHESIS|HYPOTHESIS|HYPOTHESIS
Depth,http://psink.de/scio/Depth,16941-16945,PREF,DEPTH
Brain,http://psink.de/scio/Brain,20426-20430|21624-21628,PREF|PREF,BRAIN|BRAIN
