prefLabel,id,from_to,matchType,text
Clinical Study,http://purl.bioontology.org/ontology/MESH/D000068397,1-14,PREF,CLINICAL STUDY
Catastrophization,http://purl.bioontology.org/ontology/MESH/D058443,16-32|430-446|987-1003|1273-1289|1584-1600|2324-2340|6839-6855|8012-8028|8099-8115|8465-8481|8719-8735|8969-8985|9663-9679|9823-9839|11009-11025|12320-12336,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,CATASTROPHIZATION|CATASTROPHIZATION|CATASTROPHIZATION|CATASTROPHIZATION|CATASTROPHIZATION|CATASTROPHIZATION|CATASTROPHIZATION|CATASTROPHIZATION|CATASTROPHIZATION|CATASTROPHIZATION|CATASTROPHIZATION|CATASTROPHIZATION|CATASTROPHIZATION|CATASTROPHIZATION|CATASTROPHIZATION|CATASTROPHIZATION
Fear,http://purl.bioontology.org/ontology/MESH/D005239,35-38|461-464|1018-1021|2224-2227|2355-2358|6401-6404|6858-6861|8484-8487|9682-9685|10676-10679,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR
Movement,http://purl.bioontology.org/ontology/MESH/D009068,43-50|469-476|1026-1033|2232-2239|2363-2370|6409-6416|6866-6873|8492-8499|9690-9697|10684-10691,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT
Anxiety,http://purl.bioontology.org/ontology/MESH/D001007,53-59|483-489|1040-1046|2212-2218|2377-2383|6876-6882|7507-7513|8518-8524|9700-9706|10696-10702,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY
Depression,http://purl.bioontology.org/ontology/MESH/D003863,66-75|449-458|1006-1015|1295-1304|1606-1615|2059-2068|2343-2352|4777-4786|4806-4815|6889-6898|7269-7278|7425-7434|7610-7619|8034-8043|8502-8511|8741-8750|8991-9000|9713-9722|9845-9854|10045-10054|11031-11040|12342-12351,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION
Low Back Pain,http://purl.bioontology.org/ontology/MESH/D017116,116-128|1733-1745,PREF|PREF,LOW BACK PAIN|LOW BACK PAIN
Back Pain,http://purl.bioontology.org/ontology/MESH/D001416,120-128|1737-1745|11466-11474,PREF|PREF|PREF,BACK PAIN|BACK PAIN|BACK PAIN
Pain,http://purl.bioontology.org/ontology/MESH/D010146,125-128|589-592|677-680|865-868|1742-1745|4908-4911|5104-5107|5170-5173|5597-5600|6478-6481|7013-7016|7094-7097|7127-7130|7561-7564|9066-9069|9230-9233|9359-9362|10150-10153|10360-10363|11328-11331|11471-11474|11707-11710,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Denmark,http://purl.bioontology.org/ontology/MESH/D003718,218-224|3776-3782,PREF|PREF,DENMARK|DENMARK
Radiculopathy,http://purl.bioontology.org/ontology/MESH/D011843,298-310|3011-3023,PREF|PREF,RADICULOPATHY|RADICULOPATHY
analysis,http://purl.bioontology.org/ontology/MESH/Q000032,716-723|6667-6674|7779-7786|7877-7884,PREF|PREF|PREF|PREF,ANALYSIS|ANALYSIS|ANALYSIS|ANALYSIS
Association,http://purl.bioontology.org/ontology/MESH/D001244,786-796|2521-2531|7635-7645|7987-7997|8234-8244|10408-10418|10656-10666,PREF|PREF|PREF|PREF|PREF|PREF|PREF,ASSOCIATION|ASSOCIATION|ASSOCIATION|ASSOCIATION|ASSOCIATION|ASSOCIATION|ASSOCIATION
Time,http://purl.bioontology.org/ontology/MESH/D013995,1072-1075|4369-4372|4939-4942|5133-5136|5182-5185|5408-5411|5837-5840|6946-6949|7707-7710|10722-10725,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,TIME|TIME|TIME|TIME|TIME|TIME|TIME|TIME|TIME|TIME
Body Mass Index,http://purl.bioontology.org/ontology/MESH/D015992,1149-1163|4080-4094,PREF|PREF,BODY MASS INDEX|BODY MASS INDEX
Index,http://purl.bioontology.org/ontology/MESH/D020481,1159-1163|4090-4094,PREF|PREF,INDEX|INDEX
Secondary Care,http://purl.bioontology.org/ontology/MESH/D063127,1471-1484|9262-9275|11144-11157|12206-12219,PREF|PREF|PREF|PREF,SECONDARY CARE|SECONDARY CARE|SECONDARY CARE|SECONDARY CARE
secondary,http://purl.bioontology.org/ontology/MESH/Q000556,1471-1479|9262-9270|11144-11152|12206-12214,PREF|PREF|PREF|PREF,SECONDARY|SECONDARY|SECONDARY|SECONDARY
Population,http://purl.bioontology.org/ontology/MESH/D011153,1486-1495|9277-9286|12221-12230,PREF|PREF|PREF,POPULATION|POPULATION|POPULATION
Risk Factors,http://purl.bioontology.org/ontology/MESH/D012307,1556-1567|1930-1941|8916-8927|9752-9763|12292-12303,PREF|PREF|PREF|PREF|PREF,RISK FACTORS|RISK FACTORS|RISK FACTORS|RISK FACTORS|RISK FACTORS
Risk,http://purl.bioontology.org/ontology/MESH/D012306,1556-1559|1930-1933|7527-7530|8916-8919|9752-9755|12292-12295,PREF|PREF|PREF|PREF|PREF|PREF,RISK|RISK|RISK|RISK|RISK|RISK
Role,http://purl.bioontology.org/ontology/MESH/D012380,2603-2606|7499-7502,PREF|PREF,ROLE|ROLE
Patients,http://purl.bioontology.org/ontology/MESH/D010361,2696-2703|2934-2941|3187-3194|3386-3393|3457-3464|4208-4215,PREF|PREF|PREF|PREF|PREF|PREF,PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS
Spine,http://purl.bioontology.org/ontology/MESH/D013131,2861-2865|3173-3177|3203-3207|3611-3615|4278-4282,PREF|PREF|PREF|PREF|PREF,SPINE|SPINE|SPINE|SPINE|SPINE
Pathology,http://purl.bioontology.org/ontology/MESH/D010336,3084-3092,PREF,PATHOLOGY
pathology,http://purl.bioontology.org/ontology/MESH/Q000473,3084-3092,PREF,PATHOLOGY
Massage,http://purl.bioontology.org/ontology/MESH/D008405,3324-3330,PREF,MASSAGE
Chiropractic,http://purl.bioontology.org/ontology/MESH/D002684,3352-3363,PREF,CHIROPRACTIC
Human,http://purl.bioontology.org/ontology/STY/T016,3784-3788,PREF,HUMAN
Research,http://purl.bioontology.org/ontology/MESH/D012106,3790-3797,PREF,RESEARCH
ethics,http://purl.bioontology.org/ontology/MESH/Q000941,3799-3804,PREF,ETHICS
Ethics,http://purl.bioontology.org/ontology/MESH/D004989,3799-3804,PREF,ETHICS
Letter,http://purl.bioontology.org/ontology/MESH/D016422,3824-3829,PREF,LETTER
Ethical Review,http://purl.bioontology.org/ontology/MESH/D026724,3916-3929,PREF,ETHICAL REVIEW
Review,http://purl.bioontology.org/ontology/MESH/D016454,3924-3929,PREF,REVIEW
History,http://purl.bioontology.org/ontology/MESH/D006664,4470-4476|7234-7240|7588-7594|8160-8166|8328-8334|11720-11726,PREF|PREF|PREF|PREF|PREF|PREF,HISTORY|HISTORY|HISTORY|HISTORY|HISTORY|HISTORY
history,http://purl.bioontology.org/ontology/MESH/Q000266,4470-4476|7234-7240|7588-7594|8160-8166|8328-8334|11720-11726,PREF|PREF|PREF|PREF|PREF|PREF,HISTORY|HISTORY|HISTORY|HISTORY|HISTORY|HISTORY
surgery,http://purl.bioontology.org/ontology/MESH/Q000601,4488-4494|7252-7258|7599-7605|8178-8184|8346-8352|11738-11744,PREF|PREF|PREF|PREF|PREF|PREF,SURGERY|SURGERY|SURGERY|SURGERY|SURGERY|SURGERY
Employment,http://purl.bioontology.org/ontology/MESH/D004651,4550-4559,PREF,EMPLOYMENT
Work,http://purl.bioontology.org/ontology/MESH/D014937,4607-4610|4688-4691|7285-7288,PREF|PREF|PREF,WORK|WORK|WORK
Language,http://purl.bioontology.org/ontology/MESH/D007802,5289-5296|8401-8408,PREF|PREF,LANGUAGE|LANGUAGE
Language,http://purl.bioontology.org/ontology/STY/T171,5289-5296|8401-8408,PREF|PREF,LANGUAGE|LANGUAGE
Tables,http://purl.bioontology.org/ontology/MESH/D020501,6975-6979|7337-7342,SYN|PREF,TABLE|TABLES
