prefLabel,id,from_to,matchType,text
Clinical Study,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15206,1-14|10-14|890-894|1399-1403|2262-2266|2638-2642|3442-3446|3709-3713|8448-8452|10222-10226|10385-10389|10615-10619|11813-11817|11864-11868|12133-12137,PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN,CLINICAL STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY
Clinical,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25398,1-8,PREF,CLINICAL
Study,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63536,10-14|890-894|1399-1403|2262-2266|2638-2642|3442-3446|3709-3713|8448-8452|10222-10226|10385-10389|10615-10619|11813-11817|11864-11868|12133-12137,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY
Fear,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C77960,35-38|461-464|1018-1021|2224-2227|2355-2358|6401-6404|6858-6861|8484-8487|9682-9685|10676-10679,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR
Movement,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37994,43-50|469-476|1026-1033|2232-2239|2363-2370|6409-6416|6866-6873|8492-8499|9690-9697|10684-10691,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT
Anxiety,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26696,53-59|483-489|1040-1046|2212-2218|2377-2383|6876-6882|7507-7513|8518-8524|9700-9706|10696-10702,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY
Depression,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C124639,66-75|449-458|1006-1015|1295-1304|1606-1615|2059-2068|2343-2352|4777-4786|4806-4815|6889-6898|7269-7278|7425-7434|7610-7619|8034-8043|8502-8511|8741-8750|8991-9000|9713-9722|9845-9854|10045-10054|11031-11040|12342-12351,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION
Depression,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2982,66-75|449-458|1006-1015|1295-1304|1606-1615|2059-2068|2343-2352|4777-4786|4806-4815|6889-6898|7269-7278|7425-7434|7610-7619|8034-8043|8502-8511|8741-8750|8991-9000|9713-9722|9845-9854|10045-10054|11031-11040|12342-12351,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION
Associated,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25281,81-90|1329-1338|1513-1522|1812-1821|2076-2085|2389-2398|5807-5816|6916-6925|8531-8540|8775-8784|9887-9896|10062-10071|11062-11071|12249-12258,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED
Persistent,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43623,97-106|1417-1426|1947-1956|2405-2414|2538-2547|5218-5227|8547-8556|8801-8810|9047-9056|9572-9581|9769-9778|11078-11087|12151-12160,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PERSISTENT|PERSISTENT|PERSISTENT|PERSISTENT|PERSISTENT|PERSISTENT|PERSISTENT|PERSISTENT|PERSISTENT|PERSISTENT|PERSISTENT|PERSISTENT|PERSISTENT
