prefLabel,id,from_to,matchType,text
clinical,http://sbmi.uth.tmc.edu/ontology/ochv#C0205210,1-8,PREF,CLINICAL
movement,http://sbmi.uth.tmc.edu/ontology/ochv#8292,43-50|469-476|1026-1033|2232-2239|2363-2370|6409-6416|6866-6873|8492-8499|9690-9697|10684-10691,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT
anxiety,http://sbmi.uth.tmc.edu/ontology/ochv#1342,53-59|483-489|1040-1046|2212-2218|2377-2383|6876-6882|7507-7513|8518-8524|9700-9706|10696-10702,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY
anxiety,http://sbmi.uth.tmc.edu/ontology/ochv#C0003467,53-59|483-489|1040-1046|2212-2218|2377-2383|6876-6882|7507-7513|8518-8524|9700-9706|10696-10702,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY
associated,http://sbmi.uth.tmc.edu/ontology/ochv#C0332281,81-90|1329-1338|1513-1522|1812-1821|2076-2085|2389-2398|5807-5816|6916-6925|8531-8540|8775-8784|9887-9896|10062-10071|11062-11071|12249-12258,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED
persistent,http://sbmi.uth.tmc.edu/ontology/ochv#C0205322,97-106|1417-1426|1947-1956|2405-2414|2538-2547|5218-5227|8547-8556|8801-8810|9047-9056|9572-9581|9769-9778|11078-11087|12151-12160,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PERSISTENT|PERSISTENT|PERSISTENT|PERSISTENT|PERSISTENT|PERSISTENT|PERSISTENT|PERSISTENT|PERSISTENT|PERSISTENT|PERSISTENT|PERSISTENT|PERSISTENT
severe,http://sbmi.uth.tmc.edu/ontology/ochv#C0205082,109-114|858-863|1089-1094|1429-1434|1959-1964|2417-2422|2550-2555|5024-5029|5097-5102|5858-5863|6963-6968|7120-7125|7554-7559|7724-7729|8050-8055|8280-8285|8559-8564|8813-8818|8933-8938|9059-9064|9352-9357|9564-9569|9781-9786|9908-9913|10353-10358|10739-10744|11090-11095|12101-12106|12163-12168,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,SEVERE|SEVERE|SEVERE|SEVERE|SEVERE|SEVERE|SEVERE|SEVERE|SEVERE|SEVERE|SEVERE|SEVERE|SEVERE|SEVERE|SEVERE|SEVERE|SEVERE|SEVERE|SEVERE|SEVERE|SEVERE|SEVERE|SEVERE|SEVERE|SEVERE|SEVERE|SEVERE|SEVERE|SEVERE
low back pain,http://sbmi.uth.tmc.edu/ontology/ochv#7549,116-128|259-261|1096-1098|1436-1438|1502-1504|1728-1730|1733-1745|1748-1750|1966-1968|2112-2114|2245-2247|2424-2426|2557-2559|2965-2967|4500-4502|4823-4825|5229-5231|5250-5252|5865-5867|6970-6972|7264-7266|8073-8075|8190-8192|8566-8568|8820-8822|8940-8942|9171-9173|9293-9295|9583-9585|9788-9790|9915-9917|10078-10080|10478-10480|10746-10748|10995-10997|11097-11099|11137-11139|11750-11752|11914-11916|12108-12110|12170-12172|12237-12239|12461-12463,PREF|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN,LOW BACK PAIN|LBP|LBP|LBP|LBP|LBP|LOW BACK PAIN|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP
low,http://sbmi.uth.tmc.edu/ontology/ochv#C0205251,116-118|1733-1735|4174-4176,PREF|PREF|PREF,LOW|LOW|LOW
back pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0004604,120-128|1737-1745|11466-11474,PREF|PREF|PREF,BACK PAIN|BACK PAIN|BACK PAIN
back pain,http://sbmi.uth.tmc.edu/ontology/ochv#1662,120-128|1737-1745|11466-11477|11466-11474,PREF|PREF|SYN|PREF,BACK PAIN|BACK PAIN|BACK PAIN IN|BACK PAIN
pain,http://sbmi.uth.tmc.edu/ontology/ochv#9185,125-128|589-592|677-680|865-868|1742-1745|4908-4911|5104-5107|5170-5173|5597-5600|6478-6481|7013-7016|7094-7097|7127-7130|7561-7564|9066-9069|9230-9233|9359-9362|10150-10153|10360-10363|11328-11331|11471-11474|11707-11710,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0030193,125-128|589-592|677-680|865-868|1742-1745|4908-4911|5104-5107|5170-5173|5597-5600|6478-6481|7013-7016|7094-7097|7127-7130|7561-7564|9066-9069|9230-9233|9359-9362|10150-10153|10360-10363|11328-11331|11471-11474|11707-11710,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
disability,http://sbmi.uth.tmc.edu/ontology/ochv#C0231170,134-143|873-882|1104-1113|1445-1454|1781-1790|1975-1984|2120-2129|2433-2442|4841-4850|5234-5243|5312-5321|5606-5615|5873-5882|7731-7740|8057-8066|8287-8296|8355-8364|8575-8584|8829-8838|8948-8957|9076-9085|9239-9248|9368-9377|9797-9806|9923-9932|10198-10207|10369-10378|10486-10495|10754-10763|11106-11115|12116-12125|12179-12188,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY
patient,http://sbmi.uth.tmc.edu/ontology/ochv#C0030705,146-152|11487-11493|11669-11675,PREF|PREF|PREF,PATIENT|PATIENT|PATIENT
patients,http://sbmi.uth.tmc.edu/ontology/ochv#9372,146-152|2696-2703|2934-2941|3187-3194|3386-3393|3457-3464|4208-4215|11487-11493|11669-11675,SYN|PREF|PREF|PREF|PREF|PREF|PREF|SYN|SYN,PATIENT|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENT|PATIENT
participant,http://sbmi.uth.tmc.edu/ontology/ochv#43099,162-173|4418-4429|4708-4719|5041-5052|5152-5163|5343-5353|5429-5440|7178-7188,SYN|SYN|SYN|SYN|SYN|PREF|SYN|PREF,PARTICIPANTS|PARTICIPANTS|PARTICIPANTS|PARTICIPANTS|PARTICIPANTS|PARTICIPANT|PARTICIPANTS|PARTICIPANT
registry,http://sbmi.uth.tmc.edu/ontology/ochv#C0034975,208-215|2672-2679|2847-2854,PREF|PREF|PREF,REGISTRY|REGISTRY|REGISTRY
denmark,http://sbmi.uth.tmc.edu/ontology/ochv#C0011318,218-224|3776-3782,PREF|PREF,DENMARK|DENMARK
denmark,http://sbmi.uth.tmc.edu/ontology/ochv#3700,218-224|3776-3782,PREF|PREF,DENMARK|DENMARK
duration,http://sbmi.uth.tmc.edu/ontology/ochv#35766,281-288|1170-1177|2987-2994|4318-4325|5993-6000|6058-6065|6134-6141|6817-6824|7839-7846|7973-7980|8637-8644|9318-9325,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,DURATION|DURATION|DURATION|DURATION|DURATION|DURATION|DURATION|DURATION|DURATION|DURATION|DURATION|DURATION
duration,http://sbmi.uth.tmc.edu/ontology/ochv#C0449238,281-288|1170-1177|2987-2994|4318-4325|5993-6000|6058-6065|6134-6141|6817-6824|7839-7846|7973-7980|8637-8644|9318-9325,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,DURATION|DURATION|DURATION|DURATION|DURATION|DURATION|DURATION|DURATION|DURATION|DURATION|DURATION|DURATION
radiculopathy,http://sbmi.uth.tmc.edu/ontology/ochv#C0700594,298-310|3011-3023,PREF|PREF,RADICULOPATHY|RADICULOPATHY
radiculopathy,http://sbmi.uth.tmc.edu/ontology/ochv#44834,298-310|3011-3023,PREF|PREF,RADICULOPATHY|RADICULOPATHY
primary,http://sbmi.uth.tmc.edu/ontology/ochv#20418,349-355|3053-3059|6659-6665|10458-10464,PREF|PREF|PREF|PREF,PRIMARY|PRIMARY|PRIMARY|PRIMARY
primary,http://sbmi.uth.tmc.edu/ontology/ochv#C0205225,349-355|3053-3059|6659-6665|10458-10464,PREF|PREF|PREF|PREF,PRIMARY|PRIMARY|PRIMARY|PRIMARY
interventions,http://sbmi.uth.tmc.edu/ontology/ochv#52243,357-368|3061-3073|3301-3313|10873-10885,SYN|PREF|PREF|PREF,INTERVENTION|INTERVENTIONS|INTERVENTIONS|INTERVENTIONS
intervention,http://sbmi.uth.tmc.edu/ontology/ochv#C0886296,357-368,PREF,INTERVENTION
outcome measures,http://sbmi.uth.tmc.edu/ontology/ochv#C0086749,371-386,PREF,OUTCOME MEASURES
outcome measures,http://sbmi.uth.tmc.edu/ontology/ochv#15999,371-386,PREF,OUTCOME MEASURES
measures,http://sbmi.uth.tmc.edu/ontology/ochv#15235,379-386,PREF,MEASURES
psychological,http://sbmi.uth.tmc.edu/ontology/ochv#57896,389-401|806-818|1210-1222|1542-1554|2299-2311|2477-2489|5582-5594|5778-5790|6081-6093|6496-6508|7659-7671|7910-7922|8254-8266|8691-8703|8882-8894|9434-9446|9630-9642|10308-10320|10428-10440|10805-10817|10930-10942|11238-11250|11361-11373|11423-11435|11759-11771|11970-11982|12048-12060|12278-12290,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PSYCHOLOGICAL|PSYCHOLOGICAL|PSYCHOLOGICAL|PSYCHOLOGICAL|PSYCHOLOGICAL|PSYCHOLOGICAL|PSYCHOLOGICAL|PSYCHOLOGICAL|PSYCHOLOGICAL|PSYCHOLOGICAL|PSYCHOLOGICAL|PSYCHOLOGICAL|PSYCHOLOGICAL|PSYCHOLOGICAL|PSYCHOLOGICAL|PSYCHOLOGICAL|PSYCHOLOGICAL|PSYCHOLOGICAL|PSYCHOLOGICAL|PSYCHOLOGICAL|PSYCHOLOGICAL|PSYCHOLOGICAL|PSYCHOLOGICAL|PSYCHOLOGICAL|PSYCHOLOGICAL|PSYCHOLOGICAL|PSYCHOLOGICAL|PSYCHOLOGICAL
