prefLabel,id,from_to,matchType,text
Fear,http://purl.bioontology.org/ontology/MESH/D005239,5-8|440-443|1208-1211|1244-1247|1301-1304|1374-1377|1463-1466|1513-1516|1808-1811|1948-1951|1995-1998|2091-2094|2135-2138|2223-2226|2237-2240|2270-2273|2292-2295|2490-2493|2981-2984|3336-3339|3443-3446|3485-3488|3578-3581|3692-3695|3900-3903|3952-3955|4062-4065|4129-4132|4377-4380|5426-5429|6576-6579|6680-6683|6865-6868|7034-7037|7097-7100|7230-7233|7356-7359|9196-9199|10326-10329|10554-10557|11597-11600|12005-12008|12308-12311|12836-12839|12870-12873|13130-13133|13281-13284|13411-13414|13735-13738|13786-13789|14082-14085|14117-14120|14330-14333|15335-15338|15613-15616|15941-15944|16079-16082|16215-16218|16383-16386|16528-16531|16701-16704|16736-16739|16857-16860|16946-16949|17063-17066|17075-17078|17227-17230|17525-17528|18014-18017|18121-18124|18206-18209|18708-18711|18788-18791|18901-18904|19077-19080|19506-19509|20513-20516|20733-20736|20873-20876|21229-21232|21375-21378|21589-21592|21860-21863|21922-21925|22106-22109|22177-22180|22605-22608|22968-22971|23059-23062|23927-23930|24380-24383|25956-25959|26019-26022|26050-26053|27158-27162|27271-27274|27711-27714|27841-27844|28083-28086|28218-28221|28494-28497|28787-28790|28973-28976|29032-29035|29054-29057|29852-29855|29981-29984|30063-30066|30139-30142|30529-30532|30766-30769|30971-30974|31406-31409|31539-31542|31629-31632|31750-31753|32456-32459|32620-32623|32843-32846|33338-33341,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEARS|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR
Low Back Pain,http://purl.bioontology.org/ontology/MESH/D017116,98-110|465-477|507-519|803-815|906-918|32114-32126|32288-32300|32815-32827|33439-33451,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN
Back Pain,http://purl.bioontology.org/ontology/MESH/D001416,102-110|469-477|511-519|807-815|910-918|28542-28550|31895-31903|32118-32126|32292-32300|32542-32550|32819-32827|33443-33451,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN
Pain,http://purl.bioontology.org/ontology/MESH/D010146,107-110|140-143|258-261|273-276|308-311|427-430|474-477|516-519|576-579|812-815|915-918|1081-1084|1200-1203|1266-1269|2037-2040|2078-2081|2186-2189|2231-2234|2372-2375|2671-2674|2876-2879|2968-2971|3106-3109|3183-3186|3300-3303|3399-3402|3939-3942|4116-4119|4438-4441|4512-4515|4654-4657|4703-4706|4868-4871|4954-4957|5072-5075|5136-5139|5351-5354|5538-5541|5605-5608|5664-5667|5683-5686|5771-5774|6100-6103|6456-6459|6507-6510|6619-6622|6893-6896|7021-7024|7056-7059|7084-7087|7178-7181|7217-7220|7249-7252|7343-7346|7365-7368|7434-7437|7546-7549|7629-7632|7812-7815|8011-8014|8048-8051|8157-8160|8939-8942|9183-9186|10313-10316|10562-10565|10853-10856|11156-11159|11559-11562|11584-11587|11705-11708|11874-11877|11992-11995|12204-12207|12316-12319|12823-12826|13373-13376|13398-13401|13466-13469|13491-13494|13537-13540|13621-13624|13639-13642|13686-13689|13722-13725|13773-13776|13889-13892|14211-14214|14272-14275|14317-14320|14386-14389|14395-14398|14801-14804|15009-15012|15928-15931|15963-15966|16055-16058|16133-16136|16370-16373|16392-16395|16515-16518|16792-16795|16986-16989|17011-17014|17050-17053|17174-17177|17312-17315|17370-17373|17461-17464|17512-17515|17606-17609|17707-17710|18001-18004|18108-18111|18193-18196|18398-18401|18491-18494|18695-18698|18775-18778|19321-19324|20223-20226|20860-20863|21080-21083|21437-21440|21576-21579|21887-21890|21909-21912|22093-22096|23914-23917|24320-24323|24367-24370|24414-24417|24613-24616|24859-24862|24936-24939|25114-25117|25432-25435|26037-26040|26111-26114|26203-26206|27014-27017|27258-27261|27347-27350|27698-27701|27743-27746|27882-27885|28070-28073|28547-28550|28606-28609|28915-28918|28930-28933|29225-29228|29400-29403|29709-29712|29899-29902|30071-30074|30168-30171|30186-30189|30384-30387|30427-30430|30651-30654|30721-30724|31616-31619|31650-31653|31714-31717|31737-31740|31800-31803|31848-31851|31900-31903|31974-31977|32031-32034|32123-32126|32297-32300|32435-32438|32547-32550|32607-32610|32675-32678|32705-32708|32824-32827|32830-32833|32852-32855|33069-33072|33113-33116|33168-33171|33199-33202|33317-33320|33448-33451,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Chronic Pain,http://purl.bioontology.org/ontology/MESH/D059350,132-143|1073-1084|4646-4657|8003-8014|14203-14214|14264-14275|14378-14389|14793-14804|16125-16136|24851-24862|28598-28609|29217-29228|30160-30171|30178-30189|30643-30654|31706-31717|33160-33171,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN
Paper,http://purl.bioontology.org/ontology/MESH/D010209,159-163,PREF,PAPER
Attention,http://purl.bioontology.org/ontology/MESH/D001288,295-303|1165-1173|6880-6888|7165-7173|7612-7620|7693-7701|7771-7779|8926-8934|14602-14610|14922-14930|31693-31701,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ATTENTION|ATTENTION|ATTENTION|ATTENTION|ATTENTION|ATTENTION|ATTENTION|ATTENTION|ATTENTION|ATTENTION|ATTENTION
Behavior,http://purl.bioontology.org/ontology/MESH/D001519,331-338|1664-1671|3597-3604|4564-4571|7875-7882|8187-8194|8740-8747|11001-11008|14750-14757|15304-15311|16021-16028|19963-19970|24045-24052|26421-26428|30811-30818,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR
Behavior,http://purl.bioontology.org/ontology/STY/T053,331-338|1664-1671|3597-3604|4564-4571|7875-7882|8187-8194|8740-8747|11001-11008|14750-14757|15304-15311|16021-16028|19963-19970|24045-24052|26421-26428|30811-30818,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR
Maintenance,http://purl.bioontology.org/ontology/MESH/D008283,552-562|14363-14373|14445-14455|27984-27994,PREF|PREF|PREF|PREF,MAINTENANCE|MAINTENANCE|MAINTENANCE|MAINTENANCE
