prefLabel,id,from_to,matchType,text
Fear,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C77960,5-8|440-443|1208-1211|1244-1247|1301-1304|1374-1377|1463-1466|1513-1516|1808-1811|1948-1951|1995-1998|2091-2094|2135-2138|2223-2226|2237-2240|2270-2273|2292-2295|2490-2493|2981-2984|3336-3339|3443-3446|3485-3488|3578-3581|3692-3695|3900-3903|3952-3955|4062-4065|4129-4132|4377-4380|5426-5429|6576-6579|6680-6683|6795-6801|6865-6868|7034-7037|7097-7100|7230-7233|7356-7359|8350-8356|9196-9199|10326-10329|10554-10557|11597-11600|12005-12008|12308-12311|12836-12839|12870-12873|13130-13133|13281-13284|13411-13414|13735-13738|13786-13789|14082-14085|14117-14120|14330-14333|15335-15338|15613-15616|15941-15944|16079-16082|16215-16218|16383-16386|16528-16531|16701-16704|16736-16739|16857-16860|16946-16949|17063-17066|17075-17078|17227-17230|17525-17528|18014-18017|18121-18124|18206-18209|18285-18291|18708-18711|18788-18791|18901-18904|19077-19080|19506-19509|19618-19624|19741-19747|19815-19821|20271-20277|20390-20396|20513-20516|20733-20736|20873-20876|21229-21232|21375-21378|21589-21592|21860-21863|21922-21925|22106-22109|22177-22180|22605-22608|22968-22971|23059-23062|23853-23859|23927-23930|24380-24383|25956-25959|26019-26022|26050-26053|26377-26383|27271-27274|27711-27714|27841-27844|28083-28086|28218-28221|28494-28497|28787-28790|28973-28976|29032-29035|29054-29057|29852-29855|29981-29984|30063-30066|30139-30142|30529-30532|30766-30769|30877-30883|30971-30974|31406-31409|31539-31542|31629-31632|31750-31753|32456-32459|32620-32623|32843-32846|33338-33341,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|SYN|SYN|SYN|SYN|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEARFUL|FEAR|FEAR|FEAR|FEAR|FEAR|FEARFUL|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEARFUL|FEAR|FEAR|FEAR|FEAR|FEAR|FEARFUL|FEARFUL|FEARFUL|FEARFUL|FEARFUL|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEARFUL|FEAR|FEAR|FEAR|FEAR|FEAR|FEARFUL|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEARFUL|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR
Avoidance,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54264,10-18|321-329|1638-1646|1654-1662|2495-2503|3035-3043|3587-3595|4067-4075|4382-4390|4554-4562|4779-4787|7855-7863|8177-8185|8467-8475|8730-8738|8789-8797|9351-9359|10991-10999|12875-12883|13135-13143|13286-13294|14087-14095|14122-14130|14546-14554|14740-14748|15618-15626|16011-16019|16220-16228|16706-16714|16741-16749|16862-16870|16951-16959|17080-17088|17232-17240|18906-18914|19082-19090|19511-19519|19855-19863|19953-19961|20326-20334|21234-21242|21380-21388|21865-21873|25961-25969|26154-26162|26411-26419|28223-28231|28499-28507|30091-30099|30534-30542|30801-30809|31028-31036|31411-31419|31544-31552|31598-31606|33343-33351,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE
Model,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43383,20-24|251-255|978-982|2447-2451|2505-2509|2528-2532|3507-3511|3530-3534|3791-3795|4077-4081|4276-4280|4392-4396|7848-7852|13296-13300|14001-14005|14097-14101|14132-14136|16716-16720|25971-25975|27940-27944|28233-28237|28509-28513|31320-31324|31421-31425|31554-31558,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,MODEL|MODEL|MODEL|MODEL|MODEL|MODEL|MODEL|MODEL|MODEL|MODEL|MODEL|MODEL|MODEL|MODEL|MODEL|MODEL|MODEL|MODEL|MODEL|MODEL|MODEL|MODEL|MODEL|MODEL|MODEL
Model,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16866,20-24|251-255|978-982|2447-2451|2505-2509|2528-2532|3507-3511|3530-3534|3791-3795|4077-4081|4276-4280|4392-4396|7848-7852|13296-13300|14001-14005|14097-14101|14132-14136|16716-16720|25971-25975|27940-27944|28233-28237|28509-28513|30544-30549|31320-31324|31421-31425|31554-31558,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF,MODEL|MODEL|MODEL|MODEL|MODEL|MODEL|MODEL|MODEL|MODEL|MODEL|MODEL|MODEL|MODEL|MODEL|MODEL|MODEL|MODEL|MODEL|MODEL|MODEL|MODEL|MODEL|MODELS|MODEL|MODEL|MODEL
Cognitive,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37926,31-39|2426-2434|5401-5409|6765-6773|20656-20664|21314-21322|21724-21732,PREF|PREF|PREF|PREF|PREF|PREF|PREF,COGNITIVE|COGNITIVE|COGNITIVE|COGNITIVE|COGNITIVE|COGNITIVE|COGNITIVE
Behavior,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16326,41-50|331-338|1664-1671|2436-2445|3597-3604|4564-4571|5477-5486|7875-7882|8187-8194|8395-8404|8740-8747|11001-11008|14750-14757|15304-15311|16021-16028|19963-19970|20666-20675|21324-21333|21734-21743|22677-22686|24045-24052|25741-25750|25806-25815|26421-26428|30811-30818,SYN|PREF|PREF|SYN|PREF|PREF|SYN|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|SYN|SYN|SYN|SYN|PREF|SYN|SYN|PREF|PREF,BEHAVIORAL|BEHAVIOR|BEHAVIOR|BEHAVIORAL|BEHAVIOR|BEHAVIOR|BEHAVIORAL|BEHAVIOR|BEHAVIOR|BEHAVIORAL|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIOR|BEHAVIORAL|BEHAVIORAL|BEHAVIORAL|BEHAVIORAL|BEHAVIOR|BEHAVIORAL|BEHAVIORAL|BEHAVIOR|BEHAVIOR
Acute,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14140,92-96|529-533|797-801|2649-2653|2665-2669|3100-3104|5108-5112|14194-14198|15957-15961|16049-16053|16424-16428|16786-16790|21515-21519|28536-28540|31835-31839|32282-32286|32809-32813,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ACUTE|ACUTE|ACUTE|ACUTE|ACUTE|ACUTE|ACUTE|ACUTE|ACUTE|ACUTE|ACUTE|ACUTE|ACUTE|ACUTE|ACUTE|ACUTE|ACUTE
Low,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54722,98-100|465-467|507-509|803-805|906-908|32114-32116|32288-32290|32815-32817|32953-32955|33439-33441,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW
Back Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41830,102-110|469-477|511-519|807-815|910-918|28542-28550|31895-31903|32118-32126|32292-32300|32542-32550|32819-32827|33443-33451,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN
Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3303,107-110|140-143|258-261|273-276|308-311|427-430|474-477|516-519|576-579|812-815|915-918|1081-1084|1200-1203|1266-1269|2037-2040|2078-2081|2186-2189|2231-2234|2372-2375|2671-2674|2876-2879|2968-2971|3106-3109|3183-3186|3300-3303|3399-3402|3939-3942|4116-4119|4438-4441|4512-4515|4654-4657|4703-4706|4868-4871|4954-4957|5072-5075|5136-5139|5351-5354|5538-5541|5605-5608|5664-5667|5683-5686|5771-5774|6100-6103|6456-6459|6507-6510|6619-6622|6893-6896|7021-7024|7056-7059|7084-7087|7178-7181|7217-7220|7249-7252|7343-7346|7365-7368|7434-7437|7546-7549|7629-7632|7812-7815|8011-8014|8048-8051|8157-8160|8939-8942|9183-9186|10313-10316|10562-10565|10853-10856|11156-11159|11559-11562|11584-11587|11705-11708|11874-11877|11992-11995|12204-12207|12316-12319|12823-12826|13373-13376|13398-13401|13466-13469|13491-13494|13537-13540|13621-13624|13639-13642|13686-13689|13722-13725|13773-13776|13889-13892|14211-14214|14272-14275|14317-14320|14386-14389|14395-14398|14801-14804|15009-15012|15928-15931|15963-15966|16055-16058|16133-16136|16370-16373|16392-16395|16515-16518|16792-16795|16986-16989|17011-17014|17050-17053|17174-17177|17312-17315|17370-17373|17461-17464|17512-17515|17606-17609|17707-17710|18001-18004|18108-18111|18193-18196|18398-18401|18491-18494|18695-18698|18775-18778|19321-19324|20223-20226|20860-20863|21080-21083|21437-21440|21576-21579|21887-21890|21909-21912|22093-22096|23914-23917|24320-24323|24367-24370|24414-24417|24613-24616|24859-24862|24936-24939|25114-25117|25432-25435|26037-26040|26111-26114|26203-26206|27014-27017|27258-27261|27347-27350|27698-27701|27743-27746|27882-27885|28070-28073|28547-28550|28606-28609|28915-28918|28930-28933|29225-29228|29400-29403|29709-29712|29899-29902|30071-30074|30168-30171|30186-30189|30384-30387|30427-30430|30651-30654|30721-30724|31616-31619|31650-31653|31714-31717|31737-31740|31800-31803|31848-31851|31900-31903|31974-31977|32031-32034|32123-32126|32297-32300|32435-32438|32547-32550|32607-32610|32675-32678|32705-32708|32824-32827|32830-32833|32852-32855|33069-33072|33113-33116|33168-33171|33199-33202|33317-33320|33448-33451,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
