prefLabel,id,from_to,matchType,text
avoidance,http://sbmi.uth.tmc.edu/ontology/ochv#51036,10-18|321-329|1638-1646|1654-1662|2495-2503|3035-3043|3587-3595|4067-4075|4382-4390|4554-4562|4779-4787|7855-7863|8177-8185|8467-8475|8730-8738|8789-8797|9351-9359|10991-10999|12875-12883|13135-13143|13286-13294|14087-14095|14122-14130|14546-14554|14740-14748|15618-15626|16011-16019|16220-16228|16706-16714|16741-16749|16862-16870|16951-16959|17080-17088|17232-17240|18906-18914|19082-19090|19511-19519|19855-19863|19953-19961|20326-20334|21234-21242|21380-21388|21865-21873|25961-25969|26154-26162|26411-26419|28223-28231|28499-28507|30091-30099|30534-30542|30801-30809|31028-31036|31411-31419|31544-31552|31598-31606|33343-33351,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE
avoidance,http://sbmi.uth.tmc.edu/ontology/ochv#C0870186,10-18|321-329|1638-1646|1654-1662|2495-2503|3035-3043|3587-3595|4067-4075|4382-4390|4554-4562|4779-4787|7855-7863|8177-8185|8467-8475|8730-8738|8789-8797|9351-9359|10991-10999|12875-12883|13135-13143|13286-13294|14087-14095|14122-14130|14546-14554|14740-14748|15618-15626|16011-16019|16220-16228|16706-16714|16741-16749|16862-16870|16951-16959|17080-17088|17232-17240|18906-18914|19082-19090|19511-19519|19855-19863|19953-19961|20326-20334|21234-21242|21380-21388|21865-21873|25961-25969|26154-26162|26411-26419|28223-28231|28499-28507|30091-30099|30534-30542|30801-30809|31028-31036|31411-31419|31544-31552|31598-31606|33343-33351,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE
minority,http://sbmi.uth.tmc.edu/ontology/ochv#43231,80-87|879-886|2618-2625,PREF|PREF|PREF,MINORITY|MINORITY|MINORITY
acute low back pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0457950,92-110|797-815|32282-32300|32809-32827,PREF|PREF|PREF|PREF,ACUTE LOW BACK PAIN|ACUTE LOW BACK PAIN|ACUTE LOW BACK PAIN|ACUTE LOW BACK PAIN
acute,http://sbmi.uth.tmc.edu/ontology/ochv#C0205178,92-96|529-533|797-801|2649-2653|2665-2669|3100-3104|5108-5112|14194-14198|15957-15961|16049-16053|16424-16428|16786-16790|21515-21519|28536-28540|31835-31839|32282-32286|32809-32813,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ACUTE|ACUTE|ACUTE|ACUTE|ACUTE|ACUTE|ACUTE|ACUTE|ACUTE|ACUTE|ACUTE|ACUTE|ACUTE|ACUTE|ACUTE|ACUTE|ACUTE
low back pain,http://sbmi.uth.tmc.edu/ontology/ochv#7549,98-110|465-477|507-519|803-815|818-820|906-918|2655-2657|4176-4178|6803-6805|11439-11441|12598-12600|15696-15698|17159-17161|17406-17408|17762-17764|17882-17884|21521-21523|27321-27323|27411-27413|27549-27551|27633-27635|28118-28120|32114-32126|32288-32300|32815-32827|33439-33451,PREF|PREF|PREF|PREF|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|PREF|PREF|PREF,LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LBP|LOW BACK PAIN|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN
low,http://sbmi.uth.tmc.edu/ontology/ochv#C0205251,98-100|465-467|507-509|803-805|906-908|32114-32116|32288-32290|32815-32817|32953-32955|33439-33441,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW
back pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0004604,102-110|469-477|511-519|807-815|910-918|28542-28550|31895-31903|32118-32126|32292-32300|32542-32550|32819-32827|33443-33451,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN
back pain,http://sbmi.uth.tmc.edu/ontology/ochv#1662,102-110|469-477|511-519|807-815|910-918|28542-28550|31895-31903|32118-32126|32292-32300|32542-32550|32819-32827|33443-33451,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN
pain,http://sbmi.uth.tmc.edu/ontology/ochv#9185,107-110|140-143|258-261|273-276|308-311|427-430|474-477|516-519|576-579|812-815|915-918|1081-1084|1200-1203|1266-1269|2037-2040|2078-2081|2186-2189|2231-2234|2372-2375|2671-2674|2876-2879|2968-2971|3106-3109|3183-3186|3300-3303|3399-3402|3939-3942|4116-4119|4438-4441|4512-4515|4654-4657|4703-4706|4868-4871|4954-4957|5072-5075|5136-5139|5351-5354|5538-5541|5605-5608|5664-5667|5683-5686|5771-5774|6049-6055|6100-6103|6221-6227|6456-6459|6507-6510|6619-6622|6893-6896|7021-7024|7056-7059|7084-7087|7178-7181|7217-7220|7249-7252|7343-7346|7365-7368|7434-7437|7546-7549|7629-7632|7812-7815|8011-8014|8048-8051|8157-8160|8939-8942|9183-9186|10313-10316|10562-10565|10853-10856|11156-11159|11559-11562|11584-11587|11705-11708|11804-11810|11874-11877|11992-11995|12204-12207|12316-12319|12823-12826|13373-13376|13398-13401|13466-13469|13491-13494|13537-13540|13621-13624|13639-13642|13686-13689|13722-13725|13773-13776|13889-13892|14211-14214|14272-14275|14317-14320|14386-14389|14395-14398|14801-14804|15009-15012|15928-15931|15963-15966|16055-16058|16133-16136|16370-16373|16392-16395|16515-16518|16792-16795|16986-16989|17011-17014|17050-17053|17174-17177|17312-17315|17370-17373|17461-17464|17512-17515|17606-17609|17707-17710|18001-18004|18108-18111|18193-18196|18398-18401|18491-18494|18695-18698|18775-18778|19201-19207|19321-19324|20223-20226|20860-20863|21080-21083|21437-21440|21576-21579|21887-21890|21909-21912|22093-22096|23914-23917|24320-24323|24367-24370|24414-24417|24613-24616|24859-24862|24936-24939|25114-25117|25163-25169|25207-25213|25432-25435|26037-26040|26111-26114|26203-26206|27014-27017|27238-27244|27258-27261|27347-27350|27698-27701|27743-27746|27882-27885|28070-28073|28547-28550|28606-28609|28915-28918|28930-28933|29225-29228|29400-29403|29709-29712|29899-29902|30071-30074|30168-30171|30186-30189|30384-30387|30427-30430|30651-30654|30721-30724|31616-31619|31650-31653|31714-31717|31737-31740|31800-31803|31848-31851|31900-31903|31974-31977|32031-32034|32123-32126|32297-32300|32435-32438|32547-32550|32607-32610|32675-32678|32705-32708|32824-32827|32830-32833|32852-32855|33069-33072|33113-33116|33168-33171|33199-33202|33317-33320|33448-33451,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|SYN|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAINFUL|PAIN|PAINFUL|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAINFUL|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAINFUL|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAINFUL|PAINFUL|PAIN|PAIN|PAIN|PAIN|PAIN|PAINFUL|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
