prefLabel,id,from_to,matchType,text
Experience,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54627,163-172,PREF,EXPERIENCE
Persistent,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43623,174-183|1039-1048|2417-2426,PREF|PREF|PREF,PERSISTENT|PERSISTENT|PERSISTENT
Recurrent,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14173,189-197|1054-1062|2428-2436,PREF|PREF|PREF,RECURRENT|RECURRENT|RECURRENT
Acute,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14140,217-221|406-410|509-513|935-939|2199-2203|2395-2399|2573-2577|8786-8790|8982-8986|9065-9069,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ACUTE|ACUTE|ACUTE|ACUTE|ACUTE|ACUTE|ACUTE|ACUTE|ACUTE|ACUTE
Episode,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75539,223-229|2209-2215|4489-4495,PREF|PREF|PREF,EPISODE|EPISODE|EPISODE
Longitudinal,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25242,257-268|8861-8872,PREF|PREF,LONGITUDINAL|LONGITUDINAL
Cohort Study,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15208,270-281|270-275|865-870|7687-7692,PREF|SYN|SYN|SYN,COHORT STUDY|COHORT|COHORT|COHORT
Cohort,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61512,270-275|865-870|7687-7692,PREF|PREF|PREF,COHORT|COHORT|COHORT
Study,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63536,277-281|3450-3454|4865-4869|8171-8175|10022-10026|10191-10195|10559-10563|10929-10933|10989-10993,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY|STUDY
Established,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C71155,287-297,PREF,ESTABLISHED
Address,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25407,302-308,PREF,ADDRESS
Address,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C86945,302-308,PREF,ADDRESS
Problem,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28020,315-321,PREF,PROBLEM
Methodology,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C86572,348-358,PREF,METHODOLOGY
Baseline Characteristics,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C142401,373-396|738-761|2540-2563|9162-9185,PREF|PREF|PREF|PREF,BASELINE CHARACTERISTICS|BASELINE CHARACTERISTICS|BASELINE CHARACTERISTICS|BASELINE CHARACTERISTICS
Baseline,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25213,373-380|624-631|738-745|2540-2547|5877-5884|5983-5990|8776-8783|9162-9169,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BASELINE|BASELINE|BASELINE|BASELINE|BASELINE|BASELINE|BASELINE|BASELINE
Control,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61299,420-426|680-686|2587-2593|3215-3221|4554-4560|7137-7143|7174-7180|7743-7749|8696-8702,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL
Follow-Up,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16033,468-476|829-837|2601-2609|2619-2627|3824-3832|8737-8745|9107-9115|9252-9260,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FOLLOW-UP|FOLLOW-UP|FOLLOW-UP|FOLLOW-UP|FOLLOW-UP|FOLLOW-UP|FOLLOW-UP|FOLLOW-UP
Follow,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64950,468-473|829-834|2601-2606|2619-2624|3824-3829|8737-8742|9107-9112|9252-9257,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FOLLOW|FOLLOW|FOLLOW|FOLLOW|FOLLOW|FOLLOW|FOLLOW|FOLLOW
Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3303,526-529|690-693|1326-1329|1890-1893|2902-2905|3533-3536|3694-3697|4776-4779|5299-5302|5896-5899|6002-6005|11430-11433,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Social,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62650,573-578|3984-3989,PREF|PREF,SOCIAL|SOCIAL
Collection,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25453,611-619|2505-2514|8189-8197|9693-9702|10210-10219,SYN|PREF|SYN|PREF|PREF,COLLECTED|COLLECTION|COLLECTED|COLLECTION|COLLECTION
Monthly,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64498,639-645,PREF,MONTHLY
12 Months,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C156842,651-659|2176-2184|3240-3248|3596-3604|8466-8474|8607-8615,PREF|PREF|PREF|PREF|PREF|PREF,12 MONTHS|12 MONTHS|12 MONTHS|12 MONTHS|12 MONTHS|12 MONTHS
Month,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29846,654-659|672-677|2179-2184|3165-3170|3204-3209|3243-3248|3349-3353|3599-3604|4638-4642|8469-8474|8610-8615|8752-8757,SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|PREF|SYN|SYN|SYN,MONTHS|MONTHS|MONTHS|MONTHS|MONTHS|MONTHS|MONTH|MONTHS|MONTH|MONTHS|MONTHS|MONTHS
Disability,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C21007,699-708|1368-1377|2911-2920|3542-3551|3703-3712,PREF|PREF|PREF|PREF|PREF,DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY
Return,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C71900,817-822|8726-8731|9241-9246,PREF|PREF|PREF,RETURN|RETURN|RETURN
Have,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101282,872-875|1483-1486|1795-1798|3658-3661|3719-3722|11055-11058,PREF|PREF|PREF|PREF|PREF|PREF,HAVE|HAVE|HAVE|HAVE|HAVE|HAVE
Important,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C115916,886-894,PREF,IMPORTANT
Future,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C67527,966-971|8854-8859,PREF|PREF,FUTURE|FUTURE
Provide,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80514,987-993|4805-4812|7086-7093|8829-8835|10843-10850,PREF|SYN|SYN|PREF|SYN,PROVIDE|PROVIDED|PROVIDED|PROVIDE|PROVIDED
New,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25586,995-997,PREF,NEW
Material,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48187,1072-1079,PREF,MATERIAL
Use,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25340,1157-1159|1228-1230|8248-8250,PREF|PREF|PREF,USE|USE|USE
Use,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C95018,1157-1159|1228-1230|8248-8250,PREF|PREF|PREF,USE|USE|USE
Regulation,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68821,1191-1200,PREF,REGULATION
Need,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41204,1242-1245|4443-4446,PREF|PREF,NEED|NEED
Obtain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C52349,1250-1255|5804-5811,PREF|SYN,OBTAIN|OBTAINED
Copyright,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45337,1286-1294,PREF,COPYRIGHT
Holder,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53299,1296-1301,PREF,HOLDER
Low,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54722,1317-1319|11347-11349|11421-11423,PREF|PREF|PREF,LOW|LOW|LOW
Back Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41830,1321-1329|11425-11433,PREF|PREF,BACK PAIN|BACK PAIN
Prior,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25629,1351-1357|9929-9933,SYN|PREF,LEADING|PRIOR
Associated,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25281,1390-1399|4953-4962|11442-11451,PREF|PREF|PREF,ASSOCIATED|ASSOCIATED|ASSOCIATED
Long-Term,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25322,1538-1546,PREF,LONG-TERM
Long,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48311,1538-1541,PREF,LONG
Long,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25248,1538-1541,PREF,LONG
Term,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45559,1543-1546,PREF,TERM
Term,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25703,1543-1546,PREF,TERM
Outcome,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20200,1548-1554|1664-1670|1743-1749|2054-2060|9487-9493,PREF|PREF|PREF|PREF|PREF,OUTCOME|OUTCOME|OUTCOME|OUTCOME|OUTCOME
Diagnostic,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25482,1562-1571,PREF,DIAGNOSTIC
Injury,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3671,1576-1581,PREF,INJURY
Small,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25376,1628-1632,PREF,SMALL
Proportion,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49159,1634-1643,PREF,PROPORTION
Variance,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48918,1652-1659,PREF,VARIANCE
Incomplete,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49160,1691-1700,PREF,INCOMPLETE
