prefLabel,id,from_to,matchType,text
Motion,http://purl.bioontology.org/ontology/MESH/D009038,17-22|839-844|2101-2106|10174-10179|16400-16405,PREF|PREF|PREF|PREF|PREF,MOTION|MOTION|MOTION|MOTION|MOTION
Low Back Pain,http://purl.bioontology.org/ontology/MESH/D017116,35-47|1740-1752|3221-3233|21282-21294,PREF|PREF|PREF|PREF,LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN
Back Pain,http://purl.bioontology.org/ontology/MESH/D001416,39-47|1744-1752|3225-3233|21286-21294,PREF|PREF|PREF|PREF,BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN
Pain,http://purl.bioontology.org/ontology/MESH/D010146,44-47|1336-1339|1749-1752|1873-1876|3230-3233|3567-3570|3603-3606|6467-6470|6630-6633|6809-6812|9399-9402|9405-9408|10742-10745|12335-12338|14166-14169|15058-15061|15220-15223|17951-17954|18691-18694|20939-20942|21125-21128|21202-21205|21291-21294,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Fear,http://purl.bioontology.org/ontology/MESH/D005239,123-126|216-219|348-351|513-516|620-623|743-746|928-931|1076-1079|1214-1217|1365-1368|2301-2304|2568-2571|2807-2810|2983-2986|3530-3533|4083-4086|4246-4249|4303-4306|4751-4754|4855-4858|6986-6989|7962-7965|9246-9249|10248-10251|10376-10379|11525-11528|11718-11721|12041-12044|12194-12197|12280-12283|12479-12482|12575-12578|12815-12818|12900-12903|13380-13383|13654-13657|13959-13962|14926-14929|15106-15109|15529-15532|17371-17374|17692-17695|18800-18803|18896-18899|20160-20163|20542-20545|20684-20687|20829-20832|21177-21180|21232-21235,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR
Movement,http://purl.bioontology.org/ontology/MESH/D009068,233-240|663-670|767-774|1119-1126|1220-1227|2017-2024|2128-2136|2723-2730|2815-2822|3047-3054|3176-3183|3269-3276|3725-3732|3870-3877|4326-4334|4394-4401|6075-6082|8716-8723|9084-9091|12986-12994|13108-13116|14036-14044|14692-14699|16489-16496|16632-16639|17836-17843|18263-18271|18854-18862|19048-19055|19832-19839|20726-20733|20854-20861|21185-21192|21240-21247,PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|SYN|SYN|SYN|PREF|PREF|PREF|PREF|SYN|SYN|PREF|PREF|PREF|PREF|PREF|PREF,MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENTS|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENTS|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENTS|MOVEMENTS|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT
Persons,http://purl.bioontology.org/ontology/MESH/D009272,374-380|3779-3785|4597-4603|4813-4819|5157-5163|5595-5601|9862-9868|10006-10012|10409-10415|11135-11141|11907-11912|16144-16149|16864-16869|17177-17183|20593-20599,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|SYN|SYN|PREF|PREF,PERSONS|PERSONS|PERSONS|PERSONS|PERSONS|PERSONS|PERSONS|PERSONS|PERSONS|PERSONS|PERSON|PERSON|PERSON|PERSONS|PERSONS
Patients,http://purl.bioontology.org/ontology/MESH/D010361,383-390|1247-1254|1717-1724|1978-1985|2233-2240|2756-2763|3140-3147|3936-3943|4091-4098|4449-4456|4609-4616|4680-4687|4830-4837|5172-5179|6131-6138|6583-6590|6835-6842|7073-7080|9885-9892|10325-10332|10504-10511|10866-10873|11162-11169|11329-11336|11749-11756|12358-12365|12746-12753|13061-13068|13986-13993|14605-14612|15082-15089|16561-16568|17195-17202|17516-17523|18535-18542|20473-20480,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS
Research,http://purl.bioontology.org/ontology/MESH/D012106,988-995|15726-15733,PREF|PREF,RESEARCH|RESEARCH
Lead,http://purl.bioontology.org/ontology/MESH/D007854,1345-1348|17395-17398|17716-17719,PREF|PREF|PREF,LEAD|LEAD|LEAD
