prefLabel,id,from_to,matchType,text
Lumbar Spine,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C69314,1-6|262-267|823-828|2084-2089|4044-4049|4132-4137|4549-4554|4575-4580|4886-4891|7278-7283|8929-8940|8929-8934|9259-9264|9525-9530|9709-9714|9840-9845|10719-10724|10784-10789|10838-10843|10921-10926|11021-11026|11108-11113|11554-11559|11631-11636|11851-11856|11951-11956|13409-13414|14440-14451|14440-14445|14730-14735|15864-15869|16183-16188|16286-16291|16942-16947|17254-17259|17426-17431|19021-19026|19132-19143|19132-19137|19377-19382|19456-19461|20046-20051|20301-20306|20443-20448|20561-20566,SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN,LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR
Range of Motion,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63507,8-22|830-844|10165-10179|16391-16405,PREF|PREF|PREF|PREF,RANGE OF MOTION|RANGE OF MOTION|RANGE OF MOTION|RANGE OF MOTION
Range,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38013,8-12|830-834|2091-2095|6414-6418|10165-10169|16391-16395,PREF|PREF|PREF|PREF|PREF|PREF,RANGE|RANGE|RANGE|RANGE|RANGE|RANGE
Motion,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75602,17-22|839-844|2101-2106|10174-10179|16400-16405,PREF|PREF|PREF|PREF|PREF,MOTION|MOTION|MOTION|MOTION|MOTION
Chronic,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14141,27-33|1732-1738|5186-5192,PREF|PREF|PREF,CHRONIC|CHRONIC|CHRONIC
Low,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54722,35-37|459-461|1740-1742|3221-3223|10335-10337|11993-11995|12139-12141|17032-17034|17111-17113|17212-17214|20489-20491|21282-21284,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW
Back Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41830,39-47|1744-1752|3225-3233|21286-21294,PREF|PREF|PREF|PREF,BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN
Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3303,44-47|1336-1339|1749-1752|1873-1876|3230-3233|3567-3570|3603-3606|6467-6470|6630-6633|6809-6812|9399-9402|9405-9408|10742-10745|12335-12338|14166-14169|15058-15061|15220-15223|17951-17954|18691-18694|20939-20942|21125-21128|21202-21205|21291-21294,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Generalized,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63764,91-97|183-189|315-321|896-902|2536-2542|2795-2805|4213-4219|7652-7658|7930-7936|11493-11499|11685-11691|13348-13354|13939-13945|14093-14099|14773-14779|20128-20134,SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN,GENERAL|GENERAL|GENERAL|GENERAL|GENERAL|GENERALIZED|GENERAL|GENERAL|GENERAL|GENERAL|GENERAL|GENERAL|GENERAL|GENERAL|GENERAL|GENERAL
Fear,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C77960,123-126|216-219|348-351|513-516|620-623|743-746|928-931|1076-1079|1214-1217|1365-1368|2301-2304|2568-2571|2807-2810|2842-2848|2983-2986|3530-3533|4083-4086|4246-4249|4303-4306|4467-4473|4751-4754|4855-4858|6986-6989|7962-7965|9246-9249|10248-10251|10376-10379|11525-11528|11718-11721|11767-11773|12041-12044|12194-12197|12280-12283|12479-12482|12575-12578|12815-12818|12900-12903|13380-13383|13654-13657|13959-13962|14626-14632|14926-14929|15106-15109|15529-15532|17371-17374|17692-17695|18800-18803|18896-18899|20160-20163|20542-20545|20684-20687|20829-20832|21177-21180|21232-21235,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEARFUL|FEAR|FEAR|FEAR|FEAR|FEAR|FEARFUL|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEARFUL|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEARFUL|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR
