prefLabel,id,from_to,matchType,text
motion,http://sbmi.uth.tmc.edu/ontology/ochv#C0026597,17-22|839-844|2101-2106|10174-10179|16400-16405,PREF|PREF|PREF|PREF|PREF,MOTION|MOTION|MOTION|MOTION|MOTION
motion,http://sbmi.uth.tmc.edu/ontology/ochv#8269,17-22|839-844|2101-2106|10174-10179|16400-16405,PREF|PREF|PREF|PREF|PREF,MOTION|MOTION|MOTION|MOTION|MOTION
chronic low back pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0457949,27-47|1732-1752,PREF|PREF,CHRONIC LOW BACK PAIN|CHRONIC LOW BACK PAIN
chronic,http://sbmi.uth.tmc.edu/ontology/ochv#C0205191,27-33|1732-1738|5186-5192,PREF|PREF|PREF,CHRONIC|CHRONIC|CHRONIC
low back pain,http://sbmi.uth.tmc.edu/ontology/ochv#7549,35-47|1740-1752|3221-3233|3236-3238|5207-5209|5422-5424|5526-5528|6202-6204|6331-6333|7102-7104|9439-9441|15010-15012|21282-21294,PREF|PREF|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF,LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LOW BACK PAIN
low,http://sbmi.uth.tmc.edu/ontology/ochv#C0205251,35-37|459-461|1740-1742|3221-3223|10335-10337|11993-11995|12139-12141|17032-17034|17111-17113|17212-17214|20489-20491|21282-21284,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW
back pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0004604,39-47|1744-1752|3225-3233|21286-21294,PREF|PREF|PREF|PREF,BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN
back pain,http://sbmi.uth.tmc.edu/ontology/ochv#1662,39-47|1744-1752|3225-3233|21286-21294,PREF|PREF|PREF|PREF,BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN
pain,http://sbmi.uth.tmc.edu/ontology/ochv#9185,44-47|1336-1339|1749-1752|1873-1876|3230-3233|3567-3570|3603-3606|4386-4392|6467-6470|6630-6633|6809-6812|9399-9402|9405-9408|10742-10745|12335-12338|14166-14169|15058-15061|15220-15223|17951-17954|18691-18694|20939-20942|21125-21128|21202-21205|21291-21294,PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAINFUL|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0030193,44-47|1336-1339|1749-1752|1873-1876|3230-3233|3567-3570|3603-3606|6467-6470|6630-6633|6809-6812|9399-9402|9405-9408|10742-10745|12335-12338|14166-14169|15058-15061|15220-15223|17951-17954|18691-18694|20939-20942|21125-21128|21202-21205|21291-21294,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
