prefLabel,id,from_to,matchType,text
Pain,http://purl.bioontology.org/ontology/MESH/D010146,26-29|273-276|282-285|351-354|741-744|771-774|852-855|1002-1005|1150-1153|1282-1285|1403-1406|1598-1601|1684-1687|1772-1775|2540-2543|2583-2586|2972-2975|3630-3633|3953-3956|4010-4013|4936-4939|5858-5861|5867-5870|6072-6075|6169-6172|6188-6191|6333-6336|6542-6545|6687-6690|7280-7283|7355-7358|7401-7404|7532-7535|7615-7618|7830-7833|8032-8035|8213-8216|8266-8269|8448-8451|8869-8872|9526-9529|9633-9636|9714-9717|9854-9857|9889-9892|9976-9979|10057-10060|10215-10218|10305-10308|10391-10394|10429-10432|10463-10466|10576-10579|13360-13363|13455-13458|14613-14616|14743-14746|14855-14858|14970-14973|15105-15108|15628-15631|16018-16021|16104-16107|16275-16278|16322-16325|16507-16510|17044-17047|17094-17097|17437-17440|17535-17538|17606-17609|17682-17685|17932-17935|18155-18158|18323-18326|18407-18410|18577-18580|18781-18784|18955-18958|19593-19596|20093-20096|20348-20351|22838-22841|23014-23017|23048-23051|23172-23175|23410-23413|23604-23607|24042-24045|24123-24126,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Fear,http://purl.bioontology.org/ontology/MESH/D005239,39-42|295-298|784-787|865-868|1015-1018|1163-1166|1295-1298|1697-1700|6201-6204|6346-6349|6555-6558|6647-6650|6700-6703|6859-6862|7107-7110|7165-7168|7368-7371|7414-7417|7628-7631|7843-7846|8045-8048|8226-8229|8279-8282|8461-8464|8549-8552|8607-8610|8692-8695|14563-14566|14868-14871|14983-14986|15641-15644|16031-16034|16117-16120|16288-16291|16335-16338|16520-16523|16716-16719|17057-17060|17107-17110|17252-17255|17450-17453|17619-17622|18336-18339|18420-18423|18498-18501|18590-18593|18794-18797|20106-20109|21792-21795|21915-21918|22175-22178|23061-23064|23185-23188|23423-23426|23617-23620|24055-24058|24136-24139,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR
Activity,http://purl.bioontology.org/ontology/STY/T052,132-139|2173-2180|2244-2251|2403-2410|3708-3715|3854-3861|3997-4004|4060-4067|4360-4367|4520-4527|4567-4574|5991-5998|6943-6950|6982-6989|7706-7713|8582-8589|8728-8735|11453-11460|14673-14680|14900-14907|15003-15010|15413-15420|16400-16407|17070-17077|17303-17310|17773-17780|17914-17921|18394-18401|19464-19471|19677-19684|20278-20285|20717-20724|20898-20905|21029-21036|21928-21935|22188-22195|22976-22983|23194-23201|23349-23356|23582-23589|23690-23697|23959-23966|24081-24088,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY
Time,http://purl.bioontology.org/ontology/MESH/D013995,593-596|9487-9490,PREF|PREF,TIME|TIME
Relaxation,http://purl.bioontology.org/ontology/MESH/D012063,609-618|4146-4155|4624-4633|4725-4734|6880-6889|10722-10731,PREF|PREF|PREF|PREF|PREF|PREF,RELAXATION|RELAXATION|RELAXATION|RELAXATION|RELAXATION|RELAXATION
Musculoskeletal Abnormalities,http://purl.bioontology.org/ontology/MESH/D009139,1328-1356|1469-1497,PREF|PREF,MUSCULOSKELETAL ABNORMALITIES|MUSCULOSKELETAL ABNORMALITIES
abnormalities,http://purl.bioontology.org/ontology/MESH/Q000002,1344-1356|1485-1497|5823-5835|6134-6146|19983-19995,PREF|PREF|PREF|PREF|PREF,ABNORMALITIES|ABNORMALITIES|ABNORMALITIES|ABNORMALITIES|ABNORMALITIES
Persons,http://purl.bioontology.org/ontology/MESH/D009272,1373-1379|3083-3089|3886-3892|4218-4224|4334-4339|4783-4789|4956-4962|5235-5241|5307-5313|5442-5448|5681-5687|6151-6157|6317-6323|6612-6618|7014-7020|7133-7139|7742-7748|7990-7996|8177-8183|8804-8810|9382-9388|9453-9459|9542-9548|16782-16788|17788-17794|17829-17835|19210-19216|19314-19320|19376-19382|19707-19713|19802-19808|20470-20476|20933-20939|21668-21674|22306-22312|22396-22402|23250-23256|23377-23383|23705-23711|23784-23790,PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PERSONS|PERSONS|PERSONS|PERSONS|PERSON|PERSONS|PERSONS|PERSONS|PERSONS|PERSONS|PERSONS|PERSONS|PERSONS|PERSONS|PERSONS|PERSONS|PERSONS|PERSONS|PERSONS|PERSONS|PERSONS|PERSONS|PERSONS|PERSONS|PERSONS|PERSONS|PERSONS|PERSONS|PERSONS|PERSONS|PERSONS|PERSONS|PERSONS|PERSONS|PERSONS|PERSONS|PERSONS|PERSONS|PERSONS|PERSONS
Low Back Pain,http://purl.bioontology.org/ontology/MESH/D017116,1394-1406|1589-1601|1763-1775|8860-8872,PREF|PREF|PREF|PREF,LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN
Back Pain,http://purl.bioontology.org/ontology/MESH/D001416,1398-1406|1593-1601|1767-1775|2578-2586|6164-6172|8864-8872,PREF|PREF|PREF|PREF|PREF|PREF,BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN
