prefLabel,id,from_to,matchType,text
pain,http://sbmi.uth.tmc.edu/ontology/ochv#9185,26-29|273-276|282-285|351-354|741-744|771-774|852-855|1002-1005|1150-1153|1282-1285|1403-1406|1598-1601|1684-1687|1772-1775|2540-2543|2583-2586|2972-2975|3351-3357|3630-3633|3953-3956|4010-4013|4936-4939|5858-5861|5867-5870|6072-6075|6169-6172|6188-6191|6333-6336|6542-6545|6687-6690|7280-7283|7355-7358|7401-7404|7532-7535|7615-7618|7830-7833|8032-8035|8213-8216|8266-8269|8448-8451|8869-8872|9526-9529|9633-9636|9714-9717|9854-9857|9889-9892|9976-9979|10057-10060|10215-10218|10305-10308|10391-10394|10429-10432|10463-10466|10576-10579|13360-13363|13455-13458|14613-14616|14743-14746|14855-14858|14970-14973|15105-15108|15628-15631|16018-16021|16104-16107|16275-16278|16322-16325|16507-16510|17044-17047|17094-17097|17437-17440|17535-17538|17606-17609|17682-17685|17932-17935|18155-18158|18323-18326|18407-18410|18577-18580|18781-18784|18955-18958|19593-19596|20093-20096|20348-20351|22838-22841|23014-23017|23048-23051|23172-23175|23410-23413|23604-23607|24042-24045|24123-24126,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAINFUL|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0030193,26-29|273-276|282-285|351-354|741-744|771-774|852-855|1002-1005|1150-1153|1282-1285|1403-1406|1598-1601|1684-1687|1772-1775|2540-2543|2583-2586|2972-2975|3630-3633|3953-3956|4010-4013|4936-4939|5858-5861|5867-5870|6072-6075|6169-6172|6188-6191|6333-6336|6542-6545|6687-6690|7280-7283|7355-7358|7401-7404|7532-7535|7615-7618|7830-7833|8032-8035|8213-8216|8266-8269|8448-8451|8869-8872|9526-9529|9633-9636|9714-9717|9854-9857|9889-9892|9976-9979|10057-10060|10215-10218|10305-10308|10391-10394|10429-10432|10463-10466|10576-10579|13360-13363|13455-13458|14613-14616|14743-14746|14855-14858|14970-14973|15105-15108|15628-15631|16018-16021|16104-16107|16275-16278|16322-16325|16507-16510|17044-17047|17094-17097|17437-17440|17535-17538|17606-17609|17682-17685|17932-17935|18155-18158|18323-18326|18407-18410|18577-18580|18781-18784|18955-18958|19593-19596|20093-20096|20348-20351|22838-22841|23014-23017|23048-23051|23172-23175|23410-23413|23604-23607|24042-24045|24123-24126,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
related,http://sbmi.uth.tmc.edu/ontology/ochv#C0163712,31-37|67-73|287-293|776-782|805-811|857-863|888-894|980-986|1007-1013|1155-1161|1287-1293|1689-1695|3928-3934|4902-4908|6193-6199|6338-6344|6547-6553|6692-6698|6746-6752|7360-7366|7406-7412|7620-7626|7835-7841|8037-8043|8218-8224|8271-8277|8453-8459|8704-8710|14658-14664|14860-14866|14975-14981|15633-15639|16023-16029|16109-16115|16280-16286|16327-16333|16512-16518|17049-17055|17099-17105|17270-17276|17442-17448|17611-17617|18328-18334|18412-18418|18582-18588|18786-18792|19281-19287|20098-20104|23053-23059|23177-23183|23415-23421|23609-23615|24047-24053|24128-24134,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED
decreased,http://sbmi.uth.tmc.edu/ontology/ochv#C0205216,78-86|6490-6498|7345-7353|8064-8072|8323-8331|16195-16203|16754-16762|18440-18448|19649-19657|20689-20697,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,DECREASED|DECREASED|DECREASED|DECREASED|DECREASED|DECREASED|DECREASED|DECREASED|DECREASED|DECREASED
decreased,http://sbmi.uth.tmc.edu/ontology/ochv#C0442797,78-86|6490-6498|7345-7353|8064-8072|8323-8331|16195-16203|16754-16762|18440-18448|19649-19657|20689-20697,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,DECREASED|DECREASED|DECREASED|DECREASED|DECREASED|DECREASED|DECREASED|DECREASED|DECREASED|DECREASED
specific,http://sbmi.uth.tmc.edu/ontology/ochv#C0205369,107-114|9107-9114|22651-22658,PREF|PREF|PREF,SPECIFIC|SPECIFIC|SPECIFIC
activity,http://sbmi.uth.tmc.edu/ontology/ochv#C0439167,132-139|2173-2180|2244-2251|2403-2410|3708-3715|3854-3861|3997-4004|4060-4067|4360-4367|4520-4527|4567-4574|5991-5998|6943-6950|6982-6989|7706-7713|8582-8589|8728-8735|11453-11460|14673-14680|14900-14907|15003-15010|15413-15420|16400-16407|17070-17077|17303-17310|17773-17780|17914-17921|18394-18401|19464-19471|19677-19684|20278-20285|20717-20724|20898-20905|21029-21036|21928-21935|22188-22195|22976-22983|23194-23201|23349-23356|23582-23589|23690-23697|23959-23966|24081-24088,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY
activity,http://sbmi.uth.tmc.edu/ontology/ochv#C0441655,132-139|2173-2180|2244-2251|2403-2410|3708-3715|3854-3861|3997-4004|4060-4067|4360-4367|4520-4527|4567-4574|5991-5998|6943-6950|6982-6989|7706-7713|8582-8589|8728-8735|11453-11460|14673-14680|14900-14907|15003-15010|15413-15420|16400-16407|17070-17077|17303-17310|17773-17780|17914-17921|18394-18401|19464-19471|19677-19684|20278-20285|20717-20724|20898-20905|21029-21036|21928-21935|22188-22195|22976-22983|23194-23201|23349-23356|23582-23589|23690-23697|23959-23966|24081-24088,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY
activities,http://sbmi.uth.tmc.edu/ontology/ochv#34879,132-139|2173-2180|2244-2251|2403-2410|3708-3715|3793-3802|3854-3861|3997-4004|4060-4067|4360-4367|4520-4527|4567-4574|5991-5998|6943-6950|6982-6989|7706-7713|8582-8589|8728-8735|11453-11460|14673-14680|14900-14907|15003-15010|15413-15420|16400-16407|17070-17077|17303-17310|17773-17780|17914-17921|18394-18401|19464-19471|19677-19684|20278-20285|20717-20724|20898-20905|21029-21036|21928-21935|22188-22195|22976-22983|23194-23201|23349-23356|23582-23589|23690-23697|23959-23966|24081-24088,SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN,ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITIES|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY
extension,http://sbmi.uth.tmc.edu/ontology/ochv#C0231448,160-168|1195-1203|8100-8108|15534-15542|15941-15949|16156-16164|16921-16929|17161-17169|19506-19514|21214-21222|21302-21310|21449-21457|21489-21497,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,EXTENSION|EXTENSION|EXTENSION|EXTENSION|EXTENSION|EXTENSION|EXTENSION|EXTENSION|EXTENSION|EXTENSION|EXTENSION|EXTENSION|EXTENSION
