prefLabel,id,from_to,matchType,text
Treatment,http://psink.de/scio/Treatment,1743-1751|8996-9004|13561-13569|18940-18948|19109-19117|20039-20047|24234-24242,PREF|PREF|PREF|PREF|PREF|PREF|PREF,TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT
Result,http://psink.de/scio/Result,2109-2114|2258-2263|5334-5339,PREF|PREF|PREF,RESULT|RESULT|RESULT
Injury,http://psink.de/scio/Injury,2335-2340,PREF,INJURY
Person,http://psink.de/scio/Person,4334-4339,PREF,PERSON
Decrease,http://psink.de/scio/Decrease,6063-6070,PREF,DECREASE
Increase,http://psink.de/scio/Increase,7248-7255|20200-20207,PREF|PREF,INCREASE|INCREASE
Age,http://psink.de/scio/Age,9287-9289,PREF,AGE
Laminectomy,http://psink.de/scio/Laminectomy,9419-9429,PREF,LAMINECTOMY
Duration,http://psink.de/scio/Duration,9702-9709|14748-14755,PREF|PREF,DURATION|DURATION
Left,http://psink.de/scio/Left,10403-10406|10989-10992|12310-12313,PREF|PREF|PREF,LEFT|LEFT|LEFT
Right,http://psink.de/scio/Right,10452-10456|10979-10983|12319-12323,PREF|PREF|PREF,RIGHT|RIGHT|RIGHT
Electrodes,http://psink.de/scio/Electrodes,10944-10953,PREF,ELECTRODES
Change,http://psink.de/scio/Change,12406-12411|12480-12485,PREF|PREF,CHANGE|CHANGE
Current,http://psink.de/scio/Current,13163-13169,PREF,CURRENT
Experiment,http://psink.de/scio/Experiment,13171-13180,PREF,EXPERIMENT
Function,http://psink.de/scio/Function,13521-13528|13549-13556,PREF|PREF,FUNCTION|FUNCTION
Weight,http://psink.de/scio/Weight,15336-15341|15816-15821,PREF|PREF,WEIGHT|WEIGHT
Significance,http://psink.de/scio/Significance,15722-15733|15791-15802,PREF|PREF,SIGNIFICANCE|SIGNIFICANCE
