prefLabel,id,from_to,matchType,text
Preprint,http://purl.bioontology.org/ontology/MESH/D000076942,49-56,PREF,PREPRINT
Research,http://purl.bioontology.org/ontology/MESH/D012106,70-77|3967-3974,PREF|PREF,RESEARCH|RESEARCH
Peer Review,http://purl.bioontology.org/ontology/MESH/D010380,110-120,PREF,PEER REVIEW
Review,http://purl.bioontology.org/ontology/MESH/D016454,115-120|3624-3629,PREF|PREF,REVIEW|REVIEW
Pain-Free,http://purl.bioontology.org/ontology/MESH/C121034,278-286|2243-2251|3907-3915,PREF|PREF|PREF,PAIN-FREE|PAIN-FREE|PAIN-FREE
Pain,http://purl.bioontology.org/ontology/MESH/D010146,278-281|324-327|2243-2246|2902-2905|3907-3910|4435-4438|4502-4505,PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
History,http://purl.bioontology.org/ontology/MESH/D006664,305-311,PREF,HISTORY
history,http://purl.bioontology.org/ontology/MESH/Q000266,305-311,PREF,HISTORY
Chronic Pain,http://purl.bioontology.org/ontology/MESH/D059350,316-327,PREF,CHRONIC PAIN
Motion,http://purl.bioontology.org/ontology/MESH/D009038,395-400|992-997|1531-1536|1664-1669|2932-2937|3414-3419|3897-3902,PREF|PREF|PREF|PREF|PREF|PREF|PREF,MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION
Posture,http://purl.bioontology.org/ontology/MESH/D011187,601-607,PREF,POSTURE
Tissues,http://purl.bioontology.org/ontology/MESH/D014024,640-646,PREF,TISSUES
Bias,http://purl.bioontology.org/ontology/MESH/D015982,716-719,PREF,BIAS
Lifting,http://purl.bioontology.org/ontology/MESH/D017770,729-735|783-789|914-920|932-938,PREF|PREF|PREF|PREF,LIFTING|LIFTING|LIFTING|LIFTING
Spine,http://purl.bioontology.org/ontology/MESH/D013131,751-755|806-810|893-897|3238-3242|3774-3778|4341-4345,PREF|PREF|PREF|PREF|PREF|PREF,SPINE|SPINE|SPINE|SPINE|SPINE|SPINE
Patients,http://purl.bioontology.org/ontology/MESH/D010361,816-823,PREF,PATIENTS
Respect,http://purl.bioontology.org/ontology/MESH/D000078682,832-838,PREF,RESPECT
Fear,http://purl.bioontology.org/ontology/MESH/D005239,924-927|2915-2918|4515-4518,PREF|PREF|PREF,FEAR|FEAR|FEAR
ethics,http://purl.bioontology.org/ontology/MESH/Q000941,1186-1191,PREF,ETHICS
Ethics,http://purl.bioontology.org/ontology/MESH/D004989,1186-1191,PREF,ETHICS
Informed Consent,http://purl.bioontology.org/ontology/MESH/D007258,1249-1264,PREF,INFORMED CONSENT
analysis,http://purl.bioontology.org/ontology/MESH/Q000032,2199-2206|2360-2367|3146-3153,PREF|PREF|PREF,ANALYSIS|ANALYSIS|ANALYSIS
Time,http://purl.bioontology.org/ontology/MESH/D013995,3020-3023,PREF,TIME
Risk,http://purl.bioontology.org/ontology/MESH/D012306,3460-3463,PREF,RISK
Systematic Review,http://purl.bioontology.org/ontology/MESH/D000078182,3613-3629,PREF,SYSTEMATIC REVIEW
Affect,http://purl.bioontology.org/ontology/MESH/D000339,3873-3878,PREF,AFFECT
Science,http://purl.bioontology.org/ontology/MESH/D012586,4012-4018,PREF,SCIENCE
Switzerland,http://purl.bioontology.org/ontology/MESH/D013557,4043-4053,PREF,SWITZERLAND
