prefLabel,id,from_to,matchType,text
permission,http://sbmi.uth.tmc.edu/ontology/ochv#C0521104,26-35|520-529|1129-1138|1369-1378|1582-1591|1788-1797|2145-2154|2490-2499|2621-2630|2658-2667|2695-2704|2879-2888|3271-3280|3535-3544|3950-3959|4082-4091|4119-4128|4156-4165|4193-4202|4230-4239|4267-4276|4304-4313|4546-4555|4749-4758|4786-4795,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PERMISSION|PERMISSION|PERMISSION|PERMISSION|PERMISSION|PERMISSION|PERMISSION|PERMISSION|PERMISSION|PERMISSION|PERMISSION|PERMISSION|PERMISSION|PERMISSION|PERMISSION|PERMISSION|PERMISSION|PERMISSION|PERMISSION|PERMISSION|PERMISSION|PERMISSION|PERMISSION|PERMISSION|PERMISSION
note,http://sbmi.uth.tmc.edu/ontology/ochv#C1317574,38-41,PREF,NOTE
new,http://sbmi.uth.tmc.edu/ontology/ochv#C0205314,66-68,PREF,NEW
research,http://sbmi.uth.tmc.edu/ontology/ochv#10739,70-77|3967-3974,PREF|PREF,RESEARCH|RESEARCH
research,http://sbmi.uth.tmc.edu/ontology/ochv#C0035168,70-77|3967-3974,PREF|PREF,RESEARCH|RESEARCH
peer review,http://sbmi.uth.tmc.edu/ontology/ochv#9393,110-120,PREF,PEER REVIEW
peer review,http://sbmi.uth.tmc.edu/ontology/ochv#C0030768,110-120,PREF,PEER REVIEW
peer,http://sbmi.uth.tmc.edu/ontology/ochv#C0679739,110-113,PREF,PEER
peer,http://sbmi.uth.tmc.edu/ontology/ochv#43125,110-113,PREF,PEER
review,http://sbmi.uth.tmc.edu/ontology/ochv#C0282443,115-120|3624-3629,PREF|PREF,REVIEW|REVIEW
clinical,http://sbmi.uth.tmc.edu/ontology/ochv#C0205210,154-161,PREF,CLINICAL
unknown,http://sbmi.uth.tmc.edu/ontology/ochv#C0439673,184-190,PREF,UNKNOWN
kinematics,http://sbmi.uth.tmc.edu/ontology/ochv#42196,244-253|353-362|2344-2352|4347-4356,PREF|PREF|SYN|PREF,KINEMATICS|KINEMATICS|KINEMATIC|KINEMATICS
kinematics,http://sbmi.uth.tmc.edu/ontology/ochv#C0600169,244-253|353-362|4347-4356,PREF|PREF|PREF,KINEMATICS|KINEMATICS|KINEMATICS
cohort,http://sbmi.uth.tmc.edu/ontology/ochv#42076,268-273,PREF,COHORT
cohort,http://sbmi.uth.tmc.edu/ontology/ochv#C0599755,268-273,PREF,COHORT
pain-free,http://sbmi.uth.tmc.edu/ontology/ochv#52298,278-286|2243-2251|3907-3915,PREF|PREF|PREF,PAIN-FREE|PAIN-FREE|PAIN-FREE
pain-free,http://sbmi.uth.tmc.edu/ontology/ochv#C0908489,278-286|2243-2251|3907-3915,PREF|PREF|PREF,PAIN-FREE|PAIN-FREE|PAIN-FREE
pain,http://sbmi.uth.tmc.edu/ontology/ochv#9185,278-281|324-327|2243-2246|2902-2905|3907-3910|4435-4438|4502-4505,PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0030193,278-281|324-327|2243-2246|2902-2905|3907-3910|4435-4438|4502-4505,PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
free,http://sbmi.uth.tmc.edu/ontology/ochv#C0332296,283-286|2248-2251|3912-3915,PREF|PREF|PREF,FREE|FREE|FREE
history,http://sbmi.uth.tmc.edu/ontology/ochv#C1321503,305-311,PREF,HISTORY
history,http://sbmi.uth.tmc.edu/ontology/ochv#C0262512,305-311,PREF,HISTORY
chronic pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0150055,316-327,PREF,CHRONIC PAIN
chronic,http://sbmi.uth.tmc.edu/ontology/ochv#C0205191,316-322|1008-1014,PREF|PREF,CHRONIC|CHRONIC
high,http://sbmi.uth.tmc.edu/ontology/ochv#C0205250,330-333|3347-3350,PREF|PREF,HIGH|HIGH
high,http://sbmi.uth.tmc.edu/ontology/ochv#20438,330-333|3347-3350,PREF|PREF,HIGH|HIGH
spinal,http://sbmi.uth.tmc.edu/ontology/ochv#37924,346-351|633-638|1657-1662|2104-2109,PREF|PREF|PREF|PREF,SPINAL|SPINAL|SPINAL|SPINAL
spinal,http://sbmi.uth.tmc.edu/ontology/ochv#C0521329,346-351|633-638|1657-1662|2104-2109,PREF|PREF|PREF|PREF,SPINAL|SPINAL|SPINAL|SPINAL
motion,http://sbmi.uth.tmc.edu/ontology/ochv#C0026597,395-400|992-997|1531-1536|1664-1669|2932-2937|3414-3419|3897-3902,PREF|PREF|PREF|PREF|PREF|PREF|PREF,MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION
motion,http://sbmi.uth.tmc.edu/ontology/ochv#8269,395-400|992-997|1531-1536|1664-1669|2932-2937|3414-3419|3897-3902,PREF|PREF|PREF|PREF|PREF|PREF|PREF,MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION
sensitive,http://sbmi.uth.tmc.edu/ontology/ochv#C0332324,420-428|3025-3033,PREF|PREF,SENSITIVE|SENSITIVE
performed,http://sbmi.uth.tmc.edu/ontology/ochv#C0884358,444-452|1908-1916,PREF|PREF,PERFORMED|PERFORMED
beliefs,http://sbmi.uth.tmc.edu/ontology/ochv#1764,537-543,PREF,BELIEFS
increase,http://sbmi.uth.tmc.edu/ontology/ochv#C0442805,549-556,PREF,INCREASE
including,http://sbmi.uth.tmc.edu/ontology/ochv#C0332257,580-588,PREF,INCLUDING
CONTROL,http://sbmi.uth.tmc.edu/ontology/ochv#C0308718,590-596,PREF,CONTROL
Posture,http://sbmi.uth.tmc.edu/ontology/ochv#C0722716,601-607,PREF,POSTURE
posture,http://sbmi.uth.tmc.edu/ontology/ochv#10002,601-607,PREF,POSTURE
mechanical,http://sbmi.uth.tmc.edu/ontology/ochv#C0443254,611-620,PREF,MECHANICAL
tissues,http://sbmi.uth.tmc.edu/ontology/ochv#12321,640-646,PREF,TISSUES
long term,http://sbmi.uth.tmc.edu/ontology/ochv#C0443252,704-712,PREF,LONG TERM
long,http://sbmi.uth.tmc.edu/ontology/ochv#C0205166,704-707,PREF,LONG
bias,http://sbmi.uth.tmc.edu/ontology/ochv#C0242568,716-719,PREF,BIAS
lifting,http://sbmi.uth.tmc.edu/ontology/ochv#C0206244,729-735|783-789|914-920|932-938,PREF|PREF|PREF|PREF,LIFTING|LIFTING|LIFTING|LIFTING
lifting,http://sbmi.uth.tmc.edu/ontology/ochv#20877,729-735|783-789|914-920|932-938,PREF|PREF|PREF|PREF,LIFTING|LIFTING|LIFTING|LIFTING
spine,http://sbmi.uth.tmc.edu/ontology/ochv#C0037949,751-755|806-810|893-897|3238-3242|3774-3778|4341-4345,PREF|PREF|PREF|PREF|PREF|PREF,SPINE|SPINE|SPINE|SPINE|SPINE|SPINE
patients,http://sbmi.uth.tmc.edu/ontology/ochv#9372,816-823,PREF,PATIENTS
respect,http://sbmi.uth.tmc.edu/ontology/ochv#43010,832-838,PREF,RESPECT
respect,http://sbmi.uth.tmc.edu/ontology/ochv#C0679133,832-838,PREF,RESPECT
lack,http://sbmi.uth.tmc.edu/ontology/ochv#C0332268,860-863,PREF,LACK
lumbar spine,http://sbmi.uth.tmc.edu/ontology/ochv#C0024091,886-897|3231-3242,PREF|PREF,LUMBAR SPINE|LUMBAR SPINE
reduced,http://sbmi.uth.tmc.edu/ontology/ochv#C0392756,953-959|1868-1874,PREF|PREF,REDUCED|REDUCED
sagittal plane,http://sbmi.uth.tmc.edu/ontology/ochv#C0935598,961-974,PREF,SAGITTAL PLANE
sagittal plane,http://sbmi.uth.tmc.edu/ontology/ochv#52779,961-974,PREF,SAGITTAL PLANE
sagittal,http://sbmi.uth.tmc.edu/ontology/ochv#C0205129,961-968,PREF,SAGITTAL
plane,http://sbmi.uth.tmc.edu/ontology/ochv#C0444660,970-974,PREF,PLANE
non-specific,http://sbmi.uth.tmc.edu/ontology/ochv#C0205370,1016-1027,PREF,NON-SPECIFIC
specific,http://sbmi.uth.tmc.edu/ontology/ochv#C0205369,1020-1027|4461-4468,PREF|PREF,SPECIFIC|SPECIFIC
trunk,http://sbmi.uth.tmc.edu/ontology/ochv#C0460005,1085-1089|4388-4392,PREF|PREF,TRUNK|TRUNK
approved,http://sbmi.uth.tmc.edu/ontology/ochv#C0205540,1164-1171,PREF,APPROVED
local,http://sbmi.uth.tmc.edu/ontology/ochv#C0205276,1180-1184,PREF,LOCAL
ethics,http://sbmi.uth.tmc.edu/ontology/ochv#4692,1186-1191,PREF,ETHICS
ethics,http://sbmi.uth.tmc.edu/ontology/ochv#C0015000,1186-1191,PREF,ETHICS
informed consent,http://sbmi.uth.tmc.edu/ontology/ochv#6720,1249-1264,PREF,INFORMED CONSENT
informed consent,http://sbmi.uth.tmc.edu/ontology/ochv#C0021430,1249-1264,PREF,INFORMED CONSENT
informed,http://sbmi.uth.tmc.edu/ontology/ochv#C0562354,1249-1256,PREF,INFORMED
related,http://sbmi.uth.tmc.edu/ontology/ochv#C0163712,1285-1291|2907-2913|4507-4513,PREF|PREF|PREF,RELATED|RELATED|RELATED
activities,http://sbmi.uth.tmc.edu/ontology/ochv#34879,1293-1302|3792-3801,PREF|PREF,ACTIVITIES|ACTIVITIES
single,http://sbmi.uth.tmc.edu/ontology/ochv#C0205171,1329-1334,PREF,SINGLE
resulting in,http://sbmi.uth.tmc.edu/ontology/ochv#29401,1426-1437|2209-2220,PREF|PREF,RESULTING IN|RESULTING IN
resulting in,http://sbmi.uth.tmc.edu/ontology/ochv#C0332294,1426-1437|2209-2220,PREF|PREF,RESULTING IN|RESULTING IN
three-dimensional,http://sbmi.uth.tmc.edu/ontology/ochv#C0450363,1457-1473,PREF,THREE-DIMENSIONAL
camera,http://sbmi.uth.tmc.edu/ontology/ochv#C0179533,1516-1521,PREF,CAMERA
tracking,http://sbmi.uth.tmc.edu/ontology/ochv#C0546881,1645-1652,PREF,TRACKING
post,http://sbmi.uth.tmc.edu/ontology/ochv#C0687676,1672-1675,PREF,POST
custom,http://sbmi.uth.tmc.edu/ontology/ochv#C0162343,1711-1716,PREF,CUSTOM
routine,http://sbmi.uth.tmc.edu/ontology/ochv#C0205547,1731-1737,PREF,ROUTINE
continuous,http://sbmi.uth.tmc.edu/ontology/ochv#C0549178,1845-1854|2093-2102,PREF|PREF,CONTINUOUS|CONTINUOUS
version,http://sbmi.uth.tmc.edu/ontology/ochv#C0333052,1930-1936,PREF,VERSION
distribution,http://sbmi.uth.tmc.edu/ontology/ochv#C0037775,1952-1963,PREF,DISTRIBUTION
questionnaire,http://sbmi.uth.tmc.edu/ontology/ochv#C0034394,1972-1984,PREF,QUESTIONNAIRE
rank,http://sbmi.uth.tmc.edu/ontology/ochv#44551,2002-2005,PREF,RANK
analysis,http://sbmi.uth.tmc.edu/ontology/ochv#C0936012,2199-2206|2360-2367|3146-3153,PREF|PREF|PREF,ANALYSIS|ANALYSIS|ANALYSIS
analysis,http://sbmi.uth.tmc.edu/ontology/ochv#52824,2199-2206|2360-2367|3146-3153,PREF|PREF|PREF,ANALYSIS|ANALYSIS|ANALYSIS
threat,http://sbmi.uth.tmc.edu/ontology/ochv#48203,2420-2425,PREF,THREAT
threat,http://sbmi.uth.tmc.edu/ontology/ochv#C0749385,2420-2425,PREF,THREAT
significant,http://sbmi.uth.tmc.edu/ontology/ochv#C0750502,2505-2515|2710-2720|2828-2838,PREF|PREF|PREF,SIGNIFICANT|SIGNIFICANT|SIGNIFICANT
total,http://sbmi.uth.tmc.edu/ontology/ochv#C0439810,2569-2573,PREF,TOTAL
score,http://sbmi.uth.tmc.edu/ontology/ochv#C0449820,2799-2803,PREF,SCORE
relationship,http://sbmi.uth.tmc.edu/ontology/ochv#C0439849,3000-3011,PREF,RELATIONSHIP
time,http://sbmi.uth.tmc.edu/ontology/ochv#C0040223,3020-3023,PREF,TIME
time,http://sbmi.uth.tmc.edu/ontology/ochv#12290,3020-3023,PREF,TIME
current,http://sbmi.uth.tmc.edu/ontology/ochv#C0521116,3048-3054|3650-3656|3725-3731,PREF|PREF|PREF,CURRENT|CURRENT|CURRENT
grass,http://sbmi.uth.tmc.edu/ontology/ochv#C0018210,3125-3129,PREF,GRASS
segment,http://sbmi.uth.tmc.edu/ontology/ochv#C0441635,3163-3169,PREF,SEGMENT
