prefLabel,id,from_to,matchType,text
Pain,http://purl.bioontology.org/ontology/MESH/D010146,196-199|400-403|767-770|867-870|936-939|1998-2001|2496-2499|2512-2515|2827-2830|3286-3289|3652-3655|3747-3750|4280-4283|4675-4678|5145-5148|6781-6784|8476-8479|8514-8517|9160-9163|9246-9249|9274-9277|9555-9558|9615-9618|10410-10413|10574-10577|11528-11531|12340-12343|13203-13206|13688-13691|14693-14696|14781-14784|15293-15296|15393-15396|15981-15984|16162-16165|16960-16963|17109-17112|18120-18123|18504-18507|20257-20260|20334-20337|20451-20454|20574-20577|20752-20755|20831-20834|20997-21000|21057-21060|21189-21192|21254-21257|21573-21576|22806-22809|23008-23011|23479-23482|23795-23798|23894-23897|23988-23991|24078-24081|24192-24195|24377-24380|24601-24604|24697-24700|25430-25433|25701-25704|26067-26070|26780-26783|26977-26980|27086-27089|27113-27116|27408-27411|28483-28486|29245-29248|29521-29524|30192-30195|30296-30299|30391-30394|30401-30404|31609-31612|31814-31817|31921-31924|32131-32134|32524-32527|32547-32550|32672-32675|32827-32830|32867-32870|32882-32885|33029-33032|33133-33136|33188-33191|33237-33240|33304-33307|33323-33326|33422-33425|33472-33475|33584-33587|33590-33593|33684-33687|33756-33759|33819-33822|33948-33951|33998-34001|34079-34082,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Fear,http://purl.bioontology.org/ontology/MESH/D005239,209-212|2423-2426|2525-2528|3299-3302|3665-3668|3760-3763|4293-4296|5158-5161|8527-8530|8738-8741|10423-10426|10587-10590|11541-11544|13212-13215|16175-16178|17122-17125|18133-18136|20464-20467|20765-20768|21267-21270|21586-21589|21749-21752|23021-23024|23808-23811|26080-26083|26793-26796|26990-26993|27105-27108|27421-27424|28496-28499|29258-29261|29534-29537|31622-31625|32402-32405|32772-32775|33317-33320|33603-33606|33832-33835|33961-33964,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR
Depression,http://purl.bioontology.org/ontology/MESH/D003863,236-245|4329-4338|8649-8658|10610-10619|16448-16457|17169-17178|17524-17533|17746-17755|19706-19715|19791-19800|19880-19889|20491-20500|20925-20934|21629-21638|23835-23844|26714-26723|27660-27669|28523-28532|31649-31658,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION|DEPRESSION
Movement,http://purl.bioontology.org/ontology/MESH/D009068,303-310|736-743|1227-1234|2980-2987|3786-3793|4495-4502|5196-5203|5373-5380|5517-5524|5590-5597|8937-8944|8959-8966|9087-9094|11754-11762|13220-13227|14338-14345|16075-16082|18182-18189|18921-18928|19430-19437|19935-19942|21390-21397|22120-22127|22484-22491|23156-23163|24268-24275|25764-25771|25998-26005|26154-26162|26227-26234|27095-27102|27119-27126|27158-27166|28393-28400|28574-28581|29611-29619|29696-29703|30107-30114|32410-32417|32780-32787,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|SYN|PREF|PREF|SYN|PREF|PREF|PREF|PREF,MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENTS|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENTS|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENTS|MOVEMENT|MOVEMENT|MOVEMENTS|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT
Muscles,http://purl.bioontology.org/ontology/MESH/D009132,323-328|1602-1607|1676-1681|3013-3018|4521-4526|5712-5717|5800-5806|8972-8977|10507-10512|10711-10716|10905-10910|18010-18015|18208-18213|19456-19461|19961-19966|21416-21421|22146-22151|22510-22515|24166-24171|27730-27735|28032-28037|28173-28178|28354-28359|31720-31725|31986-31991|33102-33107,SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN,MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLES|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE
Activity,http://purl.bioontology.org/ontology/STY/T052,330-337|1609-1616|1683-1690|3020-3027|4528-4535|5719-5726|5760-5767|8834-8841|8979-8986|9364-9371|10514-10521|10718-10725|10912-10919|16044-16051|18017-18024|18215-18222|19463-19470|19968-19975|21423-21430|22153-22160|22517-22524|24173-24180|27131-27138|27737-27744|28039-28046|28361-28368|31727-31734|31993-32000|32476-32483,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY
Affect,http://purl.bioontology.org/ontology/MESH/D000339,437-442|14331-14336,PREF|PREF,AFFECT|AFFECT
Association,http://purl.bioontology.org/ontology/MESH/D001244,448-458|556-566|2798-2808|4074-4085|6752-6762|10349-10359|10536-10547|10812-10822|12311-12321|15952-15962|16931-16941|17309-17319|17431-17441|17796-17806|18475-18485|19166-19176|19256-19266|19329-19339|19686-19696|19771-19781|19839-19849|20228-20238|20356-20366|21880-21890|21962-21972|22027-22037|22385-22395|22777-22787|23450-23460|23775-23785|25672-25682|27482-27492|28643-28653|30163-30173|31866-31877|32643-32653|33000-33010|33727-33737|34050-34060,PREF|PREF|PREF|SYN|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF,ASSOCIATION|ASSOCIATION|ASSOCIATION|ASSOCIATIONS|ASSOCIATION|ASSOCIATION|ASSOCIATIONS|ASSOCIATION|ASSOCIATION|ASSOCIATION|ASSOCIATION|ASSOCIATION|ASSOCIATION|ASSOCIATION|ASSOCIATION|ASSOCIATION|ASSOCIATION|ASSOCIATION|ASSOCIATION|ASSOCIATION|ASSOCIATION|ASSOCIATION|ASSOCIATION|ASSOCIATION|ASSOCIATION|ASSOCIATION|ASSOCIATION|ASSOCIATION|ASSOCIATION|ASSOCIATION|ASSOCIATION|ASSOCIATION|ASSOCIATION|ASSOCIATION|ASSOCIATIONS|ASSOCIATION|ASSOCIATION|ASSOCIATION|ASSOCIATION
Role,http://purl.bioontology.org/ontology/MESH/D012380,680-683|3883-3886|23141-23144,PREF|PREF|PREF,ROLE|ROLE|ROLE
Low Back Pain,http://purl.bioontology.org/ontology/MESH/D017116,758-770|927-939|32515-32527|32538-32550|32858-32870|33179-33191|33228-33240|33413-33425|33575-33587|33675-33687|33989-34001,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN
