prefLabel,id,from_to,matchType,text
Treatment,http://psink.de/scio/Treatment,2213-2221,PREF,TREATMENT
Current,http://psink.de/scio/Current,4042-4048|9374-9380|11126-11132,PREF|PREF|PREF,CURRENT|CURRENT|CURRENT
Publication,http://psink.de/scio/Publication,7088-7098,PREF,PUBLICATION
Age,http://psink.de/scio/Age,8191-8193|12827-12829|25002-25004|30898-30900,PREF|PREF|PREF|PREF,AGE|AGE|AGE|AGE
Gender,http://psink.de/scio/Gender,8208-8213|12832-12837|25007-25012|30907-30912,PREF|PREF|PREF|PREF,GENDER|GENDER|GENDER|GENDER
Direction,http://psink.de/scio/Direction,9074-9082,PREF,DIRECTION
Hypothesis,http://psink.de/scio/Hypothesis,10942-10951|13672-13681,PREF|PREF,HYPOTHESIS|HYPOTHESIS
Result,http://psink.de/scio/Result,17549-17554|25095-25100,PREF|PREF,RESULT|RESULT
Right,http://psink.de/scio/Right,18364-18368|19612-19616|20117-20121|22302-22306|22666-22670,PREF|PREF|PREF|PREF|PREF,RIGHT|RIGHT|RIGHT|RIGHT|RIGHT
Duration,http://psink.de/scio/Duration,25032-25039,PREF,DURATION
Significance,http://psink.de/scio/Significance,26599-26610,PREF,SIGNIFICANCE
Change,http://psink.de/scio/Change,29711-29716,PREF,CHANGE
Recovery,http://psink.de/scio/Recovery,33661-33668,PREF,RECOVERY
Injury,http://psink.de/scio/Injury,33896-33901,PREF,INJURY
