prefLabel,id,from_to,matchType,text
Pain,http://purl.bioontology.org/ontology/MESH/D010146,69-72|133-136|221-224|901-904|942-945|1392-1395|1622-1625|1956-1959|1994-1997|2117-2120|2257-2260|2838-2841|3074-3077|3207-3210|5268-5271|5729-5732|5840-5843|6053-6056|6575-6578|6982-6985|7222-7225|10972-10975|11058-11061|11162-11165|11352-11355|11534-11537|11590-11593|11776-11779|12511-12514|14146-14149|14270-14273|14742-14745|15096-15099|16018-16021|16275-16278|17199-17202|17221-17224|17241-17244|17321-17324|17374-17377,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Fear,http://purl.bioontology.org/ontology/MESH/D005239,82-85|189-192|914-917|1006-1009|1788-1791|2052-2055|2230-2233|2344-2347|2434-2437|3324-3327|7062-7065|11547-11550|12524-12527|13760-13763|16579-16582|17387-17390,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR
Maintenance,http://purl.bioontology.org/ontology/MESH/D008283,110-120,PREF,MAINTENANCE
Chronic Pain,http://purl.bioontology.org/ontology/MESH/D059350,125-136|934-945,PREF|PREF,CHRONIC PAIN|CHRONIC PAIN
Low Back Pain,http://purl.bioontology.org/ontology/MESH/D017116,212-224|1947-1959|1985-1997|2108-2120|2829-2841|6973-6985|7213-7225|11153-11165|11343-11355|14733-14745|15087-15099|16009-16021|16266-16278|17312-17324,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN
Back Pain,http://purl.bioontology.org/ontology/MESH/D001416,216-224|1951-1959|1989-1997|2112-2120|2833-2841|5263-5271|6977-6985|7217-7225|11157-11165|11347-11355|14737-14745|15091-15099|16013-16021|16270-16278|17316-17324,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN
Kinesiophobia,http://purl.bioontology.org/ontology/MESH/D000092442,249-261,PREF,KINESIOPHOBIA
Population,http://purl.bioontology.org/ontology/MESH/D011153,368-377|483-492|1843-1852|2309-2318|2382-2391|3344-3353|3649-3658|4427-4436|17403-17412,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,POPULATION|POPULATION|POPULATION|POPULATION|POPULATION|POPULATION|POPULATION|POPULATION|POPULATION
Health Status,http://purl.bioontology.org/ontology/MESH/D006304,838-850|6256-6268|6640-6652|6706-6718|11027-11039|11629-11641,PREF|PREF|PREF|PREF|PREF|PREF,HEALTH STATUS|HEALTH STATUS|HEALTH STATUS|HEALTH STATUS|HEALTH STATUS|HEALTH STATUS
Health,http://purl.bioontology.org/ontology/MESH/D006262,838-843|2394-2399|6256-6261|6305-6310|6549-6554|6603-6608|6640-6645|6706-6711|11027-11032|11629-11634|11853-11858|13842-13847|14179-14184|14347-14352|17254-17259|17475-17480,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH
