prefLabel,id,from_to,matchType,text
Recent,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25280,4-9|7190-7195,PREF|PREF,RECENT|RECENT
Year,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29848,11-15|573-576|4365-4369|4915-4919|5226-5229|7176-7179|8553-8556|12898-12901|14457-14460,SYN|PREF|SYN|SYN|PREF|PREF|PREF|PREF|PREF,YEARS|YEAR|YEARS|YEARS|YEAR|YEAR|YEAR|YEAR|YEAR
Have,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101282,34-37|978-981|5849-5852|6812-6815|6919-6922|14508-14511|14984-14987|15076-15079|15986-15989,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,HAVE|HAVE|HAVE|HAVE|HAVE|HAVE|HAVE|HAVE|HAVE
Important,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C115916,55-64|142-150,SYN|PREF,IMPORTANCE|IMPORTANT
Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3303,69-72|133-136|221-224|901-904|942-945|1392-1395|1622-1625|1956-1959|1994-1997|2117-2120|2257-2260|2838-2841|3074-3077|3207-3210|5268-5271|5729-5732|5840-5843|6053-6056|6575-6578|6982-6985|7222-7225|10972-10975|11058-11061|11162-11165|11352-11355|11534-11537|11590-11593|11776-11779|12511-12514|14146-14149|14270-14273|14742-14745|15096-15099|16018-16021|16275-16278|17199-17202|17221-17224|17241-17244|17321-17324|17374-17377,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Fear,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C77960,82-85|189-192|914-917|1006-1009|1343-1349|1404-1410|1788-1791|1885-1891|2052-2055|2230-2233|2344-2347|2434-2437|3324-3327|7062-7065|11547-11550|12524-12527|13760-13763|16579-16582|17387-17390,PREF|PREF|PREF|PREF|SYN|SYN|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FEAR|FEAR|FEAR|FEAR|FEARFUL|FEARFUL|FEAR|FEARFUL|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR
Development,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18732,94-104|16243-16253,PREF|PREF,DEVELOPMENT|DEVELOPMENT
Development,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84377,94-104|16243-16253,PREF|PREF,DEVELOPMENT|DEVELOPMENT
Maintenance,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53297,110-120,PREF,MAINTENANCE
Chronic Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26940,125-136|934-945,PREF|PREF,CHRONIC PAIN|CHRONIC PAIN
Chronic,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14141,125-131|934-940|1939-1945|2821-2827|15315-15321|15513-15519|16001-16007|16258-16264,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC
Context,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63325,201-207,PREF,CONTEXT
Low,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54722,212-214|1947-1949|1985-1987|2108-2110|2829-2831|6973-6975|7140-7142|7213-7215|8526-8528|8806-8808|8850-8852|9027-9029|9565-9567|9993-9995|10323-10325|10685-10687|11153-11155|11343-11345|12322-12324|12871-12873|13076-13078|13169-13171|13293-13295|14733-14735|15087-15089|15522-15524|15631-15633|16009-16011|16266-16268|16612-16614|16783-16785|17312-17314,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW
Back Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41830,216-224|1951-1959|1989-1997|2112-2120|2833-2841|5263-5271|6977-6985|7217-7225|11157-11165|11347-11355|14737-14745|15091-15099|16013-16021|16270-16278|17316-17324,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN
Scale,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25664,239-243|5750-5754|5879-5883|6842-6846|10153-10157|12693-12697|15698-15702|16403-16407,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,SCALE|SCALE|SCALE|SCALE|SCALE|SCALE|SCALE|SCALE
Version,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25714,282-288|6285-6291,PREF|PREF,VERSION|VERSION
Questionnaire,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17048,298-310|3620-3633|4243-4256|4595-4607|4720-4732|5202-5214|5774-5786|6328-6340|8582-8594|12018-12030|12925-12937|14790-14802|16964-16976,PREF|SYN|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,QUESTIONNAIRE|QUESTIONNAIRES|QUESTIONNAIRES|QUESTIONNAIRE|QUESTIONNAIRE|QUESTIONNAIRE|QUESTIONNAIRE|QUESTIONNAIRE|QUESTIONNAIRE|QUESTIONNAIRE|QUESTIONNAIRE|QUESTIONNAIRE|QUESTIONNAIRE
Administration,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25409,335-348,PREF,ADMINISTRATION
General Population,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18241,360-377|475-492|1835-1852|2301-2318|2374-2391|3336-3353|17395-17412,PREF|PREF|PREF|PREF|PREF|PREF|PREF,GENERAL POPULATION|GENERAL POPULATION|GENERAL POPULATION|GENERAL POPULATION|GENERAL POPULATION|GENERAL POPULATION|GENERAL POPULATION
Determine,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C136827,391-399|3796-3804|3848-3856|8169-8178|10886-10894|14575-14583|16143-16152,PREF|PREF|PREF|SYN|PREF|PREF|SYN,DETERMINE|DETERMINE|DETERMINE|DETERMINED|DETERMINE|DETERMINE|DETERMINED
Factor,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25506,405-410|705-710|733-738|2603-2608|2887-2892|2934-2939|3810-3815|7373-7378|7427-7432|7702-7707|7786-7791|8683-8688|8761-8766|8892-8897|9102-9107|9660-9665|9768-9773|9796-9801|9852-9857|9903-9908|9944-9949|10055-10060|10391-10396|11183-11188|12265-12270|12294-12299|12567-12572|12724-12729|12778-12783|12999-13004|13454-13459|15474-15479|16703-16708|16852-16857|16921-16926,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FACTOR|FACTOR|FACTOR|FACTOR|FACTOR|FACTOR|FACTOR|FACTOR|FACTOR|FACTOR|FACTOR|FACTOR|FACTOR|FACTOR|FACTOR|FACTOR|FACTOR|FACTOR|FACTOR|FACTOR|FACTOR|FACTOR|FACTOR|FACTOR|FACTOR|FACTOR|FACTOR|FACTOR|FACTOR|FACTOR|FACTOR|FACTOR|FACTOR|FACTOR|FACTOR
Structure,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41186,412-420|3817-3825|11190-11198|12820-12828|13461-13469|16710-16718,PREF|PREF|PREF|PREF|PREF|PREF,STRUCTURE|STRUCTURE|STRUCTURE|STRUCTURE|STRUCTURE|STRUCTURE
Data,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25474,436-439|3556-3559|3988-3991|4827-4830|5083-5086|10429-10432|14547-14550|15376-15379|15422-15425|15928-15931|16216-16219|17527-17530,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,DATA|DATA|DATA|DATA|DATA|DATA|DATA|DATA|DATA|DATA|DATA|DATA
Random,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C60702,448-453|4272-4277,PREF|PREF,RANDOM|RANDOM
People,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C95553,522-527|583-588|1893-1898|4456-4461|4643-4648|5130-5135|6958-6963|7313-7318|12847-12852|13278-13283|15285-15290|15607-15612|15807-15812|15979-15984|16432-16437|16759-16764,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE|PEOPLE
Previous,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25627,564-571|7167-7174|11872-11879,PREF|PREF|PREF,PREVIOUS|PREVIOUS|PREVIOUS
Consistency,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C95110,666-672|3419-3425|3871-3881|8153-8163|12949-12959,SYN|SYN|PREF|PREF|PREF,CONSIST|CONSIST|CONSISTENCY|CONSISTENCY|CONSISTENCY
Internal,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25234,682-691|3862-3869|8144-8151|12940-12947|16830-16839,SYN|PREF|PREF|PREF|SYN,INTERNALLY|INTERNAL|INTERNAL|INTERNAL|INTERNALLY
Consistent,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85901,693-702|16841-16850,PREF|PREF,CONSISTENT|CONSISTENT
Valid,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C71756,760-764|5077-5081|6141-6145,PREF|PREF|PREF,VALID|VALID|VALID
Comparison,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49156,772-781|10938-10945|13967-13974|16060-16065,PREF|SYN|SYN|SYN,COMPARISON|COMPARED|COMPARED|VERSUS
Health Status,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16669,830-850|838-850|6248-6268|6256-6268|6640-6652|6706-6718|11019-11039|11027-11039|11621-11641|11629-11641,SYN|PREF|SYN|PREF|PREF|PREF|SYN|PREF|SYN|PREF,GENERAL HEALTH STATUS|HEALTH STATUS|GENERAL HEALTH STATUS|HEALTH STATUS|HEALTH STATUS|HEALTH STATUS|GENERAL HEALTH STATUS|HEALTH STATUS|GENERAL HEALTH STATUS|HEALTH STATUS
Health,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25178,838-843|2394-2399|6256-6261|6305-6310|6549-6554|6603-6608|6640-6645|6706-6711|11027-11032|11629-11634|11853-11858|13842-13847|14179-14184|14347-14352|17254-17259|17475-17480,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH
Status,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25688,845-850|6263-6268|6647-6652|6713-6718|11034-11039|11636-11641,PREF|PREF|PREF|PREF|PREF|PREF,STATUS|STATUS|STATUS|STATUS|STATUS|STATUS
Concept,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45728,890-896|12500-12506,PREF|PREF,CONCEPT|CONCEPT
Increased,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C164135,951-959|1442-1450,PREF|PREF,INCREASED|INCREASED
Relevance,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C70664,993-1001|12150-12157,PREF|SYN,RELEVANCE|RELEVANT
Avoidance,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54264,1011-1019|1476-1484|2057-2065|2235-2243|2349-2357|2439-2447,PREF|PREF|PREF|PREF|PREF|PREF,AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE
Field,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C70773,1037-1041,PREF,FIELD
