prefLabel,id,from_to,matchType,text
recent,http://sbmi.uth.tmc.edu/ontology/ochv#C0332185,4-9|7190-7195,PREF|PREF,RECENT|RECENT
pain,http://sbmi.uth.tmc.edu/ontology/ochv#9185,69-72|133-136|221-224|901-904|942-945|1392-1395|1622-1625|1956-1959|1994-1997|2117-2120|2257-2260|2838-2841|3074-3077|3207-3210|5268-5271|5729-5732|5840-5843|6053-6056|6575-6578|6982-6985|7222-7225|10972-10975|11058-11061|11162-11165|11352-11355|11534-11537|11590-11593|11776-11779|12511-12514|14146-14149|14270-14273|14742-14745|15096-15099|16018-16021|16275-16278|17199-17202|17221-17224|17241-17244|17321-17324|17374-17377,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0030193,69-72|133-136|221-224|901-904|942-945|1392-1395|1622-1625|1956-1959|1994-1997|2117-2120|2257-2260|2838-2841|3074-3077|3207-3210|5268-5271|5729-5732|5840-5843|6053-6056|6575-6578|6982-6985|7222-7225|10972-10975|11058-11061|11162-11165|11352-11355|11534-11537|11590-11593|11776-11779|12511-12514|14146-14149|14270-14273|14742-14745|15096-15099|16018-16021|16275-16278|17199-17202|17221-17224|17241-17244|17321-17324|17374-17377,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
related,http://sbmi.uth.tmc.edu/ontology/ochv#C0163712,74-80|906-912|11539-11545|12516-12522|14047-14053|17246-17252|17379-17385,PREF|PREF|PREF|PREF|PREF|PREF|PREF,RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED
maintenance,http://sbmi.uth.tmc.edu/ontology/ochv#C0024501,110-120,PREF,MAINTENANCE
maintenance,http://sbmi.uth.tmc.edu/ontology/ochv#7677,110-120,PREF,MAINTENANCE
chronic pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0150055,125-136|934-945,PREF|PREF,CHRONIC PAIN|CHRONIC PAIN
chronic,http://sbmi.uth.tmc.edu/ontology/ochv#C0205191,125-131|934-940|1939-1945|2821-2827|15315-15321|15513-15519|16001-16007|16258-16264,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC
instrument,http://sbmi.uth.tmc.edu/ontology/ochv#C0348000,152-161,PREF,INSTRUMENT
context,http://sbmi.uth.tmc.edu/ontology/ochv#35774,201-207,PREF,CONTEXT
