prefLabel,id,from_to,matchType,text
Photograph,http://purl.bioontology.org/ontology/MESH/D059036,5-14|1763-1773|5104-5114|5393-5403|5436-5445|5635-5644|5720-5729|6682-6692|6779-6788|6819-6828|6900-6909|7068-7078|7150-7159|12347-12356|12759-12768|22620-22629,PREF|SYN|SYN|SYN|PREF|PREF|PREF|SYN|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF,PHOTOGRAPH|PHOTOGRAPHS|PHOTOGRAPHS|PHOTOGRAPHS|PHOTOGRAPH|PHOTOGRAPH|PHOTOGRAPH|PHOTOGRAPHS|PHOTOGRAPH|PHOTOGRAPH|PHOTOGRAPH|PHOTOGRAPHS|PHOTOGRAPH|PHOTOGRAPH|PHOTOGRAPH|PHOTOGRAPH
Patients,http://purl.bioontology.org/ontology/MESH/D010361,130-137|804-811|1025-1032|1551-1558|1814-1821|1993-2000|2820-2827|3833-3840|7686-7693|9701-9708|10367-10374|13519-13526|14239-14246|14396-14403|14954-14961|16373-16380|16566-16573|17373-17380|17888-17895|20472-20479|20818-20825|21805-21812|22003-22010|22029-22036|22164-22171|22320-22327|22779-22786|23350-23357|24571-24578,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS
Time,http://purl.bioontology.org/ontology/MESH/D013995,425-428|4786-4789|6107-6110|6250-6253|7168-7171|9189-9192|14478-14481|15088-15091|15498-15501|15575-15578,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,TIME|TIME|TIME|TIME|TIME|TIME|TIME|TIME|TIME|TIME
Finding,http://purl.bioontology.org/ontology/STY/T033,573-579|8069-8075|16360-16366,PREF|PREF|PREF,FINDING|FINDING|FINDING
Pain,http://purl.bioontology.org/ontology/MESH/D010146,605-608|1056-1059|1213-1216|1276-1279|1369-1372|1405-1408|1524-1527|1598-1601|1809-1812|3920-3923|7330-7333|7409-7412|7507-7510|7524-7527|7625-7628|7848-7851|8144-8147|8201-8204|8803-8806|8868-8871|8894-8897|8929-8932|10051-10054|12897-12900|13290-13293|15810-15813|15867-15870|16083-16086|16157-16160|16303-16306|17368-17371|17929-17932|18842-18845|20238-20241|20247-20250|20328-20331|20423-20426|20503-20506|20594-20597|20837-20840|20899-20902|21154-21157|21195-21198|21232-21235|21266-21269|21303-21306|21309-21312|21406-21409|21536-21539|21755-21758|21800-21803|21998-22001|22115-22118|22187-22190|22277-22280|22811-22814|23026-23029|23130-23133|23342-23345|23381-23384|23456-23459|23527-23530|23728-23731|23793-23796|23876-23879|23928-23931|24011-24014|24177-24180|24383-24386|24566-24569|24595-24598|24611-24614|24769-24772|24937-24940|25098-25101,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Fear,http://purl.bioontology.org/ontology/MESH/D005239,623-626|1418-1421|1537-1540|1611-1614|1683-1687|6165-6168|6420-6423|13229-13232|15781-15784|16041-16044|20260-20263|20415-20418|20717-20720|21167-21170|21245-21248|22290-22293|22408-22411|23298-23301|24101-24104|24396-24399|24721-24724|24889-24892|25067-25070,PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FEAR|FEAR|FEAR|FEAR|FEARS|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR
Movement,http://purl.bioontology.org/ontology/MESH/D009068,631-638|2055-2063|4232-4240|4310-4318|4397-4404|4500-4508|4654-4662|4913-4921|5012-5019|5153-5160|5705-5712|6428-6435|13237-13244|15789-15796|16049-16056|22416-22423|24109-24116|24729-24736|24897-24904|25075-25082,PREF|SYN|SYN|SYN|PREF|SYN|SYN|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,MOVEMENT|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENT|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT
Low Back Pain,http://purl.bioontology.org/ontology/MESH/D017116,1047-1059|1267-1279|1360-1372|20319-20331|20494-20506|20585-20597|21791-21803|21989-22001|22178-22190|22802-22814|23372-23384|23518-23530|23719-23731|23867-23879|24168-24180|24760-24772|24928-24940,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN
Back Pain,http://purl.bioontology.org/ontology/MESH/D001416,1051-1059|1271-1279|1364-1372|1804-1812|20323-20331|20498-20506|20589-20597|20832-20840|21261-21269|21795-21803|21993-22001|22182-22190|22806-22814|23021-23029|23376-23384|23522-23530|23723-23731|23788-23796|23871-23879|24172-24180|24764-24772|24932-24940,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN
Address,http://purl.bioontology.org/ontology/MESH/D019484,1690-1696|9897-9903|10011-10017,PREF|PREF|PREF,ADDRESS|ADDRESS|ADDRESS
