prefLabel,id,from_to,matchType,text
Change,http://psink.de/scio/Change,522-527|8745-8750|11036-11041|14290-14295|24212-24217,PREF|PREF|PREF|PREF|PREF,CHANGE|CHANGE|CHANGE|CHANGE|CHANGE
Injury,http://psink.de/scio/Injury,644-649|6441-6446|13251-13256|15802-15807|16062-16067|22425-22430|24122-24127|24742-24747|24910-24915|25088-25093,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,INJURY|INJURY|INJURY|INJURY|INJURY|INJURY|INJURY|INJURY|INJURY|INJURY
Treatment,http://psink.de/scio/Treatment,2101-2109|3545-3553|4074-4082|9740-9748|9774-9782|9859-9867|10247-10255|10423-10431|10460-10468|10828-10836|13387-13395|13452-13460|13547-13555|13594-13602|13693-13701|13819-13827|13847-13855|14024-14032|16406-16414|16530-16538|24708-24716,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT
Substance,http://psink.de/scio/Substance,3180-3188,PREF,SUBSTANCE
Compression,http://psink.de/scio/Compression,4564-4574,PREF,COMPRESSION
Current,http://psink.de/scio/Current,8795-8801|12889-12895|13273-13279|15859-15865,PREF|PREF|PREF|PREF,CURRENT|CURRENT|CURRENT|CURRENT
Age,http://psink.de/scio/Age,11334-11336,PREF,AGE
Gender,http://psink.de/scio/Gender,11339-11344,PREF,GENDER
Duration,http://psink.de/scio/Duration,11347-11354|12398-12405|18716-18723,PREF|PREF|PREF,DURATION|DURATION|DURATION
Observation,http://psink.de/scio/Observation,16811-16821,PREF,OBSERVATION
Function,http://psink.de/scio/Function,20746-20753,PREF,FUNCTION
