prefLabel,id,from_to,matchType,text
Fear,http://purl.bioontology.org/ontology/MESH/D005239,10-13|210-213|293-296|518-521|585-588|775-778|945-948|1199-1202|1283-1286|1560-1563|1814-1817|1866-1869|2015-2018|3164-3167|3404-3407|3552-3555|4050-4053|4565-4568|4839-4842|10513-10516|10572-10575|11113-11116|13159-13162|13280-13283|14092-14095|14371-14374|14754-14757|15281-15284|15531-15534|15734-15737|15807-15810|15912-15915|15995-15998|16131-16134|16666-16669|17374-17377|18162-18165|18730-18733|18895-18898|19002-19005|19076-19079|19374-19377|19719-19722|20922-20925|21258-21261|21343-21346|21520-21523|22372-22375|22688-22691|22892-22895|22996-22999|23106-23109|23184-23187|23785-23788|24521-24524|24736-24739|25090-25093|26042-26045|26747-26750|26896-26899|27032-27035|27227-27230|27398-27401|27454-27457|27578-27581|27731-27734|28184-28187|28234-28237|28469-28472|28756-28759|29077-29080|29351-29354|30088-30091|30534-30537|30676-30679|30771-30774|30972-30975,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR
Pain,http://purl.bioontology.org/ontology/MESH/D010146,18-21|121-124|197-200|280-283|470-473|572-575|932-935|1186-1189|1270-1273|1430-1433|1593-1596|1893-1896|3945-3948|4037-4040|4518-4521|4603-4606|5134-5137|5173-5176|5196-5199|5225-5228|17625-17628|17664-17667|18017-18020|18212-18215|21547-21550|22403-22406|22883-22886|23093-23096|23134-23137|23171-23174|23205-23208|23640-23643|24223-24226|24440-24443|24585-24588|24786-24789|24986-24989|25301-25304|26025-26028|26091-26094|26216-26219|26614-26617|26795-26798|26883-26886|27082-27085|27138-27141|27256-27259|27385-27388|27446-27449|27565-27568|27605-27608|27641-27644|27827-27830|28920-28923|28966-28969|29136-29139|29229-29232|29391-29394|30234-30237|30582-30585|30700-30703|30873-30876|31055-31058,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Musculoskeletal Pain,http://purl.bioontology.org/ontology/MESH/D059352,105-124|1414-1433|17609-17628|29120-29139,PREF|PREF|PREF|PREF,MUSCULOSKELETAL PAIN|MUSCULOSKELETAL PAIN|MUSCULOSKELETAL PAIN|MUSCULOSKELETAL PAIN
Anxiety,http://purl.bioontology.org/ontology/MESH/D001007,307-313|347-353|1898-1904|2024-2030|4523-4529|4574-4580|4821-4827|5372-5378|5405-5411|5475-5481|5570-5576|5587-5593|5623-5629|5650-5656|5667-5673|5709-5715|5725-5731|13289-13295|14034-14040|14274-14280|15743-15749|15921-15927|16004-16010|18337-18343|18515-18521|18553-18559|18811-18817|19082-19088|19324-19330|19441-19447|21172-21178|22987-22993|25548-25554|26030-26036|27050-27056|27215-27221|28243-28249|28925-28931|30097-30103,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY|ANXIETY
Human,http://purl.bioontology.org/ontology/STY/T016,421-425|21778-21782|22709-22713,PREF|PREF|PREF,HUMAN|HUMAN|HUMAN
Patients,http://purl.bioontology.org/ontology/MESH/D010361,427-434|1598-1605|2823-2830|3577-3584|3663-3670|3800-3807|5003-5010|6701-6708|6969-6976|12384-12391|15568-15575|17595-17602|18203-18210|21887-21894|22408-22415|23609-23616|24200-24207|24421-24428|24629-24636|24763-24770|24823-24830|24964-24971|25306-25313|25332-25339|26064-26071|26193-26200|26583-26590|27804-27811|28971-28978|30239-30246|31032-31039,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS
Low Back Pain,http://purl.bioontology.org/ontology/MESH/D017116,461-473|1584-1596|3936-3948|22394-22406|22874-22886|23631-23643|24214-24226|24576-24588|24777-24789|25292-25304|26207-26219|26605-26617|26786-26798|27129-27141|27632-27644|29382-29394|30225-30237|30573-30585|30864-30876|31046-31058,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN
Back Pain,http://purl.bioontology.org/ontology/MESH/D001416,465-473|1588-1596|3940-3948|22398-22406|22878-22886|23200-23208|23635-23643|24218-24226|24435-24443|24580-24588|24781-24789|25296-25304|26086-26094|26211-26219|26609-26617|26790-26798|27133-27141|27636-27644|29386-29394|30229-30237|30577-30585|30868-30876|31050-31058,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN
Learning,http://purl.bioontology.org/ontology/MESH/D007858,653-660|1521-1528|2261-2268|2939-2946|8842-8849|9095-9102|29757-29764,PREF|PREF|PREF|PREF|PREF|PREF|PREF,LEARNING|LEARNING|LEARNING|LEARNING|LEARNING|LEARNING|LEARNING
Machine Learning,http://purl.bioontology.org/ontology/MESH/D000069550,1513-1528|2253-2268|8834-8849,PREF|PREF|PREF,MACHINE LEARNING|MACHINE LEARNING|MACHINE LEARNING
