prefLabel,id,from_to,matchType,text
Abstract,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C60765,1-8,PREF,ABSTRACT
Abstract,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42874,1-8,PREF,ABSTRACT
Fear,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C77960,10-13|210-213|293-296|518-521|585-588|775-778|945-948|1199-1202|1283-1286|1560-1563|1814-1817|1866-1869|2015-2018|3164-3167|3404-3407|3552-3555|4050-4053|4565-4568|4839-4842|10513-10516|10572-10575|11113-11116|13159-13162|13280-13283|14092-14095|14371-14374|14754-14757|15281-15284|15531-15534|15734-15737|15807-15810|15912-15915|15995-15998|16131-16134|16666-16669|17374-17377|18162-18165|18730-18733|18895-18898|19002-19005|19076-19079|19374-19377|19719-19722|20922-20925|21258-21261|21343-21346|21520-21523|22372-22375|22688-22691|22892-22895|22996-22999|23106-23109|23184-23187|23785-23788|24521-24524|24736-24739|25090-25093|26042-26045|26747-26750|26896-26899|27032-27035|27227-27230|27398-27401|27454-27457|27578-27581|27731-27734|28184-28187|28234-28237|28469-28472|28756-28759|29077-29080|29351-29354|30088-30091|30534-30537|30676-30679|30771-30774|30972-30975,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR
Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3303,18-21|121-124|197-200|280-283|470-473|572-575|932-935|1186-1189|1270-1273|1430-1433|1593-1596|1893-1896|3945-3948|4037-4040|4518-4521|4603-4606|5134-5137|5173-5176|5196-5199|5225-5228|17625-17628|17664-17667|18017-18020|18212-18215|21547-21550|22403-22406|22883-22886|23093-23096|23134-23137|23171-23174|23205-23208|23640-23643|24223-24226|24440-24443|24585-24588|24786-24789|24986-24989|25301-25304|26025-26028|26091-26094|26216-26219|26614-26617|26795-26798|26883-26886|27082-27085|27138-27141|27256-27259|27385-27388|27446-27449|27565-27568|27605-27608|27641-27644|27827-27830|28920-28923|28966-28969|29136-29139|29229-29232|29391-29394|30234-30237|30582-30585|30700-30703|30873-30876|31055-31058,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Significant,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41130,36-46|12447-12457|18470-18480,PREF|PREF|PREF,SIGNIFICANT|SIGNIFICANT|SIGNIFICANT
Prognostic,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25263,48-57|1359-1368|24547-24556,PREF|PREF|PREF,PROGNOSTIC|PROGNOSTIC|PROGNOSTIC
Value,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25712,59-63|1370-1374,PREF|PREF,VALUE|VALUE
Development,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18732,79-89,PREF,DEVELOPMENT
Development,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84377,79-89,PREF,DEVELOPMENT
Persistent,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43623,94-103|22863-22872,PREF|PREF,PERSISTENT|PERSISTENT
Musculoskeletal Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3244,105-124|1414-1433|17609-17628|29120-29139,PREF|PREF|PREF|PREF,MUSCULOSKELETAL PAIN|MUSCULOSKELETAL PAIN|MUSCULOSKELETAL PAIN|MUSCULOSKELETAL PAIN
Musculoskeletal,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25348,105-119|1414-1428|17609-17623|20728-20742|29120-29134,PREF|PREF|PREF|PREF|PREF,MUSCULOSKELETAL|MUSCULOSKELETAL|MUSCULOSKELETAL|MUSCULOSKELETAL|MUSCULOSKELETAL
Disability,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C21007,130-139|18101-18110|18292-18301|23210-23219|27095-27104|30882-30891,PREF|PREF|PREF|PREF|PREF|PREF,DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY
Assessment,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25217,146-155|1295-1302|1716-1725|2957-2962|4063-4070|5181-5186|25788-25797|27201-27210,PREF|SYN|PREF|SYN|SYN|SYN|PREF|PREF,ASSESSMENT|ASSESSED|ASSESSMENT|ASSESS|ASSESSED|ASSESS|ASSESSMENT|ASSESSMENT
Self-Report,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74528,173-183|2179-2191|4013-4023|5452-5462|19278-19288|19825-19835,PREF|SYN|PREF|PREF|PREF|PREF,SELF-REPORT|SELF-REPORTED|SELF-REPORT|SELF-REPORT|SELF-REPORT|SELF-REPORT
Self,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25200,173-176|1312-1315|2179-2182|4013-4016|5452-5455|13791-13794|19278-19281|19825-19828,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,SELF|SELF|SELF|SELF|SELF|SELF|SELF|SELF
Report,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25375,178-183|2184-2191|4018-4023|5457-5462|10973-10978|11169-11174|19283-19288|19830-19835,PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF,REPORT|REPORTED|REPORT|REPORT|REPORT|REPORT|REPORT|REPORT
Relationship,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25648,202-208|264-275|285-291|523-529|577-583|780-786|937-943|1191-1197|1275-1281|2437-2448|4042-4048|4592-4598|7938-7944|10577-10583|11118-11124|12896-12906|13269-13275|13863-13869|14097-14103|14376-14382|14737-14747|14759-14765|16114-16124|16136-16142|16440-16450|18084-18094|18190-18196|18482-18493|18735-18741|19724-19730|20020-20026|20404-20410|20711-20717|21000-21006|21115-21121|21212-21218|21326-21336|21348-21354|21536-21542|23098-23104|23176-23182|23363-23369|23414-23420|26274-26280|26888-26894|26927-26933|27087-27093|27570-27576,SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN,RELATED|RELATIONSHIP|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATIONSHIP|RELATED|RELATED|RELATED|RELATED|RELATED|ASSOCIATION|RELATED|RELATED|RELATED|RELATED|ASSOCIATION|RELATED|ASSOCIATION|RELATED|ASSOCIATION|ASSOCIATION|RELATED|RELATIONSHIP|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|ASSOCIATION|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED
Variety,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62709,220-226|1403-1409,PREF|PREF,VARIETY|VARIETY
