prefLabel,id,from_to,matchType,text
fear of pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0233702,10-21,PREF,FEAR OF PAIN
pain,http://sbmi.uth.tmc.edu/ontology/ochv#9185,18-21|121-124|197-200|280-283|470-473|572-575|932-935|1186-1189|1270-1273|1430-1433|1593-1596|1893-1896|3945-3948|4037-4040|4518-4521|4603-4606|5134-5137|5173-5176|5196-5199|5225-5228|17625-17628|17664-17667|18017-18020|18212-18215|18236-18242|21547-21550|22403-22406|22883-22886|23093-23096|23134-23137|23171-23174|23205-23208|23640-23643|24223-24226|24440-24443|24585-24588|24786-24789|24986-24989|25301-25304|26025-26028|26091-26094|26216-26219|26614-26617|26795-26798|26883-26886|27082-27085|27138-27141|27256-27259|27385-27388|27446-27449|27565-27568|27605-27608|27641-27644|27827-27830|28920-28923|28966-28969|29136-29139|29229-29232|29391-29394|30234-30237|30582-30585|30700-30703|30873-30876|31055-31058,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAINFUL|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0030193,18-21|121-124|197-200|280-283|470-473|572-575|932-935|1186-1189|1270-1273|1430-1433|1593-1596|1893-1896|3945-3948|4037-4040|4518-4521|4603-4606|5134-5137|5173-5176|5196-5199|5225-5228|17625-17628|17664-17667|18017-18020|18212-18215|21547-21550|22403-22406|22883-22886|23093-23096|23134-23137|23171-23174|23205-23208|23640-23643|24223-24226|24440-24443|24585-24588|24786-24789|24986-24989|25301-25304|26025-26028|26091-26094|26216-26219|26614-26617|26795-26798|26883-26886|27082-27085|27138-27141|27256-27259|27385-27388|27446-27449|27565-27568|27605-27608|27641-27644|27827-27830|28920-28923|28966-28969|29136-29139|29229-29232|29391-29394|30234-30237|30582-30585|30700-30703|30873-30876|31055-31058,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
significant,http://sbmi.uth.tmc.edu/ontology/ochv#C0750502,36-46|12447-12457|18470-18480,PREF|PREF|PREF,SIGNIFICANT|SIGNIFICANT|SIGNIFICANT
prognostic,http://sbmi.uth.tmc.edu/ontology/ochv#C0220901,48-57|1359-1368|24547-24556,PREF|PREF|PREF,PROGNOSTIC|PROGNOSTIC|PROGNOSTIC
prognostic,http://sbmi.uth.tmc.edu/ontology/ochv#21231,48-57|1359-1368|24547-24556,PREF|PREF|PREF,PROGNOSTIC|PROGNOSTIC|PROGNOSTIC
persistent,http://sbmi.uth.tmc.edu/ontology/ochv#C0205322,94-103|22863-22872,PREF|PREF,PERSISTENT|PERSISTENT
musculoskeletal pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0026858,105-124|1414-1433|17609-17628|29120-29139,PREF|PREF|PREF|PREF,MUSCULOSKELETAL PAIN|MUSCULOSKELETAL PAIN|MUSCULOSKELETAL PAIN|MUSCULOSKELETAL PAIN
musculoskeletal,http://sbmi.uth.tmc.edu/ontology/ochv#37430,105-119|1414-1428|17609-17623|20728-20742|29120-29134,PREF|PREF|PREF|PREF|PREF,MUSCULOSKELETAL|MUSCULOSKELETAL|MUSCULOSKELETAL|MUSCULOSKELETAL|MUSCULOSKELETAL
musculoskeletal,http://sbmi.uth.tmc.edu/ontology/ochv#C0497254,105-119|1414-1428|17609-17623|20728-20742|29120-29134,PREF|PREF|PREF|PREF|PREF,MUSCULOSKELETAL|MUSCULOSKELETAL|MUSCULOSKELETAL|MUSCULOSKELETAL|MUSCULOSKELETAL
disability,http://sbmi.uth.tmc.edu/ontology/ochv#C0231170,130-139|18101-18110|18292-18301|23210-23219|27095-27104|30882-30891,PREF|PREF|PREF|PREF|PREF|PREF,DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY
self-report,http://sbmi.uth.tmc.edu/ontology/ochv#43564,173-183|4013-4023|5452-5462|19278-19288|19825-19835,PREF|PREF|PREF|PREF|PREF,SELF-REPORT|SELF-REPORT|SELF-REPORT|SELF-REPORT|SELF-REPORT
self,http://sbmi.uth.tmc.edu/ontology/ochv#11168,173-176|1312-1315|2179-2182|4013-4016|5452-5455|13791-13794|19278-19281|19825-19828,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,SELF|SELF|SELF|SELF|SELF|SELF|SELF|SELF
self,http://sbmi.uth.tmc.edu/ontology/ochv#C0036588,173-176|1312-1315|2179-2182|4013-4016|5452-5455|13791-13794|19278-19281|19825-19828,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,SELF|SELF|SELF|SELF|SELF|SELF|SELF|SELF
report,http://sbmi.uth.tmc.edu/ontology/ochv#C0684224,178-183|4018-4023|5457-5462|10973-10978|11169-11174|19283-19288|19830-19835,PREF|PREF|PREF|PREF|PREF|PREF|PREF,REPORT|REPORT|REPORT|REPORT|REPORT|REPORT|REPORT
measures,http://sbmi.uth.tmc.edu/ontology/ochv#15235,185-192|315-322|4025-4032|5464-5470|18446-18453|18561-18567|19837-19844|20099-20106|21502-21508|23034-23041|26815-26822|26935-26942,PREF|PREF|PREF|SYN|PREF|SYN|PREF|PREF|SYN|PREF|PREF|PREF,MEASURES|MEASURES|MEASURES|MEASURE|MEASURES|MEASURE|MEASURES|MEASURES|MEASURE|MEASURES|MEASURES|MEASURES
relate,http://sbmi.uth.tmc.edu/ontology/ochv#18040,202-208|285-291|523-529|577-583|780-786|937-943|1191-1197|1275-1281|4042-4048|4592-4598|4765-4770|7938-7944|10577-10583|11118-11124|13269-13275|13863-13869|14097-14103|14376-14382|14759-14765|16136-16142|18190-18196|18735-18741|19724-19730|20020-20026|20404-20410|20711-20717|21000-21006|21115-21121|21212-21218|21348-21354|21536-21542|23098-23104|23176-23182|23363-23369|23414-23420|26274-26280|26888-26894|26927-26933|27087-27093|27570-27576,SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN,RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATE|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED
related,http://sbmi.uth.tmc.edu/ontology/ochv#C0163712,202-208|285-291|523-529|577-583|780-786|937-943|1191-1197|1275-1281|4042-4048|4592-4598|7938-7944|10577-10583|11118-11124|13269-13275|13863-13869|14097-14103|14376-14382|14759-14765|16136-16142|18190-18196|18735-18741|19724-19730|20020-20026|20404-20410|20711-20717|21000-21006|21115-21121|21212-21218|21348-21354|21536-21542|23098-23104|23176-23182|23363-23369|23414-23420|26274-26280|26888-26894|26927-26933|27087-27093|27570-27576,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED
