prefLabel,id,from_to,matchType,text
Chronic,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14141,14-20|1425-1431|1489-1495|1574-1580|7193-7199|8084-8090|10988-10994|11145-11151|11276-11282|11800-11806|11965-11971|12898-12904|13170-13176,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC
Low,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54722,22-24|1260-1262|7201-7203|10866-10868|10996-10998|11153-11155|11284-11286|11354-11356|11448-11450|11589-11591|11704-11706|11808-11810|11973-11975|12187-12189|12512-12514|12673-12675|12906-12908|13001-13003|13178-13180|13795-13797|13959-13961|13974-13976,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW
Back Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41830,26-34|1264-1272|7205-7213|10870-10878|11000-11008|11157-11165|11288-11296|11358-11366|11593-11601|11708-11716|11812-11820|11977-11985|12191-12199|12516-12524|12677-12685|12910-12918|13005-13013|13182-13190|13799-13807|13963-13971|13978-13986,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN
Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3303,31-34|144-147|618-621|1269-1272|2055-2058|4272-4275|4657-4660|4775-4778|6926-6929|7139-7142|7210-7213|7516-7519|9311-9314|10875-10878|10974-10977|11005-11008|11162-11165|11293-11296|11363-11366|11598-11601|11713-11716|11817-11820|11982-11985|12196-12199|12222-12225|12451-12454|12521-12524|12682-12685|12915-12918|12982-12985|13010-13013|13089-13092|13187-13190|13621-13624|13804-13807|13968-13971|13983-13986,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Major,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45368,50-54|1285-1289,PREF|PREF,MAJOR|MAJOR
Health,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25178,56-61|1298-1303|2897-2902|3827-3832,PREF|PREF|PREF|PREF,HEALTH|HEALTH|HEALTH|HEALTH
Problem,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28020,63-69|1305-1311,PREF|PREF,PROBLEM|PROBLEM
Fifth,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54567,92-96|8904-8908,PREF|PREF,FIFTH|FIFTH
Injury,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3671,152-157|2063-2068|2481-2486,PREF|PREF|PREF,INJURY|INJURY|INJURY
Patient,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16960,160-167|582-589|778-785|929-936|1475-1482|1649-1655|3894-3901|4239-4246|4363-4370|4553-4560|6893-6900|7166-7173|7475-7482|7563-7570|7772-7779|7856-7863|7963-7970|8259-8266|8387-8394|8740-8747|8996-9003|9268-9275|9694-9700|10171-10178|11010-11017|11131-11138|11262-11269|11786-11793|13156-13163|13988-13995,SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN,PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENT|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENT|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS
Movement,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37994,205-212|676-683|959-966|2115-2122|2245-2252|4051-4058|5159-5166|7698-7705|8354-8361|8784-8791|8807-8814|8948-8955|9032-9039|10357-10364|10647-10654|12228-12235,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT
Pattern,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25336,214-220|968-974|7707-7713|8363-8369|8793-8799|8816-8822|8957-8963|9041-9047|10366-10372|10656-10662|11851-11857,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PATTERN|PATTERN|PATTERN|PATTERN|PATTERN|PATTERN|PATTERN|PATTERN|PATTERN|PATTERN|PATTERN
Unknown,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17998,277-283,PREF,UNKNOWN
Lumbar Spine,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C69314,308-313|2628-2639|2628-2633|3257-3262|3475-3480|4038-4049|4038-4043|4181-4186|5947-5952|6309-6314|6398-6403|6534-6539|6606-6611|6820-6825|7422-7427|7625-7630|7746-7751|8324-8329|8768-8773|9431-9442|9431-9436|9807-9818|9807-9812|9842-9847|10460-10465|10773-10778|11168-11173|11372-11377|11516-11527|11516-11521|11637-11648|11637-11642|12074-12085|12074-12079|12872-12877|13576-13587|13576-13581|13768-13773,SYN|PREF|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|PREF|SYN|PREF|SYN|SYN|PREF|SYN|SYN,LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR|LUMBAR SPINE|LUMBAR|LUMBAR
