prefLabel,id,from_to,matchType,text
Treatment,http://psink.de/scio/Treatment,1254-1262|3710-3718|40961-40969,PREF|PREF|PREF,TREATMENT|TREATMENT|TREATMENT
Recovery,http://psink.de/scio/Recovery,1710-1717|41658-41665|42694-42701,PREF|PREF|PREF,RECOVERY|RECOVERY|RECOVERY
Tissue,http://psink.de/scio/Tissue,5094-5099|38894-38899|52180-52185,PREF|PREF|PREF,TISSUE|TISSUE|TISSUE
Increase,http://psink.de/scio/Increase,5644-5651|17823-17830|22757-22764|23298-23305|31125-31132|33835-33842|37190-37197,PREF|PREF|PREF|PREF|PREF|PREF|PREF,INCREASE|INCREASE|INCREASE|INCREASE|INCREASE|INCREASE|INCREASE
Experiment,http://psink.de/scio/Experiment,6706-6715|24650-24659|25187-25196,PREF|PREF|PREF,EXPERIMENT|EXPERIMENT|EXPERIMENT
Brain,http://psink.de/scio/Brain,7592-7596,PREF,BRAIN
Result,http://psink.de/scio/Result,8147-8152|13689-13694|13805-13810,PREF|PREF|PREF,RESULT|RESULT|RESULT
Pressure,http://psink.de/scio/Pressure,10024-10031|41583-41590|47695-47702,PREF|PREF|PREF,PRESSURE|PRESSURE|PRESSURE
Decrease,http://psink.de/scio/Decrease,10649-10656|10822-10829|48440-48447,PREF|PREF|PREF,DECREASE|DECREASE|DECREASE
Thickness,http://psink.de/scio/Thickness,12752-12760|13014-13022|13928-13936,PREF|PREF|PREF,THICKNESS|THICKNESS|THICKNESS
Change,http://psink.de/scio/Change,15412-15417,PREF,CHANGE
Trend,http://psink.de/scio/Trend,15822-15826|15848-15852|25904-25908,PREF|PREF|PREF,TREND|TREND|TREND
Direction,http://psink.de/scio/Direction,16094-16102|34920-34928|42140-42148,PREF|PREF|PREF,DIRECTION|DIRECTION|DIRECTION
Left,http://psink.de/scio/Left,18376-18379|25471-25474|26303-26306|28598-28601,PREF|PREF|PREF|PREF,LEFT|LEFT|LEFT|LEFT
Right,http://psink.de/scio/Right,18387-18391|25476-25480|26308-26312|28603-28607,PREF|PREF|PREF|PREF,RIGHT|RIGHT|RIGHT|RIGHT
Duration,http://psink.de/scio/Duration,18694-18701|19731-19738|24134-24141,PREF|PREF|PREF,DURATION|DURATION|DURATION
Injury,http://psink.de/scio/Injury,21453-21458|30797-30802|37811-37816|38507-38512|49639-49644|52161-52166,PREF|PREF|PREF|PREF|PREF|PREF,INJURY|INJURY|INJURY|INJURY|INJURY|INJURY
Significance,http://psink.de/scio/Significance,25931-25942|37573-37584|42872-42883,PREF|PREF|PREF,SIGNIFICANCE|SIGNIFICANCE|SIGNIFICANCE
Hypothesis,http://psink.de/scio/Hypothesis,29883-29892|46378-46387,PREF|PREF,HYPOTHESIS|HYPOTHESIS
Force,http://psink.de/scio/Force,30554-30558|32284-32288|32778-32782,PREF|PREF|PREF,FORCE|FORCE|FORCE
Compression,http://psink.de/scio/Compression,31552-31562,PREF,COMPRESSION
Vertebrae,http://psink.de/scio/Vertebrae,32146-32154,PREF,VERTEBRAE
Function,http://psink.de/scio/Function,33056-33063|33118-33125|40315-40322|41416-41423|46306-46313|49411-49418|52145-52152,PREF|PREF|PREF|PREF|PREF|PREF|PREF,FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION
Weight,http://psink.de/scio/Weight,43187-43192,PREF,WEIGHT
Extremity,http://psink.de/scio/Extremity,50874-50882,PREF,EXTREMITY
