prefLabel,id,from_to,matchType,text
Production,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C112927,5-14|27485-27494|42042-42051,PREF|PREF|PREF,PRODUCTION|PRODUCTION|PRODUCTION
Finger,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32608,27-32|154-159|541-546|687-692|835-840|1123-1128|1272-1277|1715-1720|1956-1961|2330-2335|2865-2870|3141-3146|3404-3409|3558-3563|3659-3664|4011-4016|4122-4127|4244-4249|5207-5212|5786-5791|6147-6152|6840-6845|7050-7055|7126-7131|7561-7566|7671-7676|8525-8530|8664-8669|9333-9338|9452-9457|10251-10256|10466-10471|12538-12543|13312-13317|14446-14451|14555-14560|15589-15594|16172-16177|16254-16259|16599-16604|17615-17620|18817-18822|18892-18897|19081-19086|19142-19147|19524-19529|19725-19730|20069-20074|20352-20357|20513-20518|20684-20689|20754-20759|21598-21603|22321-22326|23186-23191|23300-23305|24665-24670|24787-24792|26109-26114|26557-26562|26826-26831|26920-26925|26952-26957|27115-27120|27505-27510|27520-27525|27595-27600|28633-28638|29211-29216|29223-29228|29349-29354|29989-29994|30150-30155|30504-30509|30565-30570|30738-30743|30891-30896|30993-30998|31285-31290|31312-31317|33118-33123|34308-34313|34598-34603|35235-35240|35575-35580|36215-36220|36396-36401|37011-37016|38684-38689|39180-39185|39386-39391|39590-39595|39640-39645|39949-39954|40160-40165|40644-40649|40660-40665|40812-40817|41340-41345|41926-41931|42069-42074|43366-43371|43651-43656|43852-43857,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER
Activity,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43431,70-77|789-796|1981-1988|2238-2245|2819-2826|2881-2888|3191-3198|3520-3527|3675-3682|3771-3778|3942-3949|4260-4267|4779-4786|5598-5605|6972-6979|7094-7101|7346-7353|8627-8634|9772-9779|10132-10139|12389-12396|12567-12574|12773-12780|14271-14278|14366-14373|14512-14519|15107-15114|16325-16332|17524-17531|20378-20385|21187-21194|21311-21318|21703-21710|22696-22703|22887-22894|23112-23119|23430-23437|24242-24249|24740-24747|25088-25095|26614-26621|28114-28121|32895-32902|33749-33756|34390-34397|34780-34787|35671-35678|35896-35903|36934-36941|41000-41007|41643-41650|42271-42278,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY
Active,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45329,70-77|789-796|1981-1988|2238-2245|2819-2826|2881-2888|3191-3198|3520-3527|3675-3682|3771-3778|3942-3949|4260-4267|4779-4786|5598-5605|6972-6979|7094-7101|7346-7353|8627-8634|9772-9779|10132-10139|12389-12396|12567-12574|12773-12780|14271-14278|14366-14373|14512-14519|15107-15114|16325-16332|16903-16908|17524-17531|20378-20385|21187-21194|21311-21318|21703-21710|22696-22703|22887-22894|23112-23119|23430-23437|24242-24249|24740-24747|25088-25095|26614-26621|27636-27641|28114-28121|32895-32902|33749-33756|34390-34397|34780-34787|35671-35678|35896-35903|36934-36941|41000-41007|41643-41650|42271-42278,SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN,ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVE|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVE|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY
Neuron,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12623,82-88|483-489|644-650|1905-1911|3203-3209|3300-3305|9929-9935,SYN|SYN|SYN|SYN|SYN|PREF|SYN,NEURONS|NEURONS|NEURONS|NEURONS|NEURONS|NEURON|NEURONS
Hand,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32712,97-100|603-606|1054-1057|1172-1175|1193-1196|1638-1641|3009-3012|3218-3221|3900-3903|4200-4203|5309-5312|7154-7157|7166-7169|8500-8503|10265-10268|10287-10290|10328-10331|10493-10496|10683-10686|11724-11727|12121-12124|12361-12364|12493-12496|13783-13786|14162-14165|14588-14591|14864-14867|15251-15254|15746-15749|16069-16072|16286-16289|16850-16853|17822-17825|18960-18963|19201-19204|19888-19891|21122-21125|21559-21562|22237-22240|22826-22829|23359-23362|23542-23545|24119-24122|24477-24480|24962-24965|26660-26663|26742-26745|27218-27221|32282-32285|32408-32411|32449-32452|32550-32553|33396-33399|33943-33946|35268-35271|35598-35601|38157-38160|38453-38456|38644-38647|42667-42670|43159-43162,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND
Area,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25244,102-105|3223-3226|3343-3346|7171-7174|26665-26668|26747-26750|27861-27864|32370-32373|33406-33409|33948-33951,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,AREA|AREA|AREA|AREA|AREA|AREA|AREA|AREA|AREA|AREA
Primary Motor Cortex,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C97339,110-129|118-129|3231-3250|3239-3250|4289-4300|7189-7208|7197-7208|25739-25750|26729-26740|26782-26793|27750-27769|27758-27769|27934-27945,PREF|SYN|PREF|SYN|SYN|PREF|SYN|SYN|SYN|SYN|PREF|SYN|SYN,PRIMARY MOTOR CORTEX|MOTOR CORTEX|PRIMARY MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|PRIMARY MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|PRIMARY MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX
Primary,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25251,110-116|3231-3237|7189-7195|27750-27756,PREF|PREF|PREF|PREF,PRIMARY|PRIMARY|PRIMARY|PRIMARY
Motor,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28367,118-122|2736-2740|3239-3243|4289-4293|7197-7201|15633-15637|25739-25743|26654-26658|26729-26733|26782-26786|26871-26875|26995-26999|27430-27434|27758-27762|27803-27807|27934-27938|28020-28024,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR
