prefLabel,id,from_to,matchType,text
production,http://sbmi.uth.tmc.edu/ontology/ochv#C0033268,5-14|27485-27494|42042-42051,PREF|PREF|PREF,PRODUCTION|PRODUCTION|PRODUCTION
production,http://sbmi.uth.tmc.edu/ontology/ochv#10150,5-14|27485-27494|42042-42051,PREF|PREF|PREF,PRODUCTION|PRODUCTION|PRODUCTION
fingers,http://sbmi.uth.tmc.edu/ontology/ochv#5056,27-32|154-159|541-546|687-692|754-760|835-840|983-989|1123-1128|1272-1277|1715-1720|1812-1818|1956-1961|2330-2335|2703-2709|2865-2870|3141-3146|3404-3409|3558-3563|3659-3664|4011-4016|4122-4127|4244-4249|4626-4632|4813-4819|5151-5157|5207-5212|5297-5303|5555-5561|5679-5685|5786-5791|6147-6152|6668-6674|6840-6845|7050-7055|7126-7131|7561-7566|7671-7676|8525-8530|8664-8669|9187-9193|9333-9338|9452-9457|9578-9584|10068-10074|10189-10195|10251-10256|10466-10471|10608-10614|12433-12439|12538-12543|12731-12737|12805-12811|13312-13317|14446-14451|14555-14560|15589-15594|16172-16177|16254-16259|16431-16437|16599-16604|16910-16916|17615-17620|18817-18822|18892-18897|19081-19086|19142-19147|19524-19529|19639-19645|19725-19730|20069-20074|20238-20244|20352-20357|20513-20518|20684-20689|20754-20759|21598-21603|22321-22326|22734-22740|23186-23191|23300-23305|24665-24670|24787-24792|26109-26114|26557-26562|26826-26831|26920-26925|26952-26957|27115-27120|27505-27510|27520-27525|27595-27600|27712-27718|28633-28638|28716-28722|29211-29216|29223-29228|29349-29354|29654-29660|29989-29994|30121-30127|30150-30155|30504-30509|30565-30570|30738-30743|30891-30896|30993-30998|31109-31115|31285-31290|31312-31317|32929-32935|33118-33123|33710-33716|34308-34313|34598-34603|35235-35240|35575-35580|36215-36220|36396-36401|37011-37016|38684-38689|39180-39185|39277-39283|39386-39391|39460-39466|39590-39595|39640-39645|39949-39954|40160-40165|40590-40596|40644-40649|40660-40665|40812-40817|41340-41345|41926-41931|42069-42074|43366-43371|43457-43463|43566-43572|43651-43656|43814-43820|43852-43857,SYN|SYN|SYN|SYN|PREF|SYN|PREF|SYN|SYN|SYN|PREF|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|PREF|PREF|SYN|PREF|PREF|PREF|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|PREF|PREF|PREF|SYN|SYN|PREF|PREF|SYN|PREF|PREF|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|PREF|SYN|SYN|SYN|PREF|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|PREF|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|PREF|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|PREF|SYN|PREF|SYN,FINGER|FINGER|FINGER|FINGER|FINGERS|FINGER|FINGERS|FINGER|FINGER|FINGER|FINGERS|FINGER|FINGER|FINGERS|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGERS|FINGERS|FINGERS|FINGER|FINGERS|FINGERS|FINGERS|FINGER|FINGER|FINGERS|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGERS|FINGER|FINGER|FINGERS|FINGERS|FINGERS|FINGER|FINGER|FINGERS|FINGERS|FINGER|FINGERS|FINGERS|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGERS|FINGER|FINGERS|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGERS|FINGER|FINGER|FINGERS|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGERS|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGERS|FINGER|FINGERS|FINGER|FINGER|FINGER|FINGERS|FINGER|FINGERS|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGERS|FINGER|FINGER|FINGERS|FINGER|FINGERS|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGERS|FINGER|FINGERS|FINGER|FINGER|FINGER|FINGER|FINGERS|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGERS|FINGERS|FINGER|FINGERS|FINGER
finger,http://sbmi.uth.tmc.edu/ontology/ochv#C0016129,27-32|154-159|541-546|687-692|835-840|1123-1128|1272-1277|1715-1720|1956-1961|2330-2335|2865-2870|3141-3146|3404-3409|3558-3563|3659-3664|4011-4016|4122-4127|4244-4249|5207-5212|5786-5791|6147-6152|6840-6845|7050-7055|7126-7131|7561-7566|7671-7676|8525-8530|8664-8669|9333-9338|9452-9457|10251-10256|10466-10471|12538-12543|13312-13317|14446-14451|14555-14560|15589-15594|16172-16177|16254-16259|16599-16604|17615-17620|18817-18822|18892-18897|19081-19086|19142-19147|19524-19529|19725-19730|20069-20074|20352-20357|20513-20518|20684-20689|20754-20759|21598-21603|22321-22326|23186-23191|23300-23305|24665-24670|24787-24792|26109-26114|26557-26562|26826-26831|26920-26925|26952-26957|27115-27120|27505-27510|27520-27525|27595-27600|28633-28638|29211-29216|29223-29228|29349-29354|29989-29994|30150-30155|30504-30509|30565-30570|30738-30743|30891-30896|30993-30998|31285-31290|31312-31317|33118-33123|34308-34313|34598-34603|35235-35240|35575-35580|36215-36220|36396-36401|37011-37016|38684-38689|39180-39185|39386-39391|39590-39595|39640-39645|39949-39954|40160-40165|40644-40649|40660-40665|40812-40817|41340-41345|41926-41931|42069-42074|43366-43371|43651-43656|43852-43857,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER
movement,http://sbmi.uth.tmc.edu/ontology/ochv#8292,34-42|436-443|548-556|694-702|732-740|842-850|961-969|1020-1028|3148-3156|3411-3419|3565-3573|3905-3913|4018-4026|4129-4137|8671-8679|9340-9348|10446-10454|10668-10676|11512-11520|12546-12554|14094-14101|14453-14461|14869-14877|15154-15162|15312-15320|16179-16187|17294-17302|18056-18064|18181-18189|18291-18298|18437-18444|18824-18832|19088-19096|19422-19429|20076-20083|20144-20152|21127-21135|21605-21613|21764-21772|21892-21900|22328-22336|22423-22431|23578-23585|23950-23957|24053-24060|24270-24278|24397-24404|24794-24802|24967-24975|25119-25127|26833-26841|26959-26967|27122-27130|28640-28648|33690-33698|35582-35590|38163-38171|38458-38465|41484-41492|42076-42084|43393-43400,SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|PREF|SYN|SYN|PREF|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|PREF|PREF|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|PREF,MOVEMENTS|MOVEMENT|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENT|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENT|MOVEMENT|MOVEMENTS|MOVEMENTS|MOVEMENT|MOVEMENT|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENTS|MOVEMENT|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENT|MOVEMENTS|MOVEMENTS|MOVEMENT
human,http://sbmi.uth.tmc.edu/ontology/ochv#6299,47-52|22190-22195|26976-26980|27695-27699|38176-38181,SYN|SYN|PREF|PREF|SYN,HUMANS|HUMANS|HUMAN|HUMAN|HUMANS
activities,http://sbmi.uth.tmc.edu/ontology/ochv#34879,70-77|789-796|1981-1988|2238-2245|2819-2826|2881-2888|3191-3198|3520-3527|3675-3682|3771-3778|3942-3949|4260-4267|4779-4786|5598-5605|6972-6979|7094-7101|7346-7353|8627-8634|9772-9779|10132-10139|10429-10438|12389-12396|12567-12574|12773-12780|14271-14278|14366-14373|14512-14519|15107-15114|16325-16332|17524-17531|20378-20385|21187-21194|21311-21318|21703-21710|22133-22142|22696-22703|22887-22894|23112-23119|23430-23437|24242-24249|24740-24747|25088-25095|26614-26621|28114-28121|32895-32902|33749-33756|34390-34397|34780-34787|35671-35678|35896-35903|36934-36941|38441-38450|41000-41007|41643-41650|42271-42278,SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN,ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITIES|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITIES|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITIES|ACTIVITY|ACTIVITY|ACTIVITY
activity,http://sbmi.uth.tmc.edu/ontology/ochv#C0439167,70-77|789-796|1981-1988|2238-2245|2819-2826|2881-2888|3191-3198|3520-3527|3675-3682|3771-3778|3942-3949|4260-4267|4779-4786|5598-5605|6972-6979|7094-7101|7346-7353|8627-8634|9772-9779|10132-10139|12389-12396|12567-12574|12773-12780|14271-14278|14366-14373|14512-14519|15107-15114|16325-16332|17524-17531|20378-20385|21187-21194|21311-21318|21703-21710|22696-22703|22887-22894|23112-23119|23430-23437|24242-24249|24740-24747|25088-25095|26614-26621|28114-28121|32895-32902|33749-33756|34390-34397|34780-34787|35671-35678|35896-35903|36934-36941|41000-41007|41643-41650|42271-42278,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY
activity,http://sbmi.uth.tmc.edu/ontology/ochv#C0441655,70-77|789-796|1981-1988|2238-2245|2819-2826|2881-2888|3191-3198|3520-3527|3675-3682|3771-3778|3942-3949|4260-4267|4779-4786|5598-5605|6972-6979|7094-7101|7346-7353|8627-8634|9772-9779|10132-10139|12389-12396|12567-12574|12773-12780|14271-14278|14366-14373|14512-14519|15107-15114|16325-16332|17524-17531|20378-20385|21187-21194|21311-21318|21703-21710|22696-22703|22887-22894|23112-23119|23430-23437|24242-24249|24740-24747|25088-25095|26614-26621|28114-28121|32895-32902|33749-33756|34390-34397|34780-34787|35671-35678|35896-35903|36934-36941|41000-41007|41643-41650|42271-42278,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY
neurons,http://sbmi.uth.tmc.edu/ontology/ochv#8658,82-88|483-489|644-650|1905-1911|3203-3209|3300-3305|9929-9935,PREF|PREF|PREF|PREF|PREF|SYN|PREF,NEURONS|NEURONS|NEURONS|NEURONS|NEURONS|NEURON|NEURONS
