prefLabel,id,from_to,matchType,text
Decrease,http://psink.de/scio/Decrease,210-217|3020-3027|4329-4336|18103-18110|18237-18244|18438-18445|19479-19486|24638-24645,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,DECREASE|DECREASE|DECREASE|DECREASE|DECREASE|DECREASE|DECREASE|DECREASE
Current,http://psink.de/scio/Current,1704-1710|18887-18893|20275-20281|21799-21805|22109-22115|22849-22855|23360-23366|24524-24530,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,CURRENT|CURRENT|CURRENT|CURRENT|CURRENT|CURRENT|CURRENT|CURRENT
Treatment,http://psink.de/scio/Treatment,2194-2202|2541-2549|4972-4980|5670-5678|6327-6335|6434-6442|6580-6588|13851-13859|14216-14224|17504-17512|18496-18504|19709-19717|20495-20503|20736-20744,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT
Increase,http://psink.de/scio/Increase,4749-4756|17616-17623|18934-18941|18997-19004|19238-19245|19263-19270|23539-23546,PREF|PREF|PREF|PREF|PREF|PREF|PREF,INCREASE|INCREASE|INCREASE|INCREASE|INCREASE|INCREASE|INCREASE
Result,http://psink.de/scio/Result,4953-4958|5144-5149,PREF|PREF,RESULT|RESULT
Weight,http://psink.de/scio/Weight,5952-5957,PREF,WEIGHT
Age,http://psink.de/scio/Age,5964-5966,PREF,AGE
Brain,http://psink.de/scio/Brain,6001-6005|17926-17930|25580-25584|28448-28452|28531-28535|29454-29458|29835-29839|29870-29874|30813-30817|31009-31013|31915-31919,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN
Location,http://psink.de/scio/Location,6048-6055|7318-7325|8898-8905|13730-13737|14445-14452|16293-16300|17270-17277,PREF|PREF|PREF|PREF|PREF|PREF|PREF,LOCATION|LOCATION|LOCATION|LOCATION|LOCATION|LOCATION|LOCATION
Right,http://psink.de/scio/Right,7036-7040,PREF,RIGHT
Force,http://psink.de/scio/Force,9995-9999|26253-26257|30447-30451,PREF|PREF|PREF,FORCE|FORCE|FORCE
Direction,http://psink.de/scio/Direction,11359-11367,PREF,DIRECTION
Significance,http://psink.de/scio/Significance,17466-17477,PREF,SIGNIFICANCE
Hypothesis,http://psink.de/scio/Hypothesis,18703-18712|19561-19570|21149-21158,PREF|PREF|PREF,HYPOTHESIS|HYPOTHESIS|HYPOTHESIS
Pressure,http://psink.de/scio/Pressure,30947-30954,PREF,PRESSURE
