prefLabel,id,from_to,matchType,text
Tissue,http://purl.bioontology.org/ontology/STY/T024,6-11|150-155|639-644|998-1003|2766-2771|3297-3302|6152-6157|21503-21508|21647-21652,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,TISSUE|TISSUE|TISSUE|TISSUE|TISSUE|TISSUE|TISSUE|TISSUE|TISSUE
Tissues,http://purl.bioontology.org/ontology/MESH/D014024,6-11|150-155|639-644|998-1003|2766-2771|3297-3302|6152-6157|14958-14964|15189-15195|15710-15716|15915-15921|21503-21508|21647-21652,SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|PREF|PREF|PREF|SYN|SYN,TISSUE|TISSUE|TISSUE|TISSUE|TISSUE|TISSUE|TISSUE|TISSUES|TISSUES|TISSUES|TISSUES|TISSUE|TISSUE
Human,http://purl.bioontology.org/ontology/STY/T016,30-34|1022-1026|18746-18750|19520-19524,PREF|PREF|PREF|PREF,HUMAN|HUMAN|HUMAN|HUMAN
Spine,http://purl.bioontology.org/ontology/MESH/D013131,86-90|1078-1082|2049-2053|2314-2318|4354-4358|4632-4639|7632-7639|7736-7740|9934-9941|11090-11094|11959-11963|11983-11987|14007-14011|17821-17825|17930-17934|17944-17948|18111-18115|18200-18204|18759-18763|18889-18893|19123-19127|19662-19666|19788-19792|20464-20468|20606-20610|20702-20706|20930-20934|21679-21683,PREF|PREF|PREF|PREF|PREF|SYN|SYN|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,SPINE|SPINE|SPINE|SPINE|SPINE|VERTEBRA|VERTEBRA|SPINE|VERTEBRA|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE|SPINE
Skin,http://purl.bioontology.org/ontology/MESH/D012867,107-110|332-335|512-515|668-671|1099-1102|3353-3356|3416-3419|3616-3619|3911-3914|4158-4161|4591-4594|4784-4787|6992-6995|9005-9008|11297-11300|12332-12335|12545-12548|12629-12632|12795-12798|13040-13043|13886-13889|15454-15457|16207-16210|16497-16500|16692-16695|16904-16907|17312-17315|20545-20548|21096-21099|21200-21203|21315-21318,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN|SKIN
Uncertainty,http://purl.bioontology.org/ontology/MESH/D035501,820-830|11701-11711|13217-13227,PREF|PREF|PREF,UNCERTAINTY|UNCERTAINTY|UNCERTAINTY
Science,http://purl.bioontology.org/ontology/MESH/D012586,1188-1194,PREF,SCIENCE
China,http://purl.bioontology.org/ontology/MESH/D002681,1232-1236,PREF,CHINA
Reproduction,http://purl.bioontology.org/ontology/MESH/D012098,1468-1479,PREF,REPRODUCTION
Back Pain,http://purl.bioontology.org/ontology/MESH/D001416,1867-1875|1981-1989|2272-2280|2831-2839|17517-17525|18540-18548|18684-18692|19927-19935,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN
Pain,http://purl.bioontology.org/ontology/MESH/D010146,1872-1875|1986-1989|2277-2280|2836-2839|17522-17525|17713-17716|18545-18548|18689-18692|19932-19935,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Population,http://purl.bioontology.org/ontology/MESH/D011153,1951-1960|5711-5720,PREF|PREF,POPULATION|POPULATION
Low Back Pain,http://purl.bioontology.org/ontology/MESH/D017116,1977-1989|2268-2280|2827-2839|19923-19935,PREF|PREF|PREF|PREF,LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN
Time,http://purl.bioontology.org/ontology/MESH/D013995,2004-2007|2596-2599|5796-5799|5821-5824|6072-6075|18659-18662,PREF|PREF|PREF|PREF|PREF|PREF,TIME|TIME|TIME|TIME|TIME|TIME
Rotation,http://purl.bioontology.org/ontology/MESH/D012399,2084-2091|4429-4436|6526-6533|6716-6723|9045-9052|9097-9104|9265-9272|9439-9446|9583-9590|21698-21705|23116-23123|23239-23246,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ROTATION|ROTATION|ROTATION|ROTATION|ROTATION|ROTATION|ROTATION|ROTATION|ROTATION|ROTATION|ROTATION|ROTATION
Joints,http://purl.bioontology.org/ontology/MESH/D007596,2124-2129|6464-6468|13829-13833|20006-20010|21542-21546|23223-23227,PREF|SYN|SYN|SYN|SYN|SYN,JOINTS|JOINT|JOINT|JOINT|JOINT|JOINT
Motion,http://purl.bioontology.org/ontology/MESH/D009038,2293-2298|2546-2551|3136-3141|3213-3218|3339-3344|6168-6173|10052-10057|12931-12936|13299-13304|14118-14123|17005-17010|17430-17435|17936-17941|18117-18122|18227-18232|18349-18355|18732-18737|18851-18856|19079-19084|20227-20232|20371-20376,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF,MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTION|MOTIONS|MOTION|MOTION|MOTION|MOTION|MOTION
Fluoroscopy,http://purl.bioontology.org/ontology/MESH/D005471,2346-2356|15647-15657,PREF|PREF,FLUOROSCOPY|FLUOROSCOPY
Radiation,http://purl.bioontology.org/ontology/MESH/D011827,2438-2446,PREF,RADIATION
Methods,http://purl.bioontology.org/ontology/MESH/D008722,2628-2634|13598-13603|16658-16663|21873-21879,PREF|SYN|SYN|PREF,METHODS|METHOD|METHOD|METHODS
methods,http://purl.bioontology.org/ontology/MESH/Q000379,2628-2634|21873-21879,PREF|PREF,METHODS|METHODS
Knowledge,http://purl.bioontology.org/ontology/MESH/D019359,2966-2974|13011-13019|13841-13849,PREF|PREF|PREF,KNOWLEDGE|KNOWLEDGE|KNOWLEDGE
Movement,http://purl.bioontology.org/ontology/MESH/D009068,3003-3010|3261-3268|4575-4583|14053-14060|14693-14701|19149-19157|19366-19373|19526-19533|20139-20147|20421-20429|20685-20693|21132-21139|21205-21212|23272-23279,PREF|PREF|SYN|PREF|SYN|SYN|PREF|PREF|SYN|SYN|SYN|PREF|PREF|PREF,MOVEMENT|MOVEMENT|MOVEMENTS|MOVEMENT|MOVEMENTS|MOVEMENTS|MOVEMENT|MOVEMENT|MOVEMENTS|MOVEMENTS|MOVEMENTS|MOVEMENT|MOVEMENT|MOVEMENT
Nature,http://purl.bioontology.org/ontology/MESH/D019368,3128-3133,PREF,NATURE
analysis,http://purl.bioontology.org/ontology/MESH/Q000032,3143-3150|9897-9904|13325-13332|14489-14496|14759-14766|19086-19093|19535-19542|20378-20385|20992-20999|22115-22122|23018-23025,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ANALYSIS|ANALYSIS|ANALYSIS|ANALYSIS|ANALYSIS|ANALYSIS|ANALYSIS|ANALYSIS|ANALYSIS|ANALYSIS|ANALYSIS
Hand,http://purl.bioontology.org/ontology/MESH/D006225,3166-3169|6618-6621,PREF|PREF,HAND|HAND
Elasticity,http://purl.bioontology.org/ontology/MESH/D004548,3421-3430|15459-15468,PREF|PREF,ELASTICITY|ELASTICITY
Muscle Contraction,http://purl.bioontology.org/ontology/MESH/D009119,3458-3475|15431-15448,PREF|PREF,MUSCLE CONTRACTION|MUSCLE CONTRACTION
Body Regions,http://purl.bioontology.org/ontology/MESH/D001829,3937-3948,PREF,BODY REGIONS
