,node1,node2,similarity
0,abnormal joint and tissue loading,abnormal joint and tissue loading,1.0
1,a deficit in proprioception,an impact on local proprioceptors,0.9528806805610657
4,maintaining the vicious cycle,the vicious cycle,0.9745887517929077
5,entities,linked,0.9977157115936279
6,spinal pain,spinal pain,1.0
7,the pain adaptation theory,the pain adaptation theory,1.0
8,a factor that contributes to postural control,that changes in muscle activity are a contributing factor to spinal pain,0.9629371166229248
9,that changes in muscle activity are connected to the restriction of spinal motion,that changes in muscle activity are a contributing factor to spinal pain,0.9753625392913818
10,their employment status,employment status,0.9520608186721802
11,employment status,employment status,1.0
13,a patient's personal history,a patient's personal history,1.0
14,a record of their past experiences and background information,a collection of information about their life,0.9578595161437988
15,one aspect,one aspect,1.0
16,occupation,occupation,1.0
17,the job or profession that the patient is engaged in,the job or profession that the patient is engaged in,1.0
18,a patient's personal history,the patient's occupation,0.951917290687561
20,important for understanding the patient's financial situation and potential sources of stress or support,an important detail to consider when assessing their overall health and well-being,0.953708291053772
21,the patient's occupation,a patient's personal history,0.951917290687561
24,a collection of information about their life,a collection of information about them,0.9854336977005005
25,a patient's personal history,one aspect of a patient's personal history,0.9674691557884216
28,their employment status,their marital status,0.9714368581771851
29,one aspect of a patient's personal history,a patient's personal history,0.9674691557884216
34,a collection of information about them,a collection of information about them,1.0
36,one aspect of a patient's personal history,one aspect of a patient's personal history,1.0
41,their marital status,their insurance status,0.9721584320068359
42,their employment status,their insurance status,0.9748895168304443
43,a patient's personal history,patient's personal history,0.975382924079895
47,social history,social history,1.0
50,alcohol use,tobacco use,0.974238395690918
54,tobacco use,substance use,0.9523996710777283
55,alcohol use,substance use,0.9776338934898376
56,patient's personal history,patient's personal history,1.0
61,"personal preferences, expectations, and habits","personal preferences, expectations, and habits",1.0
62,literature,important,0.9551570415496826
63,isolated and chronic illnesses,isolated illnesses,0.9527603387832642
64,the patient,the patient,1.0
65,isolated and chronic illnesses,chronic illnesses,0.9665697813034058
66,a patient's personal history,the patient's medical history,0.9543148279190063
71,someone,important,0.9685454368591309
72,important,important,1.0
73,pain,pain,1.0
