prefLabel,id,from_to,matchType,text
Abstract,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42874,77-84,PREF,ABSTRACT
Abstract,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C60765,77-84,PREF,ABSTRACT
Fibromyalgia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C87497,86-97|1476-1487|5618-5629|22338-22349|23337-23348|23424-23435|24039-24050|24196-24207|24224-24235|24404-24415|24552-24563|25133-25144|25240-25251|25327-25338|25473-25484|25659-25670|25778-25798|25778-25789|25930-25941|25983-25994|26136-26147|26318-26329|27030-27041,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF,FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA SYNDROME|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA
Chronic,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14141,109-115|1499-1505|16251-16257|16371-16377|17592-17598|26109-26115,PREF|PREF|PREF|PREF|PREF|PREF,CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC
Diffuse,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14175,117-126|1538-1547|3831-3840|5408-5417|16951-16960|17671-17677|17694-17703|26117-26126,SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN,WIDESPREAD|WIDESPREAD|WIDESPREAD|WIDESPREAD|WIDESPREAD|DIFFUSE|WIDESPREAD|WIDESPREAD
Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3303,128-131|407-410|1106-1109|1135-1138|1349-1352|1470-1473|1507-1510|1549-1552|3035-3038|3235-3238|3842-3845|3909-3912|3957-3960|4682-4685|5419-5422|5672-5675|5788-5791|5840-5843|12190-12193|12340-12343|12370-12373|15149-15152|15332-15335|15493-15496|15607-15610|15945-15948|16082-16085|16259-16262|16357-16360|16379-16382|16415-16418|16440-16443|16657-16660|16815-16818|17457-17460|17600-17603|17705-17708|17926-17929|19432-19435|22063-22066|22316-22319|22386-22389|22441-22444|22960-22963|23081-23084|23307-23310|24020-24023|24086-24089|24131-24134|24288-24291|24631-24634|25099-25102|25453-25456|25576-25579|25644-25647|25753-25756|25823-25826|26128-26131|26310-26313|27156-27159,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Condition,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25457,133-141|9782-9791|10018-10027|18725-18733|18862-18870,PREF|SYN|SYN|PREF|PREF,CONDITION|CONDITIONS|CONDITIONS|CONDITION|CONDITION
Center,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25445,153-159|4464-4470|6952-6957|16766-16772,SYN|SYN|PREF|SYN,CENTRAL|CENTRAL|CENTER|CENTRAL
Sensitization,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C50738,161-173|16774-16786,PREF|PREF,SENSITIZATION|SENSITIZATION
Sensorimotor Cortex,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C154777,200-218|24979-24997|26663-26681,PREF|PREF|PREF,SENSORIMOTOR CORTEX|SENSORIMOTOR CORTEX|SENSORIMOTOR CORTEX
