prefLabel,id,from_to,matchType,text
Clinical Study,http://purl.bioontology.org/ontology/MESH/D000068397,1-14,PREF,CLINICAL STUDY
Fear,http://purl.bioontology.org/ontology/MESH/D005239,16-19|273-276|2365-2368|2381-2384|3167-3170|3554-3557|3712-3715|4321-4324|5918-5921|12853-12856|12873-12876|13662-13665|13720-13723|13985-13988|18297-18300|20147-20150|21681-21684|24250-24253|25246-25249|27416-27419|28716-28719|28975-28978|29494-29497|30103-30106|34791-34794|34895-34898|36986-36989|37015-37018|37797-37800|39189-39192|40647-40650|40819-40822|40916-40919|41014-41017|41118-41121|42066-42069|42139-42142|42358-42361|42470-42473|42548-42551|43574-43577|43701-43704|43931-43934|44168-44171|44363-44366|44494-44497|44675-44678|44970-44973|45069-45072|45114-45117|45187-45190|45618-45621|45843-45846,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR
therapy,http://purl.bioontology.org/ontology/MESH/Q000628,53-61|317-325|513-521|929-937|1350-1358|1822-1830|1899-1907|2268-2276|3886-3894|3997-4005|4652-4660|4689-4697|4758-4766|4806-4814|5302-5310|7258-7266|8920-8928|10886-10894|10942-10950|11012-11020|11065-11073|11455-11463|11486-11494|11541-11547|11578-11584|11703-11709|11810-11818|12011-12019|16621-16629|16925-16931|16980-16988|18227-18235|18312-18320|18998-19006|19261-19269|19381-19389|20305-20313|20462-20470|20627-20635|20912-20920|21053-21061|21091-21099|21780-21788|21859-21867|22603-22611|23073-23079|23130-23138|23540-23548|24734-24742|24858-24866|25272-25280|26571-26579|26799-26807|27566-27574|27682-27690|28159-28167|28653-28661|28676-28684|28742-28750|28791-28799|28855-28863|28914-28922|32965-32971|33383-33391|33431-33439|33473-33481|34223-34231|35037-35043|35352-35358|35659-35665|36377-36385|38064-38072|39077-39083|39151-39157|39248-39256|39324-39332|39438-39446|39516-39524|39740-39748|42829-42835|42918-42924|43469-43475|43841-43849|43918-43926|44932-44940,SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|PREF|PREF|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|PREF|PREF|PREF|SYN|SYN|PREF|PREF|SYN|SYN|SYN|SYN|SYN|PREF|PREF|PREF|SYN|SYN|SYN,TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|THERAPY|THERAPY|THERAPY|TREATMENT|TREATMENT|TREATMENT|THERAPY|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|THERAPY|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|THERAPY|TREATMENT|TREATMENT|TREATMENT|TREATMENT|THERAPY|THERAPY|THERAPY|TREATMENT|TREATMENT|THERAPY|THERAPY|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|THERAPY|THERAPY|THERAPY|TREATMENT|TREATMENT|TREATMENT
Patients,http://purl.bioontology.org/ontology/MESH/D010361,75-82|535-542|818-825|1114-1121|1305-1312|1478-1485|1639-1646|1843-1850|2959-2966|3747-3754|4491-4498|5027-5034|5324-5331|6824-6831|7116-7123|7329-7336|15783-15790|15862-15869|15963-15970|16009-16016|16078-16085|16159-16166|17236-17243|18159-18166|19282-19289|19424-19431|20326-20333|20649-20656|21262-21269|21429-21436|21623-21630|21802-21809|22260-22267|22784-22791|22878-22885|23328-23335|23575-23582|24394-24401|24499-24506|24534-24541|26592-26599|26690-26697|26904-26911|26989-26996|27119-27126|27272-27279|27309-27316|27778-27785|27873-27880|27957-27964|28022-28029|28075-28082|28275-28282|28455-28462|28523-28530|28953-28960|31619-31626|32581-32588|36185-36192|37357-37364|38372-38379|38811-38818|38979-38986|39261-39268|39459-39466|39610-39617|40708-40715|41208-41215|41282-41289|41878-41885|42272-42279|43347-43354|43494-43501|43646-43653|43788-43795|43939-43946|44038-44045|44319-44326|45733-45740,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS
Low Back Pain,http://purl.bioontology.org/ontology/MESH/D017116,89-101|229-241|339-351|549-561|832-844|1128-1140|2339-2351|2573-2585|3148-3160|3911-3923|4514-4526|9114-9126|15809-15821|22806-22818|26606-26618|28548-28560|40217-40229|40302-40314|40458-40470|40734-40746|40789-40801|40858-40870|41059-41071|41315-41327|41900-41912|42112-42124|42294-42306|42372-42384|42861-42873|42964-42976|43059-43071|43141-43153|43230-43242|43382-43394|43514-43526|43671-43683|43813-43825|44333-44345|44390-44402|44711-44723|44791-44803|44889-44901|45009-45021|45400-45412|45506-45518,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN
Back Pain,http://purl.bioontology.org/ontology/MESH/D001416,93-101|233-241|343-351|553-561|836-844|1132-1140|2343-2351|2354-2362|2577-2585|3152-3160|3915-3923|4518-4526|9118-9126|15813-15821|22810-22818|26610-26618|28552-28560|40221-40229|40306-40314|40462-40470|40738-40746|40793-40801|40862-40870|40948-40956|41063-41071|41319-41327|41904-41912|41940-41948|42116-42124|42298-42306|42376-42384|42564-42572|42865-42873|42968-42976|43063-43071|43145-43153|43234-43242|43386-43394|43518-43526|43660-43668|43675-43683|43817-43825|43961-43969|44052-44060|44337-44345|44394-44402|44715-44723|44795-44803|44893-44901|45013-45021|45404-45412|45510-45518|45556-45564|45607-45615,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN
Pain,http://purl.bioontology.org/ontology/MESH/D010146,98-101|238-241|348-351|558-561|704-707|841-844|1137-1140|1206-1209|1385-1388|2348-2351|2359-2362|2582-2585|2732-2735|3157-3160|3267-3270|3303-3306|3403-3406|3821-3824|3920-3923|4523-4526|9123-9126|10360-10363|12230-12233|12383-12386|12652-12655|13586-13589|13670-13673|15818-15821|17491-17494|18269-18272|18430-18433|18773-18776|19151-19154|19468-19471|19849-19852|20118-20121|20256-20259|20519-20522|20877-20880|21995-21998|22373-22376|22755-22758|22815-22818|23894-23897|23955-23958|24462-24465|24607-24610|25151-25154|26615-26618|26834-26837|27234-27237|28557-28560|29308-29311|29323-29326|29365-29368|29386-29389|30031-30034|30056-30059|30394-30397|32866-32869|32885-32888|32974-32977|33555-33558|34389-34392|34624-34627|34742-34745|35304-35307|35465-35468|36260-36263|40226-40229|40311-40314|40467-40470|40597-40600|40743-40746|40798-40801|40867-40870|40953-40956|41041-41044|41068-41071|41238-41241|41324-41327|41909-41912|41945-41948|42121-42124|42170-42173|42303-42306|42336-42339|42345-42348|42381-42384|42457-42460|42498-42501|42535-42538|42569-42572|42870-42873|42973-42976|43068-43071|43150-43153|43239-43242|43391-43394|43523-43526|43665-43668|43680-43683|43822-43825|43966-43969|44057-44060|44216-44219|44342-44345|44399-44402|44544-44547|44720-44723|44800-44803|44898-44901|44950-44953|45018-45021|45092-45095|45209-45212|45292-45295|45305-45308|45409-45412|45515-45518|45561-45564|45612-45615|45681-45684|45754-45757|45830-45833,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Systematic Review,http://purl.bioontology.org/ontology/MESH/D000078182,106-122|596-612|4227-4243|26400-26416|28325-28341|30836-30852|38645-38661|40751-40767|40961-40977|44619-44635|44819-44835,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,SYSTEMATIC REVIEW|SYSTEMATIC REVIEW|SYSTEMATIC REVIEW|SYSTEMATIC REVIEW|SYSTEMATIC REVIEW|SYSTEMATIC REVIEW|SYSTEMATIC REVIEW|SYSTEMATIC REVIEW|SYSTEMATIC REVIEW|SYSTEMATIC REVIEW|SYSTEMATIC REVIEW
Review,http://purl.bioontology.org/ontology/MESH/D016454,117-122|607-612|4238-4243|4893-4898|5050-5055|5362-5367|6478-6483|14393-14398|26411-26416|28336-28341|30847-30852|33892-33897|37434-37439|38656-38661|39377-39382|40762-40767|40972-40977|42753-42758|44630-44635|44830-44835|45327-45332,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,REVIEW|REVIEW|REVIEW|REVIEW|REVIEW|REVIEW|REVIEW|REVIEW|REVIEW|REVIEW|REVIEW|REVIEW|REVIEW|REVIEW|REVIEW|REVIEW|REVIEW|REVIEW|REVIEW|REVIEW|REVIEW
Psychology,http://purl.bioontology.org/ontology/MESH/D011584,154-174|3073-3093|3220-3240|4017-4037|11759-11779|29930-29939|40554-40574,SYN|SYN|SYN|SYN|SYN|PREF|SYN,PSYCHOLOGICAL FACTORS|PSYCHOLOGICAL FACTORS|PSYCHOLOGICAL FACTORS|PSYCHOLOGICAL FACTORS|PSYCHOLOGICAL FACTORS|PSYCHOLOGY|PSYCHOLOGICAL FACTORS
