prefLabel,id,from_to,matchType,text
purpose,http://sbmi.uth.tmc.edu/ontology/ochv#C0449256,17-23|14330-14336,PREF|PREF,PURPOSE|PURPOSE
relationship,http://sbmi.uth.tmc.edu/ontology/ochv#C0439849,58-69|1340-1351|1972-1983|4983-4994|7771-7782|8019-8030|8773-8784|9343-9354|15856-15867|17030-17041|17980-17991|18762-18773|19357-19368|19465-19476|19879-19890|20660-20671|21017-21028|21507-21518|21819-21830|21938-21949|22221-22232|24552-24563|25045-25056|27271-27282|28368-28379|29607-29618,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,RELATIONSHIP|RELATIONSHIP|RELATIONSHIP|RELATIONSHIP|RELATIONSHIP|RELATIONSHIP|RELATIONSHIP|RELATIONSHIP|RELATIONSHIP|RELATIONSHIP|RELATIONSHIP|RELATIONSHIP|RELATIONSHIP|RELATIONSHIP|RELATIONSHIP|RELATIONSHIP|RELATIONSHIP|RELATIONSHIP|RELATIONSHIP|RELATIONSHIP|RELATIONSHIP|RELATIONSHIP|RELATIONSHIP|RELATIONSHIP|RELATIONSHIP|RELATIONSHIP
pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0030193,79-82|191-194|222-225|469-472|478-481|547-550|920-923|974-977|1164-1167|1194-1197|1472-1475|1595-1598|1845-1848|1993-1996|2125-2128|2246-2249|2441-2444|2527-2530|2615-2618|3511-3514|3555-3558|3639-3642|3753-3756|4067-4070|4928-4931|5026-5029|5111-5114|6642-6645|6651-6654|6856-6859|6953-6956|6972-6975|7271-7274|7384-7387|7541-7544|7737-7740|8225-8228|8300-8303|8346-8349|8477-8480|8794-8797|9009-9012|9182-9185|9364-9367|9785-9788|10259-10262|10487-10490|10597-10600|10704-10707|10739-10742|10826-10829|10907-10910|11065-11068|11105-11108|11218-11221|11319-11322|11405-11408|11443-11446|11477-11480|11590-11593|11924-11927|11984-11987|12047-12050|14284-14287|14379-14382|15604-15607|15927-15930|17051-17054|17166-17169|17301-17304|17578-17581|17690-17693|18001-18004|18393-18396|18783-18786|18869-18872|19024-19027|19040-19043|19105-19108|19168-19171|19378-19381|19425-19428|19535-19538|19824-19827|19922-19925|19993-19996|20069-20072|20319-20322|20465-20468|20546-20549|20681-20684|20752-20755|20884-20887|20925-20928|21046-21049|21237-21240|21541-21544|21650-21653|21868-21871|22038-22041|22242-22245|22416-22419|22932-22935|23432-23435|23687-23690|25649-25652|25825-25828|25859-25862|25983-25986|26176-26179|26196-26199|26762-26765|27116-27119|27695-27698|27776-27779|27965-27968|28005-28008|28029-28032|28136-28139|28358-28361|28425-28428|28460-28463|28611-28614|28746-28749|28900-28903|28968-28971|29116-29119|29217-29220|29325-29328|29404-29407|29571-29574|29644-29647|29681-29684|29818-29821|29902-29905|30095-30098|30302-30305|30379-30382|30455-30458|30540-30543|30649-30652|30749-30752|30840-30843|31036-31039|31088-31091|31186-31189|31205-31208|31260-31263|31395-31398|31523-31526|31571-31574|31612-31615|31649-31652|31683-31686|31745-31748|31844-31847|31932-31935|31995-31998,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
pain,http://sbmi.uth.tmc.edu/ontology/ochv#9185,79-82|191-194|222-225|469-472|478-481|547-550|920-923|974-977|1164-1167|1194-1197|1472-1475|1595-1598|1845-1848|1993-1996|2125-2128|2246-2249|2441-2444|2527-2530|2615-2618|3511-3514|3555-3558|3639-3642|3753-3756|4067-4070|4400-4406|4928-4931|5026-5029|5111-5114|6642-6645|6651-6654|6856-6859|6953-6956|6972-6975|7271-7274|7384-7387|7541-7544|7737-7740|8225-8228|8300-8303|8346-8349|8477-8480|8794-8797|9009-9012|9182-9185|9364-9367|9785-9788|10259-10262|10487-10490|10597-10600|10704-10707|10739-10742|10826-10829|10907-10910|11065-11068|11105-11108|11218-11221|11319-11322|11405-11408|11443-11446|11477-11480|11590-11593|11924-11927|11984-11987|12047-12050|14284-14287|14379-14382|15604-15607|15927-15930|17051-17054|17166-17169|17301-17304|17578-17581|17690-17693|18001-18004|18393-18396|18783-18786|18869-18872|19024-19027|19040-19043|19105-19108|19168-19171|19378-19381|19425-19428|19535-19538|19824-19827|19922-19925|19993-19996|20069-20072|20319-20322|20465-20468|20546-20549|20681-20684|20752-20755|20884-20887|20925-20928|21046-21049|21237-21240|21541-21544|21650-21653|21868-21871|22038-22041|22242-22245|22416-22419|22932-22935|23432-23435|23687-23690|25649-25652|25825-25828|25859-25862|25983-25986|26176-26179|26196-26199|26762-26765|27116-27119|27695-27698|27776-27779|27965-27968|28005-28008|28029-28032|28136-28139|28358-28361|28425-28428|28460-28463|28611-28614|28746-28749|28900-28903|28968-28971|29116-29119|29217-29220|29325-29328|29404-29407|29571-29574|29644-29647|29681-29684|29818-29821|29902-29905|30095-30098|30302-30305|30379-30382|30455-30458|30540-30543|30649-30652|30749-30752|30840-30843|31036-31039|31088-31091|31186-31189|31205-31208|31260-31263|31395-31398|31523-31526|31571-31574|31612-31615|31649-31652|31683-31686|31745-31748|31844-31847|31932-31935|31995-31998,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAINFUL|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
related,http://sbmi.uth.tmc.edu/ontology/ochv#C0163712,84-90|227-233|263-269|483-489|979-985|1010-1016|1199-1205|1228-1234|1477-1483|1600-1606|1631-1637|1723-1729|1732-1738|1758-1764|1850-1856|1998-2004|2130-2136|2532-2538|4903-4909|6977-6983|7276-7282|7389-7395|7443-7449|7546-7552|7593-7599|8305-8311|8351-8357|8533-8539|8799-8805|9014-9020|9187-9193|9369-9375|9620-9626|15972-15978|16864-16870|17056-17062|17171-17177|17695-17701|18006-18012|18398-18404|18788-18794|18874-18880|19045-19051|19218-19224|19383-19389|19430-19436|19540-19546|19570-19576|19829-19835|19998-20004|20757-20763|20873-20879|21546-21552|21655-21661|21873-21879|22043-22049|22247-22253|22620-22626|23437-23443|25864-25870|25988-25994|26767-26773|27003-27009|27121-27127|27700-27706|27781-27787|29138-29144|31576-31582|31654-31660,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED
dynamic,http://sbmi.uth.tmc.edu/ontology/ochv#C0729333,118-124|591-597|4543-4549|4671-4677|13274-13280|20500-20506|22697-22703|26602-26608|27935-27941,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,DYNAMIC|DYNAMIC|DYNAMIC|DYNAMIC|DYNAMIC|DYNAMIC|DYNAMIC|DYNAMIC|DYNAMIC
physical activity,http://sbmi.uth.tmc.edu/ontology/ochv#21326,130-137|328-335|1374-1381|3144-3151|3215-3222|3374-3381|4551-4558|4683-4690|4829-4836|5004-5020|5013-5020|5148-5155|5448-5455|5608-5615|5655-5662|6775-6782|7106-7113|7174-7181|7888-7895|7927-7934|8691-8698|8885-8892|9498-9505|9644-9651|11841-11848|15987-15994|16166-16173|17096-17103|17199-17206|17715-17722|18178-18185|19088-19095|19503-19510|20160-20167|20301-20308|20418-20425|20797-20804|20949-20956|21276-21283|21369-21376|21736-21743|21789-21796|21855-21862|22803-22810|23016-23023|23617-23624|24056-24063|24237-24244|25079-25086|25787-25794|26005-26012|26586-26593|26701-26708|26934-26941|27202-27209|27471-27478|27734-27741|28270-28277|28871-28878|30229-30236|30316-30323|30956-30963,SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN,ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|PHYSICAL ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY
activities,http://sbmi.uth.tmc.edu/ontology/ochv#34879,130-137|328-335|1374-1381|3144-3151|3215-3222|3374-3381|4551-4558|4683-4690|4768-4777|4829-4836|5013-5020|5148-5155|5448-5455|5608-5615|5655-5662|6775-6782|7106-7113|7174-7181|7888-7895|7927-7934|8691-8698|8885-8892|9498-9505|9644-9651|11841-11848|15987-15994|16166-16173|17096-17103|17199-17206|17715-17722|18178-18185|19088-19095|19503-19510|20160-20167|20301-20308|20418-20425|20797-20804|20949-20956|21276-21283|21369-21376|21736-21743|21789-21796|21855-21862|22803-22810|23016-23023|23617-23624|24056-24063|24237-24244|25079-25086|25787-25794|26005-26012|26586-26593|26701-26708|26934-26941|27202-27209|27471-27478|27734-27741|28270-28277|28871-28878|30229-30236|30316-30323|30956-30963|31332-31341,SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF,ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITIES|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITIES
activity,http://sbmi.uth.tmc.edu/ontology/ochv#C0439167,130-137|328-335|1374-1381|3144-3151|3215-3222|3374-3381|4551-4558|4683-4690|4829-4836|5013-5020|5148-5155|5448-5455|5608-5615|5655-5662|6775-6782|7106-7113|7174-7181|7888-7895|7927-7934|8691-8698|8885-8892|9498-9505|9644-9651|11841-11848|15987-15994|16166-16173|17096-17103|17199-17206|17715-17722|18178-18185|19088-19095|19503-19510|20160-20167|20301-20308|20418-20425|20797-20804|20949-20956|21276-21283|21369-21376|21736-21743|21789-21796|21855-21862|22803-22810|23016-23023|23617-23624|24056-24063|24237-24244|25079-25086|25787-25794|26005-26012|26586-26593|26701-26708|26934-26941|27202-27209|27471-27478|27734-27741|28270-28277|28871-28878|30229-30236|30316-30323|30956-30963,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY
activity,http://sbmi.uth.tmc.edu/ontology/ochv#C0441655,130-137|328-335|1374-1381|3144-3151|3215-3222|3374-3381|4551-4558|4683-4690|4829-4836|5013-5020|5148-5155|5448-5455|5608-5615|5655-5662|6775-6782|7106-7113|7174-7181|7888-7895|7927-7934|8691-8698|8885-8892|9498-9505|9644-9651|11841-11848|15987-15994|16166-16173|17096-17103|17199-17206|17715-17722|18178-18185|19088-19095|19503-19510|20160-20167|20301-20308|20418-20425|20797-20804|20949-20956|21276-21283|21369-21376|21736-21743|21789-21796|21855-21862|22803-22810|23016-23023|23617-23624|24056-24063|24237-24244|25079-25086|25787-25794|26005-26012|26586-26593|26701-26708|26934-26941|27202-27209|27471-27478|27734-27741|28270-28277|28871-28878|30229-30236|30316-30323|30956-30963,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY
