prefLabel,id,from_to,matchType,text
Tissue,http://psink.de/scio/Tissue,469-474|15861-15866|16094-16099|18444-18449|26547-26552,PREF|PREF|PREF|PREF|PREF,TISSUE|TISSUE|TISSUE|TISSUE|TISSUE
Person,http://psink.de/scio/Person,836-841|3264-3269|5083-5088,PREF|PREF|PREF,PERSON|PERSON|PERSON
Result,http://psink.de/scio/Result,1886-1891,PREF,RESULT
Observation,http://psink.de/scio/Observation,2404-2414,PREF,OBSERVATION
Age,http://psink.de/scio/Age,3511-3513|3530-3532|9754-9756|10242-10244|21777-21779|25152-25154,PREF|PREF|PREF|PREF|PREF|PREF,AGE|AGE|AGE|AGE|AGE|AGE
Current,http://psink.de/scio/Current,5535-5541|14648-14654|17731-17737|17961-17967|18339-18345|18854-18860|19223-19229,PREF|PREF|PREF|PREF|PREF|PREF|PREF,CURRENT|CURRENT|CURRENT|CURRENT|CURRENT|CURRENT|CURRENT
Significance,http://psink.de/scio/Significance,9198-9209|22257-22268,PREF|PREF,SIGNIFICANCE|SIGNIFICANCE
Gender,http://psink.de/scio/Gender,9759-9764,PREF,GENDER
Left,http://psink.de/scio/Left,11998-12001,PREF,LEFT
Right,http://psink.de/scio/Right,12022-12026,PREF,RIGHT
Change,http://psink.de/scio/Change,15306-15311,PREF,CHANGE
Injury,http://psink.de/scio/Injury,15606-15611|15831-15836|22968-22973,PREF|PREF|PREF,INJURY|INJURY|INJURY
Pressure,http://psink.de/scio/Pressure,17505-17512|26470-26477,PREF|PREF,PRESSURE|PRESSURE
Function,http://psink.de/scio/Function,22151-22158,PREF,FUNCTION
Cell,http://psink.de/scio/Cell,23829-23832,PREF,CELL
Duration,http://psink.de/scio/Duration,23874-23881,PREF,DURATION
Brain,http://psink.de/scio/Brain,24369-24373,PREF,BRAIN
Publication,http://psink.de/scio/Publication,25421-25431,PREF,PUBLICATION
