prefLabel,id,from_to,matchType,text
Function,http://psink.de/scio/Function,25-32|1813-1820|4224-4231|23398-23405|30631-30638|33864-33871|35038-35045,PREF|PREF|PREF|PREF|PREF|PREF|PREF,FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION
Force,http://psink.de/scio/Force,183-187|1444-1448|5665-5669|6063-6067|8448-8452|8558-8562|8768-8772|10056-10060|20130-20134|20536-20540|22542-22546|24486-24490|24846-24850|25380-25384|26061-26065|28218-28222|28634-28638|29362-29366|30130-30134,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE
Increase,http://psink.de/scio/Increase,1049-1056|2872-2879|5186-5193|16936-16943|24062-24069|24582-24589|29096-29103|30492-30499|33499-33506,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,INCREASE|INCREASE|INCREASE|INCREASE|INCREASE|INCREASE|INCREASE|INCREASE|INCREASE
Decrease,http://psink.de/scio/Decrease,1178-1185|3841-3848|5260-5267|5857-5864|17672-17679|18036-18043|18239-18246|18899-18906|18992-18999|19155-19162|19786-19793|21663-21670|26804-26811|27278-27285,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,DECREASE|DECREASE|DECREASE|DECREASE|DECREASE|DECREASE|DECREASE|DECREASE|DECREASE|DECREASE|DECREASE|DECREASE|DECREASE|DECREASE
Treatment,http://psink.de/scio/Treatment,1775-1783,PREF,TREATMENT
Brain,http://psink.de/scio/Brain,2195-2199,PREF,BRAIN
Change,http://psink.de/scio/Change,4692-4697|14368-14373|26761-26766|32175-32180,PREF|PREF|PREF|PREF,CHANGE|CHANGE|CHANGE|CHANGE
Hypothesis,http://psink.de/scio/Hypothesis,6382-6391|27436-27445,PREF|PREF,HYPOTHESIS|HYPOTHESIS
Electrodes,http://psink.de/scio/Electrodes,11792-11801|11900-11909,PREF|PREF,ELECTRODES|ELECTRODES
Direction,http://psink.de/scio/Direction,11946-11954|12968-12976|13526-13534,PREF|PREF|PREF,DIRECTION|DIRECTION|DIRECTION
Left,http://psink.de/scio/Left,14630-14633,PREF,LEFT
Right,http://psink.de/scio/Right,14639-14643,PREF,RIGHT
Significance,http://psink.de/scio/Significance,15763-15774,PREF,SIGNIFICANCE
Observation,http://psink.de/scio/Observation,20673-20683,PREF,OBSERVATION
Result,http://psink.de/scio/Result,21316-21321|28070-28075,PREF|PREF,RESULT|RESULT
Recovery,http://psink.de/scio/Recovery,33573-33580|34589-34596,PREF|PREF,RECOVERY|RECOVERY
Injury,http://psink.de/scio/Injury,33981-33986,PREF,INJURY
