prefLabel,id,from_to,matchType,text
Current,http://psink.de/scio/Current,343-349|3842-3848|4945-4951|16660-16666|17002-17008|18578-18584|19335-19341|20834-20840|21464-21470|25030-25036|27732-27738,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,CURRENT|CURRENT|CURRENT|CURRENT|CURRENT|CURRENT|CURRENT|CURRENT|CURRENT|CURRENT|CURRENT
Injury,http://psink.de/scio/Injury,2524-2529|4798-4803|6181-6186|18843-18848|19037-19042|19213-19218|30869-30874|31055-31060|31942-31947,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,INJURY|INJURY|INJURY|INJURY|INJURY|INJURY|INJURY|INJURY|INJURY
Result,http://psink.de/scio/Result,2625-2630,PREF,RESULT
Increase,http://psink.de/scio/Increase,3245-3252|17623-17630,PREF|PREF,INCREASE|INCREASE
Function,http://psink.de/scio/Function,6610-6617|14318-14325|16460-16467|19652-19659|27073-27080,PREF|PREF|PREF|PREF|PREF,FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION
Age,http://psink.de/scio/Age,7018-7020|7226-7228|8543-8545|13820-13822|16479-16481|19753-19755|23451-23453|28972-28974|29790-29792,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE
Gender,http://psink.de/scio/Gender,7026-7031|7233-7238|8548-8553|13842-13847|16484-16489|19761-19766,PREF|PREF|PREF|PREF|PREF|PREF,GENDER|GENDER|GENDER|GENDER|GENDER|GENDER
Treatment,http://psink.de/scio/Treatment,7116-7124|7685-7693|7778-7786|7796-7804|16175-16183|16632-16640|17385-17393|20578-20586|21828-21836|21931-21939,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT
Duration,http://psink.de/scio/Duration,7897-7904|8258-8265|8957-8964|9061-9068|9107-9114|9139-9146|9218-9225|11748-11755|14350-14357|16108-16115|16548-16555|18508-18515|19669-19676|21102-21109,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,DURATION|DURATION|DURATION|DURATION|DURATION|DURATION|DURATION|DURATION|DURATION|DURATION|DURATION|DURATION|DURATION|DURATION
Location,http://psink.de/scio/Location,14335-14342|16533-16540,PREF|PREF,LOCATION|LOCATION
Significance,http://psink.de/scio/Significance,18079-18090,PREF,SIGNIFICANCE
Recovery,http://psink.de/scio/Recovery,19188-19195,PREF,RECOVERY
Extremity,http://psink.de/scio/Extremity,26130-26138,PREF,EXTREMITY
