prefLabel,id,from_to,matchType,text
Pain,http://purl.bioontology.org/ontology/MESH/D010146,69-72|133-136|433-436|474-477|606-609|1042-1045|1110-1113|1452-1455|1592-1595|1967-1970|2213-2216|2251-2254|2794-2797|3047-3050|3283-3286|4619-4622|4992-4995|5103-5106|5316-5319|5883-5886|6229-6232|6434-6437|6888-6891|7037-7040|7834-7837|9125-9128|9167-9170|9197-9200|9283-9286|9343-9346|9391-9394|9512-9515|9608-9611|9891-9894|9995-9998|11286-11289|11372-11375|11476-11479|11666-11669|11804-11807|11860-11863|11975-11978|12303-12306|12386-12389|12489-12492|13322-13325|13462-13465|14666-14669|14803-14806|15497-15500|15621-15624|16209-16212|16392-16395|16474-16477|17003-17006|17926-17929|18799-18802|19056-19059|19805-19808|19827-19830|19847-19850|19927-19930|19980-19983|20464-20467|20502-20505|20577-20580|20618-20621|20655-20658|20689-20692|20759-20762|20940-20943|21018-21021|21082-21085|21176-21179|21212-21215|21280-21283|21366-21369|21375-21378|21457-21460|21495-21498|21645-21648|21715-21718|21837-21840|21860-21863|21942-21945|21978-21981|22026-22029|22120-22123|22284-22287|22346-22349|22438-22441|22518-22521|22649-22652,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Fear,http://purl.bioontology.org/ontology/MESH/D005239,82-85|446-449|656-659|1276-1279|1387-1390|1565-1568|1679-1682|1769-1772|1804-1807|1913-1916|2405-2408|6301-6304|6517-6520|6968-6971|11817-11820|13335-13338|14932-14935|16405-16408|19479-19482|19993-19996|20385-20388|20590-20593|20668-20671|20718-20721|21046-21049|21106-21109|21258-21261|21358-21361|21388-21391|21955-21958|22298-22301|22407-22410|22455-22458|22546-22549|22606-22609,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR|FEAR
Maintenance,http://purl.bioontology.org/ontology/MESH/D008283,110-120,PREF,MAINTENANCE
Chronic Pain,http://purl.bioontology.org/ontology/MESH/D059350,125-136|466-477|20494-20505|21010-21021,PREF|PREF|PREF|PREF,CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN|CHRONIC PAIN
Population,http://purl.bioontology.org/ontology/MESH/D011153,237-246|1331-1340|1644-1653|1717-1726|3778-3787|20009-20018,PREF|PREF|PREF|PREF|PREF|PREF,POPULATION|POPULATION|POPULATION|POPULATION|POPULATION|POPULATION
Health Status,http://purl.bioontology.org/ontology/MESH/D006304,370-382|5564-5576|5948-5960|6014-6026|7899-7911|11341-11353|11899-11911|12017-12029|12432-12444|21893-21905,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,HEALTH STATUS|HEALTH STATUS|HEALTH STATUS|HEALTH STATUS|HEALTH STATUS|HEALTH STATUS|HEALTH STATUS|HEALTH STATUS|HEALTH STATUS|HEALTH STATUS
Health,http://purl.bioontology.org/ontology/MESH/D006262,370-375|1729-1734|5564-5569|5613-5618|5857-5862|5911-5916|5948-5953|6014-6019|6257-6262|7899-7904|11341-11346|11899-11904|12017-12022|12432-12437|12512-12517|14831-14836|15014-15019|15530-15535|15698-15703|19860-19865|20081-20086|20234-20239|20377-20382|21228-21233|21893-21898,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH|HEALTH
Attention,http://purl.bioontology.org/ontology/MESH/D001288,404-412|17204-17212,PREF|PREF,ATTENTION|ATTENTION
Respect,http://purl.bioontology.org/ontology/MESH/D000078682,541-547,PREF,RESPECT
Low Back Pain,http://purl.bioontology.org/ontology/MESH/D017116,597-609|1443-1455|1958-1970|2204-2216|2785-2797|3038-3050|6879-6891|7028-7040|9116-9128|9274-9286|11467-11479|11657-11669|16200-16212|16465-16477|16994-17006|17917-17929|18790-18802|19047-19059|19918-19930|20750-20762|20931-20943|21448-21460|21706-21718|21828-21840|21969-21981|22337-22349|22640-22652,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN
