prefLabel,id,from_to,matchType,text
Abstract,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42874,1-8,PREF,ABSTRACT
Abstract,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C60765,1-8,PREF,ABSTRACT
Cognitive,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37926,11-19|1611-1619|27430-27438,PREF|PREF|PREF,COGNITIVE|COGNITIVE|COGNITIVE
Behavior,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16326,21-30|1621-1630|12446-12453|27440-27449|27709-27716|29801-29810|30091-30098|32910-32919,SYN|SYN|PREF|SYN|PREF|SYN|PREF|SYN,BEHAVIORAL|BEHAVIORAL|BEHAVIOR|BEHAVIORAL|BEHAVIOR|BEHAVIORAL|BEHAVIOR|BEHAVIORAL
Model,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16866,32-37|1632-1637|29042-29046|29403-29407|29541-29545|31114-31118,SYN|SYN|PREF|PREF|PREF|PREF,MODELS|MODELS|MODEL|MODEL|MODEL|MODEL
Chronic,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14141,42-48|1244-1250|1557-1563|1973-1979|2096-2102|2608-2614|26060-26066|27735-27741|28095-28101|28238-28244|28363-28369|28555-28561|30142-30148|30288-30294|30465-30471|30879-30885|31047-31053|31790-31796|32700-32706|32868-32874|33030-33036|33225-33231,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC|CHRONIC
Low,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54722,50-52|1252-1254|1472-1474|1565-1567|9903-9905|17820-17822|27743-27745|28246-28248|28371-28373|28857-28859|29055-29057|29244-29246|29717-29719|30150-30152|30296-30298|30485-30487|30686-30688|30887-30889|31355-31357|31646-31648|31808-31810|32286-32288|32708-32710|32876-32878|33233-33235|33292-33294,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW
Back Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41830,54-62|1256-1264|1476-1484|1569-1577|3056-3064|5186-5194|5231-5239|27747-27755|28103-28111|28250-28258|28375-28383|28563-28571|28861-28869|29059-29067|29248-29256|29721-29729|30154-30162|30300-30308|30489-30497|30690-30698|30891-30899|31276-31284|31359-31367|31650-31658|31812-31820|32290-32298|32712-32720|32880-32888|33237-33245|33296-33304,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN
Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3303,59-62|159-162|557-560|1261-1264|1418-1421|1481-1484|1574-1577|1772-1775|1892-1895|2040-2043|2159-2162|2233-2236|2616-2619|3061-3064|5191-5194|5236-5239|6292-6295|9369-9372|9385-9388|9486-9489|9794-9797|9851-9854|10581-10584|10646-10649|10672-10675|10707-10710|11568-11571|11637-11640|11665-11668|11944-11947|12441-12444|18894-18897|21989-21992|22046-22049|22262-22265|22473-22476|22619-22622|22805-22808|22890-22893|24062-24065|25155-25158|26068-26071|27672-27675|27752-27755|27996-27999|28037-28040|28074-28077|28108-28111|28255-28258|28380-28383|28454-28457|28568-28571|28821-28824|28866-28869|29064-29067|29181-29184|29253-29256|29259-29262|29428-29431|29562-29565|29726-29729|29932-29935|30120-30123|30159-30162|30234-30237|30305-30308|30494-30497|30695-30698|30896-30899|31071-31074|31164-31167|31281-31284|31364-31367|31408-31411|31655-31658|31817-31820|31990-31993|32145-32148|32246-32249|32295-32298|32469-32472|32557-32560|32717-32720|32885-32888|33054-33057|33242-33245|33301-33304,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Maintenance,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53297,150-157|1679-1689,SYN|PREF,MAINTAIN|MAINTENANCE
