prefLabel,id,from_to,matchType,text
Change,http://psink.de/scio/Change,474-479|10395-10400|13428-13433|16394-16399|16450-16455|20298-20303|21506-21511|21601-21606,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,CHANGE|CHANGE|CHANGE|CHANGE|CHANGE|CHANGE|CHANGE|CHANGE
Injury,http://psink.de/scio/Injury,596-601|2383-2388|2482-2487|2653-2658|5281-5286|5383-5388|8977-8982|11554-11559|18855-18860|21981-21986|22241-22246|22391-22396|24600-24605|28353-28358|31037-31042|31600-31605|31772-31777|32690-32695|32858-32863,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,INJURY|INJURY|INJURY|INJURY|INJURY|INJURY|INJURY|INJURY|INJURY|INJURY|INJURY|INJURY|INJURY|INJURY|INJURY|INJURY|INJURY|INJURY|INJURY
Treatment,http://psink.de/scio/Treatment,865-873|3353-3361|5917-5925|6446-6454|6489-6497|6666-6674|12130-12138|12164-12172|12249-12257|12637-12645|12813-12821|12850-12858|13083-13091|13142-13150|13220-13228|18991-18999|19056-19064|19151-19159|19198-19206|19297-19305|19449-19457|19506-19514|19534-19542|20032-20040|23000-23008|23124-23132|29904-29912|32656-32664,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT
Substance,http://psink.de/scio/Substance,5552-5560,PREF,SUBSTANCE
Compression,http://psink.de/scio/Compression,7284-7294,PREF,COMPRESSION
Current,http://psink.de/scio/Current,10573-10579|11629-11635|11657-11663|11936-11942|18877-18883|22038-22044|22882-22888|29434-29440,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,CURRENT|CURRENT|CURRENT|CURRENT|CURRENT|CURRENT|CURRENT|CURRENT
Age,http://psink.de/scio/Age,13159-13161|13726-13728|19711-19713,PREF|PREF|PREF,AGE|AGE|AGE
Gender,http://psink.de/scio/Gender,13164-13169|13731-13736|19462-19467|19716-19721,PREF|PREF|PREF|PREF,GENDER|GENDER|GENDER|GENDER
Duration,http://psink.de/scio/Duration,13739-13746|19724-19731|25942-25949,PREF|PREF|PREF,DURATION|DURATION|DURATION
Observation,http://psink.de/scio/Observation,23405-23415,PREF,OBSERVATION
Function,http://psink.de/scio/Function,28530-28537,PREF,FUNCTION
