prefLabel,id,from_to,matchType,text
pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0030193,27-30|219-222|356-359|405-408|569-572|596-599|622-625|1443-1446|1494-1497|1639-1642|1649-1652|1787-1790|1977-1980|2112-2115|2210-2213|2287-2290|2541-2544|2581-2584|3240-3243|3272-3275|3338-3341|3632-3635|3838-3841|4029-4032|4636-4639|4779-4782|4812-4815|4870-4873|4932-4935|8103-8106|8820-8823|8943-8946|9150-9153|9387-9390|9587-9590|9691-9694|10018-10021|10215-10218|10737-10740|11535-11538|11618-11621|11764-11767|11798-11801|12163-12166|12810-12813|13054-13057|13603-13606|13693-13696|13917-13920|14025-14028|14055-14058|14085-14088|14115-14118|14221-14224|14324-14327|14413-14416|14474-14477|14494-14497|14514-14517|14597-14600|15105-15108|15240-15243|15349-15352|15532-15535|15614-15617|15818-15821|16030-16033|16291-16294|16564-16567|16648-16651|16669-16672|16909-16912|16930-16933|16955-16958|17082-17085|17155-17158|17431-17434|17554-17557|17648-17651|17941-17944|18091-18094|18164-18167|18264-18267|18293-18296|18630-18633|18669-18672|18893-18896|18913-18916|19353-19356|19395-19398|19517-19520|19628-19631|19670-19673|19701-19704|19989-19992|20018-20021|20124-20127|20229-20232|20450-20453|20470-20473|20547-20550|20870-20873|20922-20925|21165-21168|21233-21236|21802-21805|21839-21842|21868-21871|21962-21965|22054-22057|22380-22383|22594-22597|22849-22852|22906-22909|23359-23362|23392-23395|23469-23472|24714-24717|27082-27085|27295-27298|27330-27333|27364-27367|27415-27418|27815-27818|29653-29656|30048-30051|30590-30593|31746-31749|32459-32462|35914-35917|37682-37685|37751-37754|37784-37787|38171-38174|38255-38258|38323-38326|38549-38552|39014-39017|39052-39055|39121-39124|39496-39499|39534-39537|39600-39603|40089-40092|40160-40163|40264-40267|40367-40370|40490-40493|40575-40578|40644-40647|40757-40760|40806-40809|40856-40859|41037-41040|41058-41061|41080-41083|41166-41169|41172-41175|41512-41515|41609-41612|41761-41764|41798-41801|41832-41835|41849-41852|42114-42117|42135-42138|42352-42355|42477-42480|42574-42577|42688-42691|42807-42810|42835-42838|42874-42877|42900-42903|42982-42985|43102-43105|43338-43341|43433-43436|43494-43497|43675-43678|43736-43739|43872-43875|43915-43918|44054-44057|44170-44173|44227-44230|44335-44338|44407-44410|44507-44510|44531-44534|44674-44677|44845-44848|45020-45023|45100-45103|45172-45175|45596-45599|45678-45681|45704-45707,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
pain,http://sbmi.uth.tmc.edu/ontology/ochv#9185,27-30|219-222|356-359|405-408|569-572|596-599|622-625|1443-1446|1494-1497|1639-1642|1649-1652|1787-1790|1977-1980|2112-2115|2210-2213|2287-2290|2541-2544|2581-2584|2916-2922|3240-3243|3272-3275|3338-3341|3632-3635|3838-3841|4029-4032|4636-4639|4779-4782|4812-4815|4870-4873|4932-4935|8103-8106|8820-8823|8943-8946|9150-9153|9387-9390|9587-9590|9691-9694|10018-10021|10215-10218|10737-10740|11535-11538|11618-11621|11764-11767|11798-11801|12163-12166|12810-12813|13054-13057|13603-13606|13693-13696|13917-13920|14025-14028|14055-14058|14085-14088|14115-14118|14221-14224|14324-14327|14413-14416|14474-14477|14494-14497|14514-14517|14597-14600|15105-15108|15240-15243|15349-15352|15532-15535|15614-15617|15818-15821|16030-16033|16291-16294|16564-16567|16648-16651|16669-16672|16909-16912|16930-16933|16955-16958|17082-17085|17155-17158|17431-17434|17554-17557|17648-17651|17941-17944|18091-18094|18164-18167|18264-18267|18293-18296|18630-18633|18669-18672|18893-18896|18913-18916|19353-19356|19395-19398|19517-19520|19628-19631|19670-19673|19701-19704|19989-19992|20018-20021|20124-20127|20229-20232|20450-20453|20470-20473|20547-20550|20870-20873|20922-20925|21165-21168|21233-21236|21802-21805|21839-21842|21868-21871|21962-21965|22054-22057|22380-22383|22594-22597|22849-22852|22906-22909|23163-23169|23359-23362|23392-23395|23469-23472|24714-24717|27082-27085|27258-27264|27295-27298|27330-27333|27364-27367|27415-27418|27585-27591|27815-27818|29653-29656|30048-30051|30590-30593|31746-31749|32459-32462|35914-35917|37682-37685|37751-37754|37784-37787|38171-38174|38255-38258|38323-38326|38549-38552|39014-39017|39052-39055|39121-39124|39496-39499|39534-39537|39600-39603|40089-40092|40160-40163|40264-40267|40367-40370|40490-40493|40575-40578|40644-40647|40757-40760|40806-40809|40856-40859|41037-41040|41058-41061|41080-41083|41166-41169|41172-41175|41512-41515|41609-41612|41761-41764|41798-41801|41832-41835|41849-41852|42114-42117|42135-42138|42352-42355|42477-42480|42574-42577|42688-42691|42807-42810|42835-42838|42874-42877|42900-42903|42982-42985|43102-43105|43338-43341|43433-43436|43494-43497|43675-43678|43736-43739|43872-43875|43915-43918|44054-44057|44170-44173|44227-44230|44335-44338|44407-44410|44507-44510|44531-44534|44674-44677|44845-44848|45020-45023|45100-45103|45172-45175|45596-45599|45678-45681|45704-45707,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAINFUL|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAINFUL|PAIN|PAIN|PAIN|PAIN|PAIN|PAINFUL|PAIN|PAIN|PAIN|PAIN|PAINFUL|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
related,http://sbmi.uth.tmc.edu/ontology/ochv#C0163712,32-38|224-230|1448-1454|1654-1660|1982-1988|2292-2298|3277-3283|4641-4647|4937-4943|5714-5720|11385-11391|11769-11775|13608-13614|13698-13704|14519-14525|14951-14957|15385-15391|16249-16255|16296-16302|18635-18641|19358-19364|19400-19406|19522-19528|19633-19639|19675-19681|19873-19879|21136-21142|21170-21176|21967-21973|24719-24725|26132-26138|26608-26614|27680-27686|30053-30059|30579-30585|32215-32221|32448-32454|34959-34965|35919-35925|39501-39507|40269-40275|40861-40867|41803-41809,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED|RELATED
measures,http://sbmi.uth.tmc.edu/ontology/ochv#15235,89-96|168-174|340-346|1149-1155|3920-3926|4375-4382|4497-4504|4588-4594|4763-4769|5557-5564|5589-5595|6983-6990|7015-7021|7083-7090|7115-7121|7190-7196|7221-7227|7293-7299|7425-7431|7511-7517|21940-21946|22103-22109|22207-22213|22659-22665|22890-22896|23913-23919|24563-24569|24612-24618|24695-24701|24706-24712|24770-24776|24935-24942|25011-25017|26460-26467|26777-26784|27398-27405|28609-28616|28744-28751|29939-29945|30040-30046|30099-30105|31505-31511|31793-31800|32395-32402|32566-32572|32603-32610|33204-33211|33893-33899|35055-35061|36023-36029|36103-36110|36886-36892|38998-39004|39126-39133|41150-41156|43086-43092|45218-45225,PREF|SYN|SYN|SYN|SYN|PREF|PREF|SYN|SYN|PREF|SYN|PREF|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|PREF|PREF|PREF|PREF|PREF|SYN|SYN|SYN|SYN|PREF|PREF|SYN|PREF|PREF|SYN|SYN|SYN|PREF|SYN|SYN|PREF|SYN|SYN|PREF,MEASURES|MEASURE|MEASURE|MEASURE|MEASURE|MEASURES|MEASURES|MEASURE|MEASURE|MEASURES|MEASURE|MEASURES|MEASURE|MEASURES|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURES|MEASURE|MEASURES|MEASURES|MEASURES|MEASURES|MEASURES|MEASURE|MEASURE|MEASURE|MEASURE|MEASURES|MEASURES|MEASURE|MEASURES|MEASURES|MEASURE|MEASURE|MEASURE|MEASURES|MEASURE|MEASURE|MEASURES|MEASURE|MEASURE|MEASURES
review,http://sbmi.uth.tmc.edu/ontology/ochv#C0282443,102-107|728-733|4517-4522|5047-5052|6459-6464|25135-25140|30625-30630|30843-30848|33596-33601|35189-35194|36500-36505|37881-37886|38414-38419,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,REVIEW|REVIEW|REVIEW|REVIEW|REVIEW|REVIEW|REVIEW|REVIEW|REVIEW|REVIEW|REVIEW|REVIEW|REVIEW
measurement,http://sbmi.uth.tmc.edu/ontology/ochv#C0242485,115-125|1428-1438|4528-4538|5138-5148|5492-5502|6678-6688|37219-37229,PREF|PREF|PREF|PREF|PREF|PREF|PREF,MEASUREMENT|MEASUREMENT|MEASUREMENT|MEASUREMENT|MEASUREMENT|MEASUREMENT|MEASUREMENT
measurement,http://sbmi.uth.tmc.edu/ontology/ochv#24845,115-125|1428-1438|4528-4538|5138-5148|5492-5502|6678-6688|37219-37229|45127-45138,PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN,MEASUREMENT|MEASUREMENT|MEASUREMENT|MEASUREMENT|MEASUREMENT|MEASUREMENT|MEASUREMENT|MEASUREMENTS
measure,http://sbmi.uth.tmc.edu/ontology/ochv#C0079809,168-174|340-346|1149-1155|3920-3926|4588-4594|4763-4769|5589-5595|7015-7021|7115-7121|7190-7196|7221-7227|7293-7299|7425-7431|7511-7517|21940-21946|22103-22109|22207-22213|22659-22665|22890-22896|23913-23919|24563-24569|24612-24618|24695-24701|24706-24712|24770-24776|25011-25017|29939-29945|30040-30046|30099-30105|31505-31511|32566-32572|33893-33899|35055-35061|36023-36029|36886-36892|38998-39004|41150-41156|43086-43092,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE|MEASURE
specific,http://sbmi.uth.tmc.edu/ontology/ochv#C0205369,180-187|4600-4607,PREF|PREF,SPECIFIC|SPECIFIC
avoidance,http://sbmi.uth.tmc.edu/ontology/ochv#C0870186,208-216|556-564|2510-2518|2643-2651|3057-3065|3976-3984|4625-4633|4921-4929|8807-8815|9442-9450|9474-9482|9604-9612|9711-9719|9872-9880|9916-9924|10314-10322|10633-10641|11212-11220|12251-12259|12373-12381|14311-14319|15006-15014|15556-15564|15638-15646|15859-15867|16080-16088|17102-17110|17743-17751|17777-17785|17806-17814|17922-17930|19837-19845|21074-21082|21990-21998|22130-22138|22340-22348|22470-22478|22531-22539|22581-22589|22672-22680|25052-25060|27282-27290|29964-29972|30990-30998|31124-31132|31908-31916|32018-32026|32053-32061|32296-32304|40613-40621|40878-40886|40939-40947|40999-41007|41458-41466|42016-42024|42076-42084|42193-42201|42401-42409|42628-42636|42781-42789|42822-42830|44970-44978,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE|AVOIDANCE
