prefLabel,id,from_to,matchType,text
Force,http://psink.de/scio/Force,1838-1842|1984-1988|2623-2627|2646-2650|9336-9340|9432-9436|9551-9555|9627-9631|9743-9747|9843-9847|11793-11797|11978-11982|12140-12144|12311-12315|12836-12840|12872-12876|12885-12889|13075-13079|13457-13461|13579-13583|14716-14720|14744-14748|14763-14767|14785-14789|16153-16157|17621-17625|19512-19516|22229-22233|23305-23309|24058-24062|24080-24084|28649-28653|29031-29035,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE
Function,http://psink.de/scio/Function,2113-2120|20812-20819|23477-23484|23567-23574,PREF|PREF|PREF|PREF,FUNCTION|FUNCTION|FUNCTION|FUNCTION
Brain,http://psink.de/scio/Brain,2919-2923|26603-26607,PREF|PREF,BRAIN|BRAIN
Increase,http://psink.de/scio/Increase,3225-3232|3344-3351|6572-6579|8321-8328|13912-13919|19091-19098,PREF|PREF|PREF|PREF|PREF|PREF,INCREASE|INCREASE|INCREASE|INCREASE|INCREASE|INCREASE
Decrease,http://psink.de/scio/Decrease,3365-3372|6545-6552|9538-9545,PREF|PREF|PREF,DECREASE|DECREASE|DECREASE
Change,http://psink.de/scio/Change,3389-3394|6602-6607|8754-8759|9795-9800|11682-11687|11857-11862|11997-12002|12762-12767|12907-12912|13323-13328|13387-13392|13479-13484|13615-13620|15477-15482|15557-15562|16536-16541|16858-16863|19886-19891|27818-27823,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,CHANGE|CHANGE|CHANGE|CHANGE|CHANGE|CHANGE|CHANGE|CHANGE|CHANGE|CHANGE|CHANGE|CHANGE|CHANGE|CHANGE|CHANGE|CHANGE|CHANGE|CHANGE|CHANGE
Duration,http://psink.de/scio/Duration,3476-3483,PREF,DURATION
Electrodes,http://psink.de/scio/Electrodes,4107-4116|14027-14036|14210-14219,PREF|PREF|PREF,ELECTRODES|ELECTRODES|ELECTRODES
Direction,http://psink.de/scio/Direction,8019-8027|11984-11992|12891-12899|13519-13527|13566-13574|24489-24497|28655-28663,PREF|PREF|PREF|PREF|PREF|PREF|PREF,DIRECTION|DIRECTION|DIRECTION|DIRECTION|DIRECTION|DIRECTION|DIRECTION
Injury,http://psink.de/scio/Injury,10657-10662|10692-10697|12213-12218|15435-15440|15465-15470|15633-15638|15894-15899|15943-15948|18704-18709|19977-19982|29140-29145|29170-29175,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,INJURY|INJURY|INJURY|INJURY|INJURY|INJURY|INJURY|INJURY|INJURY|INJURY|INJURY|INJURY
Left,http://psink.de/scio/Left,11425-11428,PREF,LEFT
Right,http://psink.de/scio/Right,11434-11438,PREF,RIGHT
Tissue,http://psink.de/scio/Tissue,12990-12995|19827-19832|28579-28584,PREF|PREF|PREF,TISSUE|TISSUE|TISSUE
Result,http://psink.de/scio/Result,13097-13102|16411-16416|19361-19366,PREF|PREF|PREF,RESULT|RESULT|RESULT
Current,http://psink.de/scio/Current,15929-15935,PREF,CURRENT
Hypothesis,http://psink.de/scio/Hypothesis,24674-24683,PREF,HYPOTHESIS
Extremity,http://psink.de/scio/Extremity,24941-24949,PREF,EXTREMITY
Compound,http://psink.de/scio/Compound,27476-27483,PREF,COMPOUND
