prefLabel,id,from_to,matchType,text
Result,http://psink.de/scio/Result,315-320|4045-4050|19865-19870|24763-24768,PREF|PREF|PREF|PREF,RESULT|RESULT|RESULT|RESULT
Change,http://psink.de/scio/Change,587-592|14980-14985,PREF|PREF,CHANGE|CHANGE
Treatment,http://psink.de/scio/Treatment,1109-1117|1192-1200,PREF|PREF,TREATMENT|TREATMENT
Increase,http://psink.de/scio/Increase,1902-1909|3029-3036|6043-6050|6449-6456|6943-6950|9847-9854|9883-9890|17499-17506|19721-19728|19887-19894,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,INCREASE|INCREASE|INCREASE|INCREASE|INCREASE|INCREASE|INCREASE|INCREASE|INCREASE|INCREASE
Decrease,http://psink.de/scio/Decrease,1917-1924,PREF,DECREASE
Hypothesis,http://psink.de/scio/Hypothesis,2002-2011|4222-4231|4680-4689|4843-4852|5567-5576|19685-19694|20348-20357|20902-20911|21438-21447|24692-24701|25104-25113|25496-25505|25729-25738,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,HYPOTHESIS|HYPOTHESIS|HYPOTHESIS|HYPOTHESIS|HYPOTHESIS|HYPOTHESIS|HYPOTHESIS|HYPOTHESIS|HYPOTHESIS|HYPOTHESIS|HYPOTHESIS|HYPOTHESIS|HYPOTHESIS
Function,http://psink.de/scio/Function,2345-2352|11409-11416|11499-11506|11660-11667|12234-12241|12757-12764|12958-12965|13324-13331|13724-13731|13846-13853|13951-13958|14146-14153|14201-14208|14341-14348|15723-15730|15861-15868|16232-16239|16395-16402|18812-18819|21665-21672|25001-25008,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION
Left,http://psink.de/scio/Left,5789-5792|16107-16110,PREF|PREF,LEFT|LEFT
Force,http://psink.de/scio/Force,8140-8144|10936-10940|11428-11432|11786-11790|15808-15812|18965-18969|19120-19124|22757-22761,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE
Weight,http://psink.de/scio/Weight,12170-12175|16026-16031,PREF|PREF,WEIGHT|WEIGHT
Constraint,http://psink.de/scio/Constraint,12271-12280|15850-15859,PREF|PREF,CONSTRAINT|CONSTRAINT
Right,http://psink.de/scio/Right,15638-15642|16149-16153,PREF|PREF,RIGHT|RIGHT
Compression,http://psink.de/scio/Compression,23418-23428,PREF,COMPRESSION
Tissue,http://psink.de/scio/Tissue,23708-23713|23751-23756,PREF|PREF,TISSUE|TISSUE
Observation,http://psink.de/scio/Observation,26472-26482,PREF,OBSERVATION
Injury,http://psink.de/scio/Injury,26631-26636,PREF,INJURY
Brain,http://psink.de/scio/Brain,29876-29880,PREF,BRAIN
Extremity,http://psink.de/scio/Extremity,30807-30815,PREF,EXTREMITY
