prefLabel,id,from_to,matchType,text
Objective,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49155,1-9,PREF,OBJECTIVE
Objective,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C88181,1-9,PREF,OBJECTIVE
Nomenclature,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48298,26-37|396-407|1614-1624|2280-2291,PREF|PREF|SYN|PREF,NOMENCLATURE|NOMENCLATURE|TERMINOLOGY|NOMENCLATURE
Physiologic,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17650,43-53|2539-2549|2938-2948|7622-7632|24364-24374|25466-25476|27395-27405,PREF|PREF|PREF|PREF|PREF|PREF|PREF,PHYSIOLOGIC|PHYSIOLOGIC|PHYSIOLOGIC|PHYSIOLOGIC|PHYSIOLOGIC|PHYSIOLOGIC|PHYSIOLOGIC
Function,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25518,82-91|291-300|611-620|1181-1190|2024-2033|2215-2224|2443-2452|2794-2801|4427-4436|8554-8563|8626-8635|8774-8783|12099-12106|14178-14187|16029-16036|17376-17383|20839-20846|24618-24625|35070-35077|35262-35271|35721-35730|36370-36379|37805-37814|40597-40604|41072-41081,SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|PREF|SYN|PREF|PREF|PREF|PREF|PREF|SYN|SYN|SYN|SYN|PREF|SYN,FUNCTIONAL|FUNCTIONAL|FUNCTIONAL|FUNCTIONAL|FUNCTIONAL|FUNCTIONAL|FUNCTIONAL|FUNCTION|FUNCTIONAL|FUNCTIONAL|FUNCTIONAL|FUNCTIONAL|FUNCTION|FUNCTIONAL|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTIONAL|FUNCTIONAL|FUNCTIONAL|FUNCTIONAL|FUNCTION|FUNCTIONAL
Joint,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13044,93-97|302-306|622-626|1192-1196|2035-2039|2226-2230|2454-2458|4438-4442|4697-4701|5740-5744|5945-5949|6784-6788|6817-6821|6955-6959|7587-7591|7982-7987|8060-8064|8511-8515|8565-8569|8637-8641|8785-8789|9054-9058|9174-9178|9446-9450|10008-10012|10070-10074|10451-10455|11009-11013|11278-11282|12492-12496|12566-12570|13947-13951|14108-14112|14189-14193|14558-14562|14833-14837|15736-15744|16527-16531|18656-18664|20340-20344|23063-23067|23461-23465|23660-23664|23777-23781|24061-24065|24137-24141|24385-24389|24471-24475|24872-24876|24989-24993|25258-25262|25319-25323|25664-25668|26000-26004|26189-26193|26310-26314|26341-26345|26756-26760|26947-26955|27011-27015|27676-27681|28138-28142|28304-28308|28409-28413|30474-30478|35219-35223|35273-35277|35340-35344|35732-35736|36141-36145|36381-36385|37117-37122|37228-37233|37355-37363|37387-37391|37464-37468|37934-37939|38197-38202|38783-38787|38913-38917|39313-39317|39336-39340|39389-39393|39551-39555|39611-39615|39695-39699|39757-39765|39893-39897|39976-39980|40204-40208|40354-40358|40443-40447,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|SYN|SYN|PREF|PREF|SYN|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF,JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINTS|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|ARTICULAR|JOINT|ARTICULAR|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|ARTICULAR|JOINT|JOINTS|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINTS|JOINTS|ARTICULAR|JOINT|JOINT|JOINTS|JOINTS|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|JOINT|ARTICULAR|JOINT|JOINT|JOINT|JOINT|JOINT
Stability,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54072,99-107|308-316|628-636|1198-1206|2041-2049|2232-2240|2460-2468|4444-4452|6790-6798|7715-7723|7726-7734|8032-8040|8571-8579|8643-8651|8791-8799|9308-9316|9562-9570|9661-9669|9822-9830|10076-10084|10457-10465|11284-11292|13953-13961|14195-14203|14564-14572|27017-27025|28415-28423|35279-35287|35346-35354|35738-35746|35862-35870|36029-36037|36387-36395|36990-36998,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,STABILITY|STABILITY|STABILITY|STABILITY|STABILITY|STABILITY|STABILITY|STABILITY|STABILITY|STABILITY|STABILITY|STABILITY|STABILITY|STABILITY|STABILITY|STABILITY|STABILITY|STABILITY|STABILITY|STABILITY|STABILITY|STABILITY|STABILITY|STABILITY|STABILITY|STABILITY|STABILITY|STABILITY|STABILITY|STABILITY|STABILITY|STABILITY|STABILITY|STABILITY
Data,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25474,110-113|443-446,PREF|PREF,DATA|DATA
Information,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48191,124-134|1096-1106|3894-3904|3991-4001|4096-4106|4187-4197|10206-10216|10582-10592|11178-11188|11490-11500|11572-11582|13121-13131|13461-13471|14792-14802|15165-15175|17613-17623|18810-18820|19539-19549|20046-20056|20947-20957|21530-21540|22046-22056|22079-22089|22847-22857|23212-23222|24539-24549|28803-28813|29931-29941|31317-31327|32410-32420|33656-33666|38075-38085|39848-39858|40894-40904,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,INFORMATION|INFORMATION|INFORMATION|INFORMATION|INFORMATION|INFORMATION|INFORMATION|INFORMATION|INFORMATION|INFORMATION|INFORMATION|INFORMATION|INFORMATION|INFORMATION|INFORMATION|INFORMATION|INFORMATION|INFORMATION|INFORMATION|INFORMATION|INFORMATION|INFORMATION|INFORMATION|INFORMATION|INFORMATION|INFORMATION|INFORMATION|INFORMATION|INFORMATION|INFORMATION|INFORMATION|INFORMATION|INFORMATION|INFORMATION
Extensive,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47863,154-162,PREF,EXTENSIVE
Search,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54117,172-177,PREF,SEARCH
Science,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61397,186-195|953-962|1265-1271|1860-1869|36549-36555|36581-36587|37649-37655|41195-41201,SYN|SYN|PREF|SYN|PREF|PREF|PREF|PREF,SCIENTIFIC|SCIENTIFIC|SCIENCE|SCIENTIFIC|SCIENCE|SCIENCE|SCIENCE|SCIENCE
Neuromuscular,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C148418,250-262|1687-1699|2398-2410|13689-13701|13986-13998|14215-14227|14882-14894|14953-14965|36780-36792,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,NEUROMUSCULAR|NEUROMUSCULAR|NEUROMUSCULAR|NEUROMUSCULAR|NEUROMUSCULAR|NEUROMUSCULAR|NEUROMUSCULAR|NEUROMUSCULAR|NEUROMUSCULAR
Control,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61299,264-270|573-579|598-604|678-684|796-802|1155-1161|1484-1493|1508-1514|1701-1707|2412-2418|3441-3447|3934-3940|4033-4039|4128-4134|4218-4224|4800-4806|5106-5112|5565-5571|5624-5630|5992-5998|6061-6067|6249-6255|8220-8226|9007-9013|9606-9612|11269-11275|13703-13709|13774-13780|13845-13851|14000-14006|14229-14235|14334-14344|14896-14902|14941-14947|14967-14973|19210-19216|19781-19787|20581-20591|26990-26996|28451-28461|28480-28486|28609-28615|28935-28941|29281-29291|29338-29348|29504-29510|29601-29611|29765-29771|30980-30986|31647-31657|31668-31674|31878-31884|32076-32086|33380-33386|33683-33689|34784-34790|34890-34896|35511-35517|35651-35657|35805-35811|36334-36340|36359-36365|36507-36513|36629-36635|36794-36800|37318-37324|41047-41053,PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|SYN|PREF|SYN|PREF|PREF|PREF|SYN|SYN|PREF|SYN|PREF|PREF|SYN|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROLLED|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROLLING|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROLLING|CONTROL|CONTROLLING|CONTROL|CONTROL|CONTROL|CONTROLLING|CONTROLLING|CONTROL|CONTROLLING|CONTROL|CONTROL|CONTROLLING|CONTROL|CONTROL|CONTROLLING|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL|CONTROL
Year,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29848,326-330|36728-36731,SYN|PREF,YEARS|YEAR
Basis,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25430,409-413|944-948|1259-1263|4158-4162|7990-7994|15049-15053|16632-16636|21278-21282|24442-24446|24754-24758|30343-30347|31281-31285|33911-33915,SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN,BASED|BASED|BASIC|BASIS|BASED|BASED|BASED|BASED|BASED|BASED|BASIS|BASED|BASED
Original,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25604,422-429|10105-10112,PREF|PREF,ORIGINAL|ORIGINAL
Synthesis,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61408,448-456,PREF,SYNTHESIS
Input,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47905,483-487|3875-3879|4486-4490|4769-4773|4932-4936|15042-15046|15615-15619|18846-18850|19925-19929|20154-20158|20726-20730|28014-28018|28127-28131|28215-28219|29023-29027|30086-30090|30680-30684|30813-30817|33782-33786|33924-33928|34173-34177|34226-34230|34982-34986|35579-35583,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,INPUT|INPUT|INPUT|INPUT|INPUT|INPUT|INPUT|INPUT|INPUT|INPUT|INPUT|INPUT|INPUT|INPUT|INPUT|INPUT|INPUT|INPUT|INPUT|INPUT|INPUT|INPUT|INPUT|INPUT
Central Nervous System,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12438,522-543|7081-7102|7105-7107|17323-17325|19254-19256|19769-19771|20013-20015|21088-21090|21227-21229|21460-21462|21564-21566|22109-22111|22660-22662|23338-23340|27984-27986|38100-38121,PREF|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF,CENTRAL NERVOUS SYSTEM|CENTRAL NERVOUS SYSTEM|CNS|CNS|CNS|CNS|CNS|CNS|CNS|CNS|CNS|CNS|CNS|CNS|CNS|CENTRAL NERVOUS SYSTEM
Center,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25445,522-528|4357-4363|7081-7087|8441-8447|18071-18077|18367-18373|28519-28525|28559-28565|30014-30020|33705-33711|35147-35153|36675-36680|37831-37837|38100-38106,SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN,CENTRAL|CENTRAL|CENTRAL|CENTRAL|CENTRAL|CENTRAL|CENTRAL|CENTRAL|CENTRAL|CENTRAL|CENTRAL|CENTER|CENTRAL|CENTRAL
Nervous System,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12755,530-543|7089-7102|13830-13843|38108-38121,PREF|PREF|PREF|PREF,NERVOUS SYSTEM|NERVOUS SYSTEM|NERVOUS SYSTEM|NERVOUS SYSTEM
Nervous,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25584,530-536|7089-7095|13830-13836|38108-38114,PREF|PREF|PREF|PREF,NERVOUS|NERVOUS|NERVOUS|NERVOUS
System,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25700,538-543|1516-1521|1786-1791|2123-2128|2146-2151|3109-3114|3520-3525|4305-4310|6406-6411|6521-6526|7097-7102|8170-8175|8228-8233|8292-8297|9920-9925|10148-10153|13838-13843|20984-20989|21041-21046|21733-21738|28381-28386|35097-35102|35409-35414|35537-35542|35592-35597|35813-35818|37138-37143|37711-37716|37866-37871|38116-38121|38394-38399|41007-41012,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,SYSTEM|SYSTEM|SYSTEM|SYSTEM|SYSTEM|SYSTEM|SYSTEM|SYSTEM|SYSTEM|SYSTEM|SYSTEM|SYSTEM|SYSTEM|SYSTEM|SYSTEM|SYSTEM|SYSTEM|SYSTEM|SYSTEM|SYSTEM|SYSTEM|SYSTEM|SYSTEM|SYSTEM|SYSTEM|SYSTEM|SYSTEM|SYSTEM|SYSTEM|SYSTEM|SYSTEM|SYSTEM
Motor,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28367,567-571|790-794|1149-1153|1502-1506|2117-2121|2359-2363|3949-3953|4794-4798|4867-4871|4968-4972|5100-5104|5169-5173|8214-8218|8430-8434|13768-13772|14251-14255|14358-14362|14935-14939|15848-15852|18281-18285|19204-19208|23300-23304|28344-28348|28474-28478|28603-28607|28777-28781|28845-28849|28929-28933|28958-28962|29168-29172|29239-29243|29260-29264|29475-29479|29534-29538|29644-29648|29759-29763|29893-29897|29981-29985|30140-30144|31264-31268|31828-31832|32029-32033|32294-32298|32367-32371|32738-32742|32771-32775|32817-32821|32988-32992|33077-33081|33140-33144|33306-33310|33374-33378|33509-33513|33677-33681|34551-34555|34629-34633|34740-34744|34778-34782|34884-34888|35064-35068|35136-35140|35505-35509|35645-35649|35799-35803|36159-36163|36328-36332|37606-37610|38388-38392|41001-41005,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR
Complex,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19398,719-725|8261-8267|30653-30659|32093-32099|32875-32881|35557-35563,PREF|PREF|PREF|PREF|PREF|PREF,COMPLEX|COMPLEX|COMPLEX|COMPLEX|COMPLEX|COMPLEX
Complex,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47881,719-725|8261-8267|30653-30659|32093-32099|32875-32881|35557-35563,PREF|PREF|PREF|PREF|PREF|PREF,COMPLEX|COMPLEX|COMPLEX|COMPLEX|COMPLEX|COMPLEX
Process,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29862,727-733|2601-2607|8751-8757|22787-22795,PREF|PREF|PREF|SYN,PROCESS|PROCESS|PROCESS|PROCESSED
Associated,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25281,774-783|1652-1661|4812-4821|12611-12620|14702-14711|14843-14852|15332-15341|21945-21954|22910-22919|23251-23260|35036-35045,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED|ASSOCIATED
Continue,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53279,881-889|1818-1825|4063-4071|33635-33644|34347-34353,SYN|PREF|SYN|SYN|SYN,CONTINUED|CONTINUE|CONTINUAL|CONTINUOUS|ONGOING
Development,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84377,891-901,PREF,DEVELOPMENT
Development,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18732,891-901,PREF,DEVELOPMENT
Institution,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41206,907-917,PREF,INSTITUTION
Management,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61372,922-931|36809-36818,PREF|PREF,MANAGEMENT|MANAGEMENT
Purpose,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25634,979-985|2056-2062|2255-2261|14141-14147,PREF|PREF|PREF|PREF,PURPOSE|PURPOSE|PURPOSE|PURPOSE
Series,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25674,1002-1007|17176-17181,PREF|PREF,SERIES|SERIES
Provide,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80514,1015-1021|14578-14585|17311-17317|30331-30337|36004-36010|38054-38060,PREF|SYN|PREF|PREF|PREF|PREF,PROVIDE|PROVIDED|PROVIDE|PROVIDE|PROVIDE|PROVIDE
Current,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25471,1042-1048,PREF,CURRENT
Surrounding,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C52247,1064-1074|13818-13828,PREF|PREF,SURROUNDING|SURROUNDING
