prefLabel,id,from_to,matchType,text
Paper,http://purl.bioontology.org/ontology/MESH/D010209,6-10,PREF,PAPER
Science,http://purl.bioontology.org/ontology/MESH/D012586,53-60|18006-18012|18034-18040,SYN|PREF|PREF,SCIENCES|SCIENCE|SCIENCE
Neurobiology,http://purl.bioontology.org/ontology/MESH/D009446,77-88,PREF,NEUROBIOLOGY
Pain,http://purl.bioontology.org/ontology/MESH/D010146,93-96|296-299|502-505|792-795|973-976|1133-1136|1715-1718|1766-1769|1831-1834|2003-2006|2178-2181|2514-2517|2572-2575|2821-2824|3433-3436|3498-3501|4038-4041|4184-4187|4255-4258|4414-4417|4554-4557|4697-4700|4809-4812|5481-5484|5557-5560|5980-5983|6048-6051|6074-6077|6422-6425|6614-6617|6961-6964|7134-7137|8692-8695|9415-9418|9581-9584|9761-9764|10631-10634|10925-10928|11144-11147|11337-11340|12093-12096|12174-12177|12580-12583|15720-15723|15885-15888|16084-16087|16182-16185|16279-16282|16869-16872|16919-16922|17000-17003|17109-17112|17191-17194|17304-17307|18097-18100|18121-18124|18145-18148|18235-18238|18257-18260|18372-18375|18394-18397,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
secondary,http://purl.bioontology.org/ontology/MESH/Q000556,336-344,PREF,SECONDARY
Insular Cortex,http://purl.bioontology.org/ontology/MESH/D000087623,397-410,PREF,INSULAR CORTEX
Role,http://purl.bioontology.org/ontology/MESH/D012380,466-469|774-777|1670-1673|1786-1789|2506-2509|3412-3415|16124-16127|16168-16171|16258-16261|16905-16908|17242-17245,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ROLE|ROLE|ROLE|ROLE|ROLE|ROLE|ROLE|ROLE|ROLE|ROLE|ROLE
Somatosensory Cortex,http://purl.bioontology.org/ontology/MESH/D013003,565-584|1802-1821|4977-4996,PREF|PREF|PREF,SOMATOSENSORY CORTEX|SOMATOSENSORY CORTEX|SOMATOSENSORY CORTEX
Human,http://purl.bioontology.org/ontology/STY/T016,592-596|3331-3335|4383-4387|10433-10437|12357-12361|13177-13181|13517-13521|15689-15693|15979-15983|16655-16659|16673-16677,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,HUMAN|HUMAN|HUMAN|HUMAN|HUMAN|HUMAN|HUMAN|HUMAN|HUMAN|HUMAN|HUMAN
Brain,http://purl.bioontology.org/ontology/MESH/D001921,598-602|3337-3341|3473-3477|4389-4393|6034-6038|13183-13187|13523-13527|15695-15699|15791-15795|15985-15989|18346-18350,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN
Humans,http://purl.bioontology.org/ontology/MESH/D006801,743-748|2840-2845|3186-3191,PREF|PREF|PREF,HUMANS|HUMANS|HUMANS
Laboratories,http://purl.bioontology.org/ontology/MESH/D007753,842-853|13656-13667|14104-14115,PREF|PREF|PREF,LABORATORIES|LABORATORIES|LABORATORIES
Association,http://purl.bioontology.org/ontology/MESH/D001244,938-948,PREF,ASSOCIATION
Pain Perception,http://purl.bioontology.org/ontology/MESH/D058748,1133-1147|1831-1845|2003-2017|2514-2528|2572-2586|2821-2835|3433-3447|5557-5571|17000-17014,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN PERCEPTION|PAIN PERCEPTION|PAIN PERCEPTION|PAIN PERCEPTION|PAIN PERCEPTION|PAIN PERCEPTION|PAIN PERCEPTION|PAIN PERCEPTION|PAIN PERCEPTION
Perception,http://purl.bioontology.org/ontology/MESH/D010465,1138-1147|1836-1845|2008-2017|2519-2528|2577-2586|2826-2835|3438-3447|5562-5571|12601-12610|16661-16670|17005-17014|17417-17426|17498-17507,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PERCEPTION|PERCEPTION|PERCEPTION|PERCEPTION|PERCEPTION|PERCEPTION|PERCEPTION|PERCEPTION|PERCEPTION|PERCEPTION|PERCEPTION|PERCEPTION|PERCEPTION
Attention,http://purl.bioontology.org/ontology/MESH/D001288,1160-1168|4147-4155|5584-5592|6207-6215|6386-6394|10048-10056|10193-10201|11364-11372,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ATTENTION|ATTENTION|ATTENTION|ATTENTION|ATTENTION|ATTENTION|ATTENTION|ATTENTION
Organization,http://purl.bioontology.org/ontology/STY/T092,1227-1238|10538-10549|16850-16861,PREF|PREF|PREF,ORGANIZATION|ORGANIZATION|ORGANIZATION
Lead,http://purl.bioontology.org/ontology/MESH/D007854,1250-1253,PREF,LEAD
Head,http://purl.bioontology.org/ontology/MESH/D006257,1900-1903,PREF,HEAD
Patients,http://purl.bioontology.org/ontology/MESH/D010361,1934-1941|2103-2110|2623-2630|7321-7328,PREF|PREF|PREF|PREF,PATIENTS|PATIENTS|PATIENTS|PATIENTS
Epilepsy,http://purl.bioontology.org/ontology/MESH/D004827,2145-2152,PREF,EPILEPSY
surgery,http://purl.bioontology.org/ontology/MESH/Q000601,2154-2160,PREF,SURGERY
Cell,http://purl.bioontology.org/ontology/STY/T025,2289-2292,PREF,CELL
Neurons,http://purl.bioontology.org/ontology/MESH/D009474,2380-2386|2758-2764|10010-10016|10216-10222|12881-12887|13087-13093|13236-13242|16550-16556,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,NEURONS|NEURONS|NEURONS|NEURONS|NEURONS|NEURONS|NEURONS|NEURONS
Optical Imaging,http://purl.bioontology.org/ontology/MESH/D061848,2879-2893,PREF,OPTICAL IMAGING
Activity,http://purl.bioontology.org/ontology/STY/T052,2977-2984|4199-4206|4293-4300|5144-5151|5422-5429|6061-6068|6713-6720|9594-9601|9774-9781|10024-10031|10153-10160|10407-10414|10470-10477|11157-11164|11350-11357|12190-12197|12676-12683|12855-12862|13275-13282|16630-16637,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY
Tomography,http://purl.bioontology.org/ontology/MESH/D014054,3618-3627|3858-3867|4465-4474|5022-5031,PREF|PREF|PREF|PREF,TOMOGRAPHY|TOMOGRAPHY|TOMOGRAPHY|TOMOGRAPHY
Arm,http://purl.bioontology.org/ontology/MESH/D001132,3697-3699|3803-3805|5866-5868,PREF|PREF|PREF,ARM|ARM|ARM
Methods,http://purl.bioontology.org/ontology/MESH/D008722,4348-4354|5687-5693|13687-13693|14006-14012|14208-14213,PREF|PREF|PREF|PREF|SYN,METHODS|METHODS|METHODS|METHODS|METHOD
methods,http://purl.bioontology.org/ontology/MESH/Q000379,4348-4354|5687-5693|13687-13693|14006-14012,PREF|PREF|PREF|PREF,METHODS|METHODS|METHODS|METHODS
Chemical,http://purl.bioontology.org/ontology/STY/T103,4604-4611|4847-4854,PREF|PREF,CHEMICAL|CHEMICAL
Irritants,http://purl.bioontology.org/ontology/MESH/D007509,4613-4621,PREF,IRRITANTS
Shock,http://purl.bioontology.org/ontology/MESH/D012769,4633-4637|7423-7427|7510-7514|7930-7934,PREF|PREF|PREF|PREF,SHOCK|SHOCK|SHOCK|SHOCK
Ischemia,http://purl.bioontology.org/ontology/MESH/D007511,4640-4647,PREF,ISCHEMIA
Headache,http://purl.bioontology.org/ontology/MESH/D006261,4671-4678|7741-7748|7778-7785,PREF|PREF|PREF,HEADACHE|HEADACHE|HEADACHE
Abbreviations,http://purl.bioontology.org/ontology/MESH/D020463,4950-4962,PREF,ABBREVIATIONS
blood,http://purl.bioontology.org/ontology/MESH/Q000097,5058-5062|5724-5728|12330-12334|13365-13369,PREF|PREF|PREF|PREF,BLOOD|BLOOD|BLOOD|BLOOD
Blood,http://purl.bioontology.org/ontology/MESH/D001769,5058-5062|5724-5728|12330-12334|13365-13369,PREF|PREF|PREF|PREF,BLOOD|BLOOD|BLOOD|BLOOD
Anatomy,http://purl.bioontology.org/ontology/MESH/D000715,5236-5242,PREF,ANATOMY
Hypnosis,http://purl.bioontology.org/ontology/MESH/D006990,6485-6492|8528-8535|9366-9373,PREF|PREF|PREF,HYPNOSIS|HYPNOSIS|HYPNOSIS
Sensation,http://purl.bioontology.org/ontology/MESH/D012677,6619-6627|16414-16422,PREF|PREF,SENSATION|SENSATION
Hand,http://purl.bioontology.org/ontology/MESH/D006225,6663-6666|7925-7928|14773-14776|14853-14856,PREF|PREF|PREF|PREF,HAND|HAND|HAND|HAND
Water,http://purl.bioontology.org/ontology/MESH/D014867,6685-6689|6890-6894|8030-8034|8099-8103|14813-14817|14889-14893,PREF|PREF|PREF|PREF|PREF|PREF,WATER|WATER|WATER|WATER|WATER|WATER
Facial Pain,http://purl.bioontology.org/ontology/MESH/D005157,6954-6964,PREF,FACIAL PAIN
Angina Pectoris,http://purl.bioontology.org/ontology/MESH/D000787,7028-7042,PREF,ANGINA PECTORIS
Dobutamine,http://purl.bioontology.org/ontology/MESH/D004280,7047-7056,PREF,DOBUTAMINE
Ethanol,http://purl.bioontology.org/ontology/MESH/D000431,7203-7209,PREF,ETHANOL
Median Nerve,http://purl.bioontology.org/ontology/MESH/D008475,7274-7285,PREF,MEDIAN NERVE
Cluster Headache,http://purl.bioontology.org/ontology/MESH/D003027,7733-7748,PREF,CLUSTER HEADACHE
Nitroglycerin,http://purl.bioontology.org/ontology/MESH/D005996,7764-7776,PREF,NITROGLYCERIN
Capsaicin,http://purl.bioontology.org/ontology/MESH/D002211,7830-7838|8356-8364|12960-12968|13022-13030|16758-16766,PREF|PREF|PREF|PREF|PREF,CAPSAICIN|CAPSAICIN|CAPSAICIN|CAPSAICIN|CAPSAICIN
Forehead,http://purl.bioontology.org/ontology/MESH/D005546,8379-8386,PREF,FOREHEAD
Nature,http://purl.bioontology.org/ontology/MESH/D019368,10114-10119|14066-14071|18199-18204,PREF|PREF|PREF,NATURE|NATURE|NATURE
Leg,http://purl.bioontology.org/ontology/MESH/D007866,10735-10737,PREF,LEG
Skin,http://purl.bioontology.org/ontology/MESH/D012867,11331-11334,PREF,SKIN
Thalamus,http://purl.bioontology.org/ontology/MESH/D013788,12912-12919,PREF,THALAMUS
Accounting,http://purl.bioontology.org/ontology/MESH/D000066,14218-14227,PREF,ACCOUNTING
Negative Results,http://purl.bioontology.org/ontology/MESH/D000076723,14564-14579,PREF,NEGATIVE RESULTS
Group,http://purl.bioontology.org/ontology/STY/T096,15006-15010,PREF,GROUP
Rest,http://purl.bioontology.org/ontology/MESH/D012146,15305-15308|15328-15331,PREF|PREF,REST|REST
Observation,http://purl.bioontology.org/ontology/MESH/D019370,15870-15880,PREF,OBSERVATION
Overall,http://purl.bioontology.org/ontology/MESH/D016424,16296-16302,PREF,OVERALL
Tissue,http://purl.bioontology.org/ontology/STY/T024,16523-16528,PREF,TISSUE
Manuscript,http://purl.bioontology.org/ontology/MESH/D020486,17673-17682,PREF,MANUSCRIPT
Research,http://purl.bioontology.org/ontology/MESH/D012106,17900-17907|17968-17975,PREF|PREF,RESEARCH|RESEARCH
London,http://purl.bioontology.org/ontology/MESH/D008131,18207-18212,PREF,LONDON
Gastroenterology,http://purl.bioontology.org/ontology/MESH/D005762,18281-18296,PREF,GASTROENTEROLOGY
