prefLabel,id,from_to,matchType,text
paper,http://sbmi.uth.tmc.edu/ontology/ochv#C0030351,6-10,PREF,PAPER
paper,http://sbmi.uth.tmc.edu/ontology/ochv#9244,6-10,PREF,PAPER
national academy of sciences,http://sbmi.uth.tmc.edu/ontology/ochv#C0027446,33-60,PREF,NATIONAL ACADEMY OF SCIENCES
academy,http://sbmi.uth.tmc.edu/ontology/ochv#C0000876,42-48,PREF,ACADEMY
science,http://sbmi.uth.tmc.edu/ontology/ochv#11109,53-60|18006-18012|18034-18040,SYN|PREF|PREF,SCIENCES|SCIENCE|SCIENCE
neurobiology,http://sbmi.uth.tmc.edu/ontology/ochv#8627,77-88,PREF,NEUROBIOLOGY
neurobiology,http://sbmi.uth.tmc.edu/ontology/ochv#C0027817,77-88,PREF,NEUROBIOLOGY
pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0030193,93-96|296-299|502-505|792-795|973-976|1133-1136|1715-1718|1766-1769|1831-1834|2003-2006|2178-2181|2514-2517|2572-2575|2821-2824|3433-3436|3498-3501|4038-4041|4184-4187|4255-4258|4414-4417|4554-4557|4697-4700|4809-4812|5481-5484|5557-5560|5980-5983|6048-6051|6074-6077|6422-6425|6614-6617|6961-6964|7134-7137|8692-8695|9415-9418|9581-9584|9761-9764|10631-10634|10925-10928|11144-11147|11337-11340|12093-12096|12174-12177|12580-12583|15720-15723|15885-15888|16084-16087|16182-16185|16279-16282|16869-16872|16919-16922|17000-17003|17109-17112|17191-17194|17304-17307|18097-18100|18121-18124|18145-18148|18235-18238|18257-18260|18372-18375|18394-18397,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
pain,http://sbmi.uth.tmc.edu/ontology/ochv#9185,93-96|296-299|502-505|792-795|973-976|1133-1136|1715-1718|1766-1769|1831-1834|2003-2006|2178-2181|2514-2517|2572-2575|2821-2824|3433-3436|3498-3501|4038-4041|4184-4187|4255-4258|4309-4315|4414-4417|4554-4557|4697-4700|4809-4812|5481-5484|5557-5560|5980-5983|6048-6051|6074-6077|6422-6425|6614-6617|6961-6964|7134-7137|8692-8695|8830-8836|8947-8953|9415-9418|9536-9542|9581-9584|9761-9764|10631-10634|10834-10840|10925-10928|11144-11147|11337-11340|11393-11399|11847-11853|12093-12096|12174-12177|12580-12583|13142-13148|13496-13502|15311-15317|15478-15484|15720-15723|15885-15888|16084-16087|16182-16185|16279-16282|16869-16872|16919-16922|17000-17003|17109-17112|17191-17194|17304-17307|17532-17538|18097-18100|18121-18124|18145-18148|18235-18238|18257-18260|18372-18375|18394-18397,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|SYN|PREF|SYN|PREF|PREF|PREF|SYN|PREF|PREF|PREF|SYN|SYN|PREF|PREF|PREF|SYN|SYN|SYN|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAINFUL|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAINFUL|PAINFUL|PAIN|PAINFUL|PAIN|PAIN|PAIN|PAINFUL|PAIN|PAIN|PAIN|PAINFUL|PAINFUL|PAIN|PAIN|PAIN|PAINFUL|PAINFUL|PAINFUL|PAINFUL|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAINFUL|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
1998,http://sbmi.uth.tmc.edu/ontology/ochv#1998,119-122|18056-18059|18340-18343|18366-18369|18388-18391,PREF|PREF|PREF|PREF|PREF,1998|1998|1998|1998|1998
central,http://sbmi.uth.tmc.edu/ontology/ochv#20304,157-162|10997-11003|11450-11455|11695-11702|11957-11962|15112-15119|15552-15559,SYN|PREF|SYN|SYN|SYN|SYN|SYN,CENTER|CENTRAL|CENTER|CENTERED|CENTER|CENTERED|CENTERED
physiological,http://sbmi.uth.tmc.edu/ontology/ochv#C0205463,200-212,PREF,PHYSIOLOGICAL
lesion,http://sbmi.uth.tmc.edu/ontology/ochv#21333,219-224|707-713|1970-1976|2614-2620|2687-2693,PREF|SYN|SYN|SYN|SYN,LESION|LESIONS|LESIONS|LESIONS|LESIONS
lesion,http://sbmi.uth.tmc.edu/ontology/ochv#C0221198,219-224,PREF,LESION
multiple,http://sbmi.uth.tmc.edu/ontology/ochv#C0439064,241-248|14233-14240,PREF|PREF,MULTIPLE|MULTIPLE
complex,http://sbmi.uth.tmc.edu/ontology/ochv#C0439855,274-280,PREF,COMPLEX
experience,http://sbmi.uth.tmc.edu/ontology/ochv#41569,282-291|797-806|1183-1192|5607-5616|8578-8587,PREF|PREF|PREF|PREF|PREF,EXPERIENCE|EXPERIENCE|EXPERIENCE|EXPERIENCE|EXPERIENCE
experience,http://sbmi.uth.tmc.edu/ontology/ochv#C0237607,282-291|797-806|1183-1192|5607-5616|8578-8587,PREF|PREF|PREF|PREF|PREF,EXPERIENCE|EXPERIENCE|EXPERIENCE|EXPERIENCE|EXPERIENCE
experience,http://sbmi.uth.tmc.edu/ontology/ochv#C0596545,282-291|797-806|1183-1192|5607-5616|8578-8587,PREF|PREF|PREF|PREF|PREF,EXPERIENCE|EXPERIENCE|EXPERIENCE|EXPERIENCE|EXPERIENCE
primary,http://sbmi.uth.tmc.edu/ontology/ochv#C0205225,324-330|557-563|1794-1800|4969-4975,PREF|PREF|PREF|PREF,PRIMARY|PRIMARY|PRIMARY|PRIMARY
primary,http://sbmi.uth.tmc.edu/ontology/ochv#20418,324-330|557-563|1794-1800|4070-4073|4969-4975,PREF|PREF|PREF|SYN|PREF,PRIMARY|PRIMARY|PRIMARY|MAIN|PRIMARY
secondary,http://sbmi.uth.tmc.edu/ontology/ochv#C1290850,336-344,PREF,SECONDARY
anterior,http://sbmi.uth.tmc.edu/ontology/ochv#C0205094,370-377|15816-15823,PREF|PREF,ANTERIOR|ANTERIOR
anterior,http://sbmi.uth.tmc.edu/ontology/ochv#20299,370-377|15816-15823,PREF|PREF,ANTERIOR|ANTERIOR
