prefLabel,id,from_to,matchType,text
Distance,http://psink.de/scio/Distance,644-651|8430-8437|8487-8494|8553-8560|8618-8625|8687-8694,PREF|PREF|PREF|PREF|PREF|PREF,DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE
Weight,http://psink.de/scio/Weight,943-948|7343-7348|8214-8219|8797-8802|8879-8884|12947-12952|12990-12995|13182-13187|15783-15788|16019-16024|16321-16326|16717-16722|17289-17294|18927-18932|19197-19202|21040-21045|25098-25103|27624-27629|28309-28314,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT
Function,http://psink.de/scio/Function,1161-1168|16089-16096|16636-16643|17091-17098|17944-17951|18911-18918|19657-19664|20980-20987|21495-21502|23627-23634|23786-23793|23973-23980|24296-24303|27607-27614|32646-32653,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION
Compression,http://psink.de/scio/Compression,1254-1264|3068-3078|5095-5105|16475-16485|16833-16843|17019-17029|17479-17489|17619-17629|17803-17813|18867-18877|19089-19099|23349-23359|23416-23426,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,COMPRESSION|COMPRESSION|COMPRESSION|COMPRESSION|COMPRESSION|COMPRESSION|COMPRESSION|COMPRESSION|COMPRESSION|COMPRESSION|COMPRESSION|COMPRESSION|COMPRESSION
Treatment,http://psink.de/scio/Treatment,1750-1758|29996-30004,PREF|PREF,TREATMENT|TREATMENT
Event,http://psink.de/scio/Event,2414-2418,PREF,EVENT
Injury,http://psink.de/scio/Injury,2439-2444|2903-2908|30781-30786|32471-32476,PREF|PREF|PREF|PREF,INJURY|INJURY|INJURY|INJURY
Result,http://psink.de/scio/Result,2787-2792|5197-5202|15854-15859|20157-20162,PREF|PREF|PREF|PREF,RESULT|RESULT|RESULT|RESULT
Increase,http://psink.de/scio/Increase,2858-2865|2916-2923|3793-3800|21877-21884|24955-24962|25755-25762|25798-25805,PREF|PREF|PREF|PREF|PREF|PREF|PREF,INCREASE|INCREASE|INCREASE|INCREASE|INCREASE|INCREASE|INCREASE
Location,http://psink.de/scio/Location,7297-7304|14844-14851|28273-28280,PREF|PREF|PREF,LOCATION|LOCATION|LOCATION
Extremity,http://psink.de/scio/Extremity,7464-7472|29358-29366,PREF|PREF,EXTREMITY|EXTREMITY
Age,http://psink.de/scio/Age,7697-7699,PREF,AGE
Duration,http://psink.de/scio/Duration,7855-7862,PREF,DURATION
Electrodes,http://psink.de/scio/Electrodes,9305-9314|9384-9393|12634-12643,PREF|PREF|PREF,ELECTRODES|ELECTRODES|ELECTRODES
Right,http://psink.de/scio/Right,9462-9466|24867-24871,PREF|PREF,RIGHT|RIGHT
Left,http://psink.de/scio/Left,9472-9475|24897-24900,PREF|PREF,LEFT|LEFT
Force,http://psink.de/scio/Force,10269-10273|10369-10373|10958-10962|11081-11085|11332-11336|11349-11353|11902-11906|12051-12055|13254-13258|13271-13275|14198-14202|17933-17937,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE
Apparatus,http://psink.de/scio/Apparatus,12789-12797,PREF,APPARATUS
Gender,http://psink.de/scio/Gender,14467-14472,PREF,GENDER
Change,http://psink.de/scio/Change,21451-21456,PREF,CHANGE
Direction,http://psink.de/scio/Direction,23883-23891|24072-24080|24104-24112|24180-24188|24213-24221|24617-24625|24649-24657|24701-24709,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,DIRECTION|DIRECTION|DIRECTION|DIRECTION|DIRECTION|DIRECTION|DIRECTION|DIRECTION
