prefLabel,id,from_to,matchType,text
Current,http://psink.de/scio/Current,884-890|15327-15333|15935-15941|18254-18260|18717-18723,PREF|PREF|PREF|PREF|PREF,CURRENT|CURRENT|CURRENT|CURRENT|CURRENT
Function,http://psink.de/scio/Function,1476-1483|11934-11941|12021-12028|12282-12289|21223-21230,PREF|PREF|PREF|PREF|PREF,FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION
Recovery,http://psink.de/scio/Recovery,1491-1498|18517-18524,PREF|PREF,RECOVERY|RECOVERY
Change,http://psink.de/scio/Change,1695-1700|2510-2515|3231-3236|11820-11825|13342-13347|13674-13679|15611-15616|16207-16212,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,CHANGE|CHANGE|CHANGE|CHANGE|CHANGE|CHANGE|CHANGE|CHANGE
Age,http://psink.de/scio/Age,4100-4102|4198-4200,PREF|PREF,AGE|AGE
Weight,http://psink.de/scio/Weight,4144-4149|4242-4247,PREF|PREF,WEIGHT|WEIGHT
Treatment,http://psink.de/scio/Treatment,4595-4603|21810-21818,PREF|PREF,TREATMENT|TREATMENT
Electrodes,http://psink.de/scio/Electrodes,5693-5702|6362-6371|16034-16043|16187-16196|20733-20742,PREF|PREF|PREF|PREF|PREF,ELECTRODES|ELECTRODES|ELECTRODES|ELECTRODES|ELECTRODES
Experiment,http://psink.de/scio/Experiment,6333-6342|18725-18734,PREF|PREF,EXPERIMENT|EXPERIMENT
Distance,http://psink.de/scio/Distance,6440-6447|6960-6967,PREF|PREF,DISTANCE|DISTANCE
Right,http://psink.de/scio/Right,6589-6593|6718-6722|8892-8896|9681-9685,PREF|PREF|PREF|PREF,RIGHT|RIGHT|RIGHT|RIGHT
Left,http://psink.de/scio/Left,6728-6731|8883-8886,PREF|PREF,LEFT|LEFT
Direction,http://psink.de/scio/Direction,7358-7366|7727-7735|7837-7845|8714-8722|9294-9302|10273-10281|10317-10325|10343-10351|10548-10556,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,DIRECTION|DIRECTION|DIRECTION|DIRECTION|DIRECTION|DIRECTION|DIRECTION|DIRECTION|DIRECTION
Hypothesis,http://psink.de/scio/Hypothesis,9008-9017,PREF,HYPOTHESIS
Injury,http://psink.de/scio/Injury,13196-13201|18073-18078|19043-19048|19690-19695|20183-20188,PREF|PREF|PREF|PREF|PREF,INJURY|INJURY|INJURY|INJURY|INJURY
Brain,http://psink.de/scio/Brain,19364-19368,PREF,BRAIN
Increase,http://psink.de/scio/Increase,22554-22561,PREF,INCREASE
