prefLabel,id,from_to,matchType,text
Brain,http://purl.bioontology.org/ontology/MESH/D001921,40-44|2526-2530|4903-4907|4983-4987|21253-21257|25581-25585,PREF|PREF|PREF|PREF|PREF|PREF,BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN
Adult,http://purl.bioontology.org/ontology/MESH/D000328,56-61|17344-17349|17372-17376|24710-24714,SYN|SYN|PREF|PREF,ADULTS|ADULTS|ADULT|ADULT
Low Back Pain,http://purl.bioontology.org/ontology/MESH/D017116,78-90|126-138|8372-8384|14503-14515|14777-14789|14984-14996|22282-22294|22387-22399|22670-22682|23108-23120|23264-23276|23501-23513|23653-23665|23803-23815|25838-25850|26285-26297|26667-26679|26976-26988,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN
Back Pain,http://purl.bioontology.org/ontology/MESH/D001416,82-90|130-138|1891-1899|8376-8384|14507-14515|14781-14789|14988-14996|22286-22294|22391-22399|22674-22682|23112-23120|23268-23276|23505-23513|23539-23547|23657-23665|23807-23815|24032-24040|25842-25850|25885-25893|26074-26082|26289-26297|26671-26679|26840-26848|26980-26988,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN
Pain,http://purl.bioontology.org/ontology/MESH/D010146,87-90|135-138|1896-1899|2639-2642|2755-2758|4244-4247|5482-5485|6018-6021|6307-6310|6423-6426|6510-6513|6614-6617|8381-8384|8412-8415|8488-8491|10043-10046|10094-10097|10718-10721|12948-12951|13894-13897|14074-14077|14512-14515|14549-14552|14786-14789|14993-14996|15472-15475|15956-15959|16334-16337|16394-16397|16532-16535|16649-16652|16732-16735|18822-18825|18934-18937|19129-19132|20328-20331|20372-20375|20447-20450|20575-20578|21366-21369|22291-22294|22396-22399|22679-22682|23117-23120|23273-23276|23443-23446|23510-23513|23544-23547|23662-23665|23812-23815|24037-24040|24150-24153|25847-25850|25890-25893|25936-25939|26079-26082|26294-26297|26676-26679|26845-26848|26985-26988|26993-26996,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Muscles,http://purl.bioontology.org/ontology/MESH/D009132,232-237|314-320|529-534|1087-1093|1559-1565|1680-1686|1939-1944|2030-2035|2372-2377|2426-2431|2826-2831|2883-2888|3123-3128|3193-3198|3394-3400|3494-3499|3571-3577|3629-3634|4832-4838|4957-4962|5299-5305|5377-5383|5609-5615|5741-5746|5896-5901|6975-6980|7144-7150|9688-9694|9809-9815|10725-10730|11475-11481|11515-11521|11690-11695|12009-12015|12184-12190|12308-12314|12596-12601|12818-12824|13060-13066|13330-13336|13399-13405|13953-13959|14182-14187|17484-17489|18295-18300|18366-18371|18618-18623|18994-18999|19043-19049|19176-19181|19358-19363|19501-19507|19717-19722|20770-20776|20897-20902|21346-21352|21610-21615|21784-21789|21947-21952|22211-22217|22956-22961|23088-23094|23192-23197|23592-23598|23771-23776|23980-23985|24126-24131|24268-24273|24371-24376|24764-24770|24874-24880|24947-24953|25418-25424|25744-25750|25827-25833|25859-25864|26024-26029|26160-26166|26240-26245|26437-26443|26892-26898,SYN|PREF|SYN|PREF|PREF|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|PREF|SYN|PREF|SYN|PREF|PREF|PREF|SYN|SYN|SYN|PREF|PREF|PREF|SYN|PREF|PREF|SYN|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|PREF|SYN|PREF|SYN|PREF|SYN|SYN|SYN|PREF|SYN|PREF|SYN|PREF|SYN|SYN|SYN|SYN|SYN|PREF|PREF|PREF|PREF|PREF|PREF|SYN|SYN|PREF|SYN|PREF|PREF,MUSCLE|MUSCLES|MUSCLE|MUSCLES|MUSCLES|MUSCLES|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLES|MUSCLE|MUSCLES|MUSCLE|MUSCLES|MUSCLE|MUSCLES|MUSCLES|MUSCLES|MUSCLE|MUSCLE|MUSCLE|MUSCLES|MUSCLES|MUSCLES|MUSCLE|MUSCLES|MUSCLES|MUSCLE|MUSCLES|MUSCLES|MUSCLES|MUSCLE|MUSCLES|MUSCLES|MUSCLES|MUSCLES|MUSCLES|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLES|MUSCLE|MUSCLE|MUSCLES|MUSCLE|MUSCLES|MUSCLE|MUSCLES|MUSCLE|MUSCLE|MUSCLE|MUSCLES|MUSCLE|MUSCLES|MUSCLE|MUSCLES|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLE|MUSCLES|MUSCLES|MUSCLES|MUSCLES|MUSCLES|MUSCLES|MUSCLE|MUSCLE|MUSCLES|MUSCLE|MUSCLES|MUSCLES
Paraspinal Muscles,http://purl.bioontology.org/ontology/MESH/D064170,303-320|1076-1093|3383-3400|3560-3577|4821-4838|5288-5305|5598-5615|7133-7150|12173-12190|12297-12314|13049-13066|13319-13336|19490-19507|22200-22217|23581-23598|24753-24770|26881-26898,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PARASPINAL MUSCLES|PARASPINAL MUSCLES|PARASPINAL MUSCLES|PARASPINAL MUSCLES|PARASPINAL MUSCLES|PARASPINAL MUSCLES|PARASPINAL MUSCLES|PARASPINAL MUSCLES|PARASPINAL MUSCLES|PARASPINAL MUSCLES|PARASPINAL MUSCLES|PARASPINAL MUSCLES|PARASPINAL MUSCLES|PARASPINAL MUSCLES|PARASPINAL MUSCLES|PARASPINAL MUSCLES|PARASPINAL MUSCLES
Human,http://purl.bioontology.org/ontology/STY/T016,368-372|12558-12562|21020-21024|24853-24857|25188-25192|25387-25391|26374-26378|26506-26510,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,HUMAN|HUMAN|HUMAN|HUMAN|HUMAN|HUMAN|HUMAN|HUMAN
Motor Cortex,http://purl.bioontology.org/ontology/MESH/D009044,475-486|2472-2483|5084-5095|5680-5691|9697-9708|11041-11052|11122-11133|12647-12658|12724-12735|13131-13142|15888-15899|18639-18650|21405-21416|21976-21987|22124-22135|22226-22237|22319-22330|23361-23372|23475-23486|25097-25108|25663-25674,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX
Organization,http://purl.bioontology.org/ontology/STY/T092,592-603|957-968|1649-1660|2485-2496|4103-4114|4909-4920|5159-5170|5650-5661|12243-12254|12870-12881|13255-13266|13472-13483|13727-13738|15699-15710|17743-17754|17904-17915|17997-18008|18466-18477|19970-19981|20229-20240|22083-22094|22155-22166,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION
