prefLabel,id,from_to,matchType,text
Background,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45782,1-10,PREF,BACKGROUND
Skin,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12470,13-16|457-460|9961-9964|10260-10263,PREF|PREF|PREF|PREF,SKIN|SKIN|SKIN|SKIN
Marker,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C177671,18-23|352-357|462-467|2040-2045|2783-2788|4698-4703|6064-6069,PREF|PREF|PREF|PREF|PREF|PREF|PREF,MARKER|MARKER|MARKER|MARKER|MARKER|MARKER|MARKER
Basis,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25430,25-29|1351-1355|1744-1748|2790-2794|8885-8889|10191-10195,SYN|PREF|PREF|SYN|PREF|SYN,BASED|BASIS|BASIS|BASED|BASIS|BASED
Analysis,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25391,31-38|666-673|1009-1016|3034-3041|4115-4122|5621-5628|9157-9164|9210-9217|9575-9582,PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF,ANALYSIS|ANALYSIS|ANALYSIS|ANALYSIS|ANALYZED|ANALYSIS|ANALYSIS|ANALYSIS|ANALYSIS
Spinal,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38026,54-59|174-179|495-500|1464-1469|1504-1509|1821-1826|2664-2669|5542-5547|7429-7434|8998-9003|9039-9044|9059-9064|10278-10283,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,SPINAL|SPINAL|SPINAL|SPINAL|SPINAL|SPINAL|SPINAL|SPINAL|SPINAL|SPINAL|SPINAL|SPINAL|SPINAL
Movement,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37994,61-68|657-664|1705-1712|3025-3032|3607-3614|6446-6453|8338-8345|9148-9155|9201-9208,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT|MOVEMENT
Method,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C71460,86-91|1637-1642,PREF|PREF,METHOD|METHOD
Longitudinal,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25242,109-120|1412-1423|1758-1769|8947-8958,PREF|PREF|PREF|PREF,LONGITUDINAL|LONGITUDINAL|LONGITUDINAL|LONGITUDINAL
Observed,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25599,204-211|1850-1857|2341-2348|8247-8254,PREF|PREF|PREF|PREF,OBSERVED|OBSERVED|OBSERVED|OBSERVED
Day,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25301,213-215|220-222|397-399|404-406|720-723|1859-1861|1866-1868|2085-2087|2092-2094|3088-3091,PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|SYN,DAY|DAY|DAY|DAY|DAYS|DAY|DAY|DAY|DAY|DAYS
Due To,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89272,257-262|1904-1909|4669-4674,PREF|PREF|PREF,DUE TO|DUE TO|DUE TO
Soft Tissue,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12471,329-339|2017-2027|9394-9404|9854-9864,PREF|PREF|PREF|PREF,SOFT TISSUE|SOFT TISSUE|SOFT TISSUE|SOFT TISSUE
Soft,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25255,329-332|2017-2020|6729-6732|9394-9397|9854-9857,PREF|PREF|PREF|PREF|PREF,SOFT|SOFT|SOFT|SOFT|SOFT
Tissue,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12801,334-339|2022-2027|3398-3403|6735-6740|9399-9404|9859-9864,PREF|PREF|SYN|PREF|PREF|PREF,TISSUE|TISSUE|NORMAL|TISSUE|TISSUE|TISSUE
Placement,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41148,360-368|2047-2055,PREF|PREF,PLACEMENT|PLACEMENT
Placement,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126366,360-368|2047-2055,PREF|PREF,PLACEMENT|PLACEMENT
Biological,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28226,386-395|2074-2083,PREF|PREF,BIOLOGICAL|BIOLOGICAL
Variability,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85443,408-418|2096-2106|2224-2234,PREF|PREF|PREF,VARIABILITY|VARIABILITY|VARIABILITY
Question,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41116,430-437,PREF,QUESTION
Separate,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63803,555-562,PREF,SEPARATE
Measurement,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25209,564-574|2979-2989|10574-10584,PREF|PREF|PREF,MEASUREMENT|MEASUREMENT|MEASUREMENT
Twenty,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C105799,596-601,PREF,TWENTY
