prefLabel,id,from_to,matchType,text
low back pain,http://sbmi.uth.tmc.edu/ontology/ochv#7549,8-20|1496-1508|1511-1513|1601-1603|1767-1769|1915-1917|1988-1990|2026-2028|2497-2499|2530-2532|2571-2583|2586-2588|2882-2884|3002-3004|3476-3478|3861-3863|4197-4199|5055-5057|5839-5841|6161-6163|6328-6330|6473-6475|6600-6602|6700-6702|6911-6923|7029-7031|7041-7043|7076-7078|7116-7118|7230-7242|7316-7328|7752-7754|8225-8237|12096-12108|13336-13348|13416-13428|13502-13504|13589-13591|13645-13647|15107-15109|15389-15391|15529-15531|16162-16164|16863-16865|16976-16978|17466-17468|17738-17740|17782-17784|17972-17974|17989-18001|18064-18066|18226-18228|18814-18816|18892-18894|19263-19265|19457-19459|19855-19857|19966-19968|20169-20171|20234-20236|20431-20433|21663-21675|21743-21755|22270-22282|22468-22480|23182-23194|23446-23458|23624-23636|24375-24387|24524-24536|24613-24625|24688-24700,PREF|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|PREF|PREF|SYN|PREF|PREF|PREF|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LOW BACK PAIN|LOW BACK PAIN|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LOW BACK PAIN|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LOW BACK PAIN|LBP|LBP|LBP|LBP|LOW BACK PAIN|LOW BACK PAIN|LBP|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LOW BACK PAIN|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LBP|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN|LOW BACK PAIN
low,http://sbmi.uth.tmc.edu/ontology/ochv#C0205251,8-10|1496-1498|2571-2573|6911-6913|7230-7232|7316-7318|8225-8227|12096-12098|13336-13338|13416-13418|17989-17991|19675-19677|21663-21665|21743-21745|21800-21802|22270-22272|22378-22380|22430-22432|22468-22470|23182-23184|23446-23448|23624-23626|24375-24377|24524-24526|24613-24615|24688-24690,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW|LOW
back pain,http://sbmi.uth.tmc.edu/ontology/ochv#1662,12-20|1500-1508|2575-2583|6915-6923|7234-7242|7320-7331|7320-7328|8229-8240|8229-8237|12100-12108|13340-13348|13420-13428|17993-18001|21667-21675|21747-21755|21805-21813|22274-22282|22383-22391|22472-22480|23186-23197|23186-23194|23450-23458|23628-23639|23628-23636|24185-24193|24379-24390|24379-24387|24488-24500|24492-24500|24528-24536|24617-24625|24692-24700,PREF|PREF|PREF|PREF|PREF|SYN|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|SYN|PREF|PREF|SYN|PREF|SYN|PREF|PREF|PREF|PREF,BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN IN|BACK PAIN|BACK PAIN IN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN IN|BACK PAIN|BACK PAIN|BACK PAIN IN|BACK PAIN|BACK PAIN|BACK PAIN IN|BACK PAIN|AND BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN
back pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0004604,12-20|1500-1508|2575-2583|6915-6923|7234-7242|7320-7328|8229-8237|12100-12108|13340-13348|13420-13428|17993-18001|21667-21675|21747-21755|21805-21813|22274-22282|22383-22391|22472-22480|23186-23194|23450-23458|23628-23636|24185-24193|24379-24387|24492-24500|24528-24536|24617-24625|24692-24700,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN|BACK PAIN
pain,http://sbmi.uth.tmc.edu/ontology/ochv#C0030193,17-20|1505-1508|2580-2583|4216-4219|4268-4271|5015-5018|6920-6923|7063-7066|7098-7101|7136-7139|7239-7242|7325-7328|8234-8237|12105-12108|13345-13348|13425-13428|15147-15150|15319-15322|15731-15734|17998-18001|21672-21675|21752-21755|21810-21813|21871-21874|21986-21989|22279-22282|22388-22391|22440-22443|22477-22480|22663-22666|23191-23194|23455-23458|23633-23636|23815-23818|23890-23893|24190-24193|24384-24387|24497-24500|24533-24536|24622-24625|24697-24700,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
pain,http://sbmi.uth.tmc.edu/ontology/ochv#9185,17-20|1505-1508|2580-2583|4216-4219|4268-4271|5015-5018|6920-6923|7063-7066|7098-7101|7136-7139|7239-7242|7325-7328|8234-8237|12105-12108|13345-13348|13425-13428|15147-15150|15319-15322|15731-15734|17998-18001|21672-21675|21752-21755|21810-21813|21871-21874|21986-21989|22279-22282|22388-22391|22440-22443|22477-22480|22663-22666|23191-23194|23455-23458|23633-23636|23815-23818|23890-23893|24190-24193|24384-24387|24497-24500|24533-24536|24622-24625|24697-24700,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
prevalence,http://sbmi.uth.tmc.edu/ontology/ochv#C0033105,22-31|1576-1585|1714-1723|1891-1900|1974-1983|2030-2039|3443-3452|5825-5834|5922-5931|6048-6057|6332-6341|6974-6983|7005-7014|7244-7253|7302-7311|7756-7765|7846-7855|7876-7885|12110-12119|13481-13490|13922-13931|14029-14038|14223-14232|14284-14293|14827-14836|14936-14945|15093-15102|15480-15489|15756-15765|19951-19960|20139-20148|20283-20292|20339-20348|21649-21658|22035-22044|22721-22730|23461-23470|23610-23619|23784-23793|23922-23931|24021-24030,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE|PREVALENCE
disability,http://sbmi.uth.tmc.edu/ontology/ochv#C0231170,54-63|1746-1755|3284-3293|4874-4883|5092-5101|6454-6463|6868-6877|8130-8139|13367-13376|13447-13456|16418-16427|21885-21894|22069-22078|22754-22763|23161-23170|24946-24955,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY|DISABILITY
estimated,http://sbmi.uth.tmc.edu/ontology/ochv#48343,85-93|1871-1878|5507-5516|5690-5697|5711-5718|6118-6126|7156-7163|13811-13819|13934-13942|16926-16935|22285-22293|22483-22491|23758-23767|25039-25047,SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN,ESTIMATES|ESTIMATE|ESTIMATING|ESTIMATE|ESTIMATE|ESTIMATED|ESTIMATE|ESTIMATES|ESTIMATES|ESTIMATING|ESTIMATES|ESTIMATES|ESTIMATING|ESTIMATES
disease,http://sbmi.uth.tmc.edu/ontology/ochv#C0012634,121-127|2816-2822|3600-3606|20531-20537|20727-20733|22205-22211|22322-22328|22520-22526|22874-22880|23083-23089|23256-23262|23416-23422|25075-25081,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,DISEASE|DISEASE|DISEASE|DISEASE|DISEASE|DISEASE|DISEASE|DISEASE|DISEASE|DISEASE|DISEASE|DISEASE|DISEASE
