prefLabel,id,from_to,matchType,text
Somatosensory Cortex,http://purl.bioontology.org/ontology/MESH/D013003,30-49|351-370|2559-2578|23739-23758|23877-23896|24900-24919|24977-24996|25257-25276|26787-26806,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,SOMATOSENSORY CORTEX|SOMATOSENSORY CORTEX|SOMATOSENSORY CORTEX|SOMATOSENSORY CORTEX|SOMATOSENSORY CORTEX|SOMATOSENSORY CORTEX|SOMATOSENSORY CORTEX|SOMATOSENSORY CORTEX|SOMATOSENSORY CORTEX
Patients,http://purl.bioontology.org/ontology/MESH/D010361,54-61|420-427|673-680|870-877|1254-1261|1956-1963|2137-2144|2421-2428|2667-2674|2840-2847|2862-2869|3376-3383|3707-3714|4225-4232|5354-5361|10605-10612|10787-10794|12206-12213|12530-12537|13219-13226|13824-13831|13985-13992|14252-14259|15134-15141|15754-15761|16590-16597|16891-16898|17151-17158|17572-17579|17825-17832|17955-17962|19024-19031|19267-19274|19812-19819|19858-19865|20577-20584|21830-21837|21873-21880|22378-22385|22787-22794|22914-22921|23369-23376|24506-24513|24534-24541|24692-24699|25577-25584|25637-25644|25810-25817|26293-26300,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS|PATIENTS
Fibromyalgia,http://purl.bioontology.org/ontology/MESH/D005356,68-79|91-102|1481-1492|5623-5634|22392-22403|23391-23402|24363-24374|24520-24531|24548-24559|24728-24739|24876-24887|25457-25468|25564-25575|25651-25662|25797-25808|25983-25994|26102-26113|26254-26265|26307-26318|26460-26471|26665-26676|26742-26753|27454-27465,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA|FIBROMYALGIA
Pain,http://purl.bioontology.org/ontology/MESH/D010146,133-136|412-415|1111-1114|1140-1143|1354-1357|1475-1478|1512-1515|1554-1557|3040-3043|3240-3243|3847-3850|3914-3917|3962-3965|4687-4690|5424-5427|5677-5680|5793-5796|5845-5848|12195-12198|12345-12348|12375-12378|15113-15116|15296-15299|15457-15460|15571-15574|15909-15912|16046-16049|16223-16226|16321-16324|16343-16346|16379-16382|16404-16407|16621-16624|16779-16782|17421-17424|17564-17567|17669-17672|17890-17893|19396-19399|22117-22120|22370-22373|22440-22443|22495-22498|23014-23017|23135-23138|23361-23364|24344-24347|24410-24413|24455-24458|24612-24615|24955-24958|25423-25426|25777-25780|25900-25903|25968-25971|26077-26080|26147-26150|26452-26455|26657-26660|26734-26737|27580-27583,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN|PAIN
Sensorimotor Cortex,http://purl.bioontology.org/ontology/MESH/D066191,205-223|25303-25321|27087-27105,PREF|PREF|PREF,SENSORIMOTOR CORTEX|SENSORIMOTOR CORTEX|SENSORIMOTOR CORTEX
Pathology,http://purl.bioontology.org/ontology/MESH/D010336,260-268,PREF,PATHOLOGY
pathology,http://purl.bioontology.org/ontology/MESH/Q000473,260-268,PREF,PATHOLOGY
Role,http://purl.bioontology.org/ontology/MESH/D012380,395-398,PREF,ROLE
Magnetic Fields,http://purl.bioontology.org/ontology/MESH/D060526,459-473|25196-25210|27009-27023,PREF|PREF|PREF,MAGNETIC FIELDS|MAGNETIC FIELDS|MAGNETIC FIELDS
Female,http://purl.bioontology.org/ontology/MESH/D005260,508-514|3369-3374,SYN|PREF,FEMALES|FEMALE
Sex,http://purl.bioontology.org/ontology/MESH/D012723,537-539,PREF,SEX
