prefLabel,id,from_to,matchType,text
Production,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C112927,5-14|27344-27353|41481-41490,PREF|PREF|PREF,PRODUCTION|PRODUCTION|PRODUCTION
Finger,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32608,27-32|154-159|541-546|687-692|835-840|1123-1128|1272-1277|1715-1720|1956-1961|2330-2335|2865-2870|3141-3146|3404-3409|3558-3563|3659-3664|4011-4016|4122-4127|4244-4249|5207-5212|5786-5791|6147-6152|6840-6845|7050-7055|7126-7131|7561-7566|7671-7676|8384-8389|8523-8528|9192-9197|9311-9316|10110-10115|10325-10330|12397-12402|13171-13176|14305-14310|14414-14419|15448-15453|16031-16036|16113-16118|16458-16463|17474-17479|18676-18681|18751-18756|18940-18945|19001-19006|19383-19388|19584-19589|19928-19933|20211-20216|20372-20377|20543-20548|20613-20618|21457-21462|22180-22185|23045-23050|23159-23164|24524-24529|24646-24651|25968-25973|26416-26421|26685-26690|26779-26784|26811-26816|26974-26979|27364-27369|27379-27384|27454-27459|28492-28497|29070-29075|29082-29087|29208-29213|29848-29853|30009-30014|30363-30368|30424-30429|30597-30602|30750-30755|30852-30857|31154-31159|31181-31186|32987-32992|34135-34140|34425-34430|34674-34679|35014-35019|35654-35659|35835-35840|36450-36455|38123-38128|38619-38624|38825-38830|39029-39034|39079-39084|39388-39393|39599-39604|40083-40088|40099-40104|40251-40256|40779-40784|41365-41370|41508-41513|42805-42810|43090-43095|43291-43296,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER|FINGER
Activity,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43431,70-77|789-796|1981-1988|2238-2245|2819-2826|2881-2888|3191-3198|3520-3527|3675-3682|3771-3778|3942-3949|4260-4267|4779-4786|5598-5605|6972-6979|7094-7101|7346-7353|8486-8493|9631-9638|9991-9998|12248-12255|12426-12433|12632-12639|14130-14137|14225-14232|14371-14378|14966-14973|16184-16191|17383-17390|20237-20244|21046-21053|21170-21177|21562-21569|22555-22562|22746-22753|22971-22978|23289-23296|24101-24108|24599-24606|24947-24954|26473-26480|27973-27980|32764-32771|33618-33625|34217-34224|35110-35117|35335-35342|36373-36380|40439-40446|41082-41089|41710-41717,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY
Active,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45329,70-77|789-796|1981-1988|2238-2245|2819-2826|2881-2888|3191-3198|3520-3527|3675-3682|3771-3778|3942-3949|4260-4267|4779-4786|5598-5605|6972-6979|7094-7101|7346-7353|8486-8493|9631-9638|9991-9998|12248-12255|12426-12433|12632-12639|14130-14137|14225-14232|14371-14378|14966-14973|16184-16191|16762-16767|17383-17390|20237-20244|21046-21053|21170-21177|21562-21569|22555-22562|22746-22753|22971-22978|23289-23296|24101-24108|24599-24606|24947-24954|26473-26480|27495-27500|27973-27980|32764-32771|33618-33625|34217-34224|35110-35117|35335-35342|36373-36380|40439-40446|41082-41089|41710-41717,SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN,ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVE|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVE|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY|ACTIVITY
Neuron,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12623,82-88|483-489|644-650|1905-1911|3203-3209|3300-3305|9788-9794,SYN|SYN|SYN|SYN|SYN|PREF|SYN,NEURONS|NEURONS|NEURONS|NEURONS|NEURONS|NEURON|NEURONS
Hand,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32712,97-100|603-606|1054-1057|1172-1175|1193-1196|1638-1641|3009-3012|3218-3221|3900-3903|4200-4203|5309-5312|7154-7157|7166-7169|8359-8362|10124-10127|10146-10149|10187-10190|10352-10355|10542-10545|11583-11586|11980-11983|12220-12223|12352-12355|13642-13645|14021-14024|14447-14450|14723-14726|15110-15113|15605-15608|15928-15931|16145-16148|16709-16712|17681-17684|18819-18822|19060-19063|19747-19750|20981-20984|21418-21421|22096-22099|22685-22688|23218-23221|23401-23404|23978-23981|24336-24339|24821-24824|26519-26522|26601-26604|27077-27080|32151-32154|32277-32280|32318-32328|32318-32321|32419-32422|33265-33268|33812-33815|34707-34710|35037-35040|37596-37599|37892-37895|38083-38086|42106-42109|42598-42601,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND REGION|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND|HAND
Area,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25244,102-105|3223-3226|3343-3346|7171-7174|26524-26527|26606-26609|27720-27723|32239-32242|33275-33278|33817-33820,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,AREA|AREA|AREA|AREA|AREA|AREA|AREA|AREA|AREA|AREA
Primary Motor Cortex,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C97339,110-129|118-129|3231-3250|3239-3250|4289-4300|7189-7208|7197-7208|25598-25609|26588-26599|26641-26652|27609-27628|27617-27628|27793-27804,PREF|SYN|PREF|SYN|SYN|PREF|SYN|SYN|SYN|SYN|PREF|SYN|SYN,PRIMARY MOTOR CORTEX|MOTOR CORTEX|PRIMARY MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|PRIMARY MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX|PRIMARY MOTOR CORTEX|MOTOR CORTEX|MOTOR CORTEX
Primary,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25251,110-116|3231-3237|7189-7195|27609-27615,PREF|PREF|PREF|PREF,PRIMARY|PRIMARY|PRIMARY|PRIMARY
Motor,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28367,118-122|2736-2740|3239-3243|4289-4293|7197-7201|15492-15496|25598-25602|26513-26517|26588-26592|26641-26645|26730-26734|26854-26858|27289-27293|27617-27621|27662-27666|27793-27797|27879-27883,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR|MOTOR
