prefLabel,id,from_to,matchType,text
Hypothesis,http://psink.de/scio/Hypothesis,1078-1087,PREF,HYPOTHESIS
Experiment,http://psink.de/scio/Experiment,3980-3989|8040-8049|26424-26433|30370-30379|30431-30440|38626-38635|38832-38841|41372-41381,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,EXPERIMENT|EXPERIMENT|EXPERIMENT|EXPERIMENT|EXPERIMENT|EXPERIMENT|EXPERIMENT|EXPERIMENT
Force,http://psink.de/scio/Force,4148-4152|10075-10079|16329-16333|19557-19561|19723-19727|23070-23074|27338-27342|27461-27465|28673-28677|28739-28743|29037-29041|30925-30929|30975-30979|40227-40231|43051-43055|43224-43228,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE
Distance,http://psink.de/scio/Distance,4941-4948|5130-5137|6332-6339|10769-10776|10899-10906|11121-11128|11165-11172|11947-11954|13345-13352|13504-13511|15883-15890|16876-16883|17051-17058|17186-17193|17953-17960|18118-18125|18646-18653|19083-19090|20578-20585|31357-31364|33399-33406|33413-33420|33524-33531|33859-33866|34916-34923|35134-35141|35386-35393|37050-37057|37188-37195|37320-37327|37466-37473|39358-39365|41334-41341|41910-41917,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE
Result,http://psink.de/scio/Result,5949-5954|17870-17875|20796-20801|24466-24471|37012-37017,PREF|PREF|PREF|PREF|PREF,RESULT|RESULT|RESULT|RESULT|RESULT
Left,http://psink.de/scio/Left,7148-7151|10141-10144|11547-11550|28527-28530|29871-29874,PREF|PREF|PREF|PREF|PREF,LEFT|LEFT|LEFT|LEFT|LEFT
Right,http://psink.de/scio/Right,7183-7187|10118-10122|10346-10350|11526-11530|11871-11875|11974-11978|12751-12755|15599-15603|16139-16143|28398-28402|28536-28540|29880-29884|38331-38335,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT
Volume,http://psink.de/scio/Volume,7951-7956|32544-32549,PREF|PREF,VOLUME|VOLUME
Function,http://psink.de/scio/Function,12555-12562|31119-31126|31246-31253,PREF|PREF|PREF,FUNCTION|FUNCTION|FUNCTION
Electrodes,http://psink.de/scio/Electrodes,15535-15544|40491-40500|41248-41257,PREF|PREF|PREF,ELECTRODES|ELECTRODES|ELECTRODES
Brain,http://psink.de/scio/Brain,27176-27180,PREF,BRAIN
Current,http://psink.de/scio/Current,27219-27225,PREF,CURRENT
Age,http://psink.de/scio/Age,28456-28458|30217-30219|30528-30530|39898-39900,PREF|PREF|PREF|PREF,AGE|AGE|AGE|AGE
Duration,http://psink.de/scio/Duration,31129-31136,PREF,DURATION
Depth,http://psink.de/scio/Depth,31586-31590,PREF,DEPTH
Person,http://psink.de/scio/Person,33045-33050,PREF,PERSON
Change,http://psink.de/scio/Change,43230-43235,PREF,CHANGE
